Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
04:55,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
04:55,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
04:33,,22,,24 (+2),"GOOD 3PTR by HENRY,GAGE",CCM 22-24 (-2),,"GOOD 3PTR by HENRY,GAGE",1
--,,,,,"ASSIST  by SPRAGG,BAILEY",,,"ASSIST  by SPRAGG,BAILEY",1
04:22,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:19,,,,,"FOUL  by OETJEN,NOAH",,,"FOUL  by OETJEN,NOAH",1
04:19,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
04:19,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
04:15,,,,,"FOUL  by OETJEN,NOAH",,,"FOUL  by OETJEN,NOAH",1
04:15,"GOOD FT by AYERS,PERRY",23,,24 (+1),,CENTRE-M 23-24 (-1),,"GOOD FT by AYERS,PERRY",1
04:15,"GOOD FT by AYERS,PERRY",24,,24,,CENTRE-M 24-24 (0),,"GOOD FT by AYERS,PERRY",1
04:04,,,,,"TURNOVER  by HENRY,GAGE",,,"TURNOVER  by HENRY,GAGE",1
04:03,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
04:01,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
03:59,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:59,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
03:59,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
03:59,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
03:59,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
03:59,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
