Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,WLU,Game Score,Team Indicator,Play,Period
03:41,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",2
--,,,,,"REBOUND OFF by MCMILLAN,ROY",,,"REBOUND OFF by MCMILLAN,ROY",2
03:37,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
03:37,,79 (+1),,78,"GOOD FT by MCMILLAN,ROY",WLU 79-78 (+1),,"GOOD FT by MCMILLAN,ROY",2
03:37,,,,,"MISS FT by MCMILLAN,ROY",,,"MISS FT by MCMILLAN,ROY",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
03:14,"GOOD LAYUP by AYERS,PERRY",81 (+3),,78,,CEN 81-78 (+3),,"GOOD LAYUP by AYERS,PERRY",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
03:14,,,,,"FOUL  by LAMENDOLA,MARK",,,"FOUL  by LAMENDOLA,MARK",2
03:14,,,,,"SUB OUT by LAMENDOLA,MARK",,,"SUB OUT by LAMENDOLA,MARK",2
03:14,,,,,"SUB IN by STARR,ALEX",,,"SUB IN by STARR,ALEX",2
03:14,"GOOD FT by AYERS,PERRY",82 (+4),,78,,CEN 82-78 (+4),,"GOOD FT by AYERS,PERRY",2
02:59,,,,,"MISS LAYUP by STARR,ALEX(in the paint)",,,"MISS LAYUP by STARR,ALEX(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:50,"FOUL  by WALKER,ART(in the paint)",,,,,,,"FOUL  by WALKER,ART(in the paint)",2
02:50,,82 (+3),,79,"GOOD FT by MCMILLAN,ROY",WLU 82-79 (+3),,"GOOD FT by MCMILLAN,ROY",2
02:50,,82 (+2),,80,"GOOD FT by MCMILLAN,ROY",WLU 82-80 (+2),,"GOOD FT by MCMILLAN,ROY",2
02:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:32,"GOOD LAYUP by BATES,JACOB",84 (+4),,80,,CEN 84-80 (+4),,"GOOD LAYUP by BATES,JACOB",2
02:32,,,,,"FOUL  by CROUGHAN,MARK",,,"FOUL  by CROUGHAN,MARK",2
02:32,"GOOD FT by BATES,JACOB",85 (+5),,80,,CEN 85-80 (+5),,"GOOD FT by BATES,JACOB",2
02:04,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,,,,,"REBOUND DEF by STARR,ALEX",,,"REBOUND DEF by STARR,ALEX",2
01:58,,,,,"TURNOVER  by STARR,ALEX",,,"TURNOVER  by STARR,ALEX",2
01:38,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by KEARNS,DEVIN",,,"REBOUND DEF by KEARNS,DEVIN",2
01:24,,,,,"MISS 3PTR by MCMILLAN,ROY",,,"MISS 3PTR by MCMILLAN,ROY",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
01:04,,,,,"FOUL  by DENNIN,KEVIN",,,"FOUL  by DENNIN,KEVIN",2
01:04,"GOOD FT by AYERS,PERRY",86 (+6),,80,,CEN 86-80 (+6),,"GOOD FT by AYERS,PERRY",2
01:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:04,"GOOD FT by AYERS,PERRY",87 (+7),,80,,CEN 87-80 (+7),,"GOOD FT by AYERS,PERRY",2
00:56,,87 (+5),,82,"GOOD LAYUP by KEARNS,DEVIN(in the paint)",WLU 87-82 (+5),,"GOOD LAYUP by KEARNS,DEVIN(in the paint)",2
00:52,,,,,"FOUL  by MCMILLAN,ROY",,,"FOUL  by MCMILLAN,ROY",2
00:52,"MISS FT by SINE,TUCKER(fastbreak)",,,,,,,"MISS FT by SINE,TUCKER(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:52,"GOOD FT by SINE,TUCKER(fastbreak)",88 (+6),,82,,CEN 88-82 (+6),,"GOOD FT by SINE,TUCKER(fastbreak)",2
00:43,,,,,"MISS 3PTR by DENNIN,KEVIN",,,"MISS 3PTR by DENNIN,KEVIN",2
--,,,,,"REBOUND OFF by KEARNS,DEVIN",,,"REBOUND OFF by KEARNS,DEVIN",2
00:37,,88 (+3),,85,"GOOD 3PTR by DENNIN,KEVIN",WLU 88-85 (+3),,"GOOD 3PTR by DENNIN,KEVIN",2
--,,,,,"ASSIST  by KEARNS,DEVIN",,,"ASSIST  by KEARNS,DEVIN",2
00:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:28,,,,,"FOUL  by CROUGHAN,MARK",,,"FOUL  by CROUGHAN,MARK",2
00:28,,,,,"SUB OUT by CROUGHAN,MARK",,,"SUB OUT by CROUGHAN,MARK",2
00:28,,,,,"SUB IN by PANCHAL,TEVIN",,,"SUB IN by PANCHAL,TEVIN",2
00:28,"GOOD FT by SINE,TUCKER",89 (+4),,85,,CEN 89-85 (+4),,"GOOD FT by SINE,TUCKER",2
00:28,"GOOD FT by SINE,TUCKER",90 (+5),,85,,CEN 90-85 (+5),,"GOOD FT by SINE,TUCKER",2
00:27,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
00:24,,,,,"FOUL  by MCMILLAN,ROY",,,"FOUL  by MCMILLAN,ROY",2
00:24,"FOUL TECH by CRUMP,DAWSON",,,,,,,"FOUL TECH by CRUMP,DAWSON",2
00:24,,,,,"FOUL TECH by KEARNS,DEVIN",,,"FOUL TECH by KEARNS,DEVIN",2
00:24,"GOOD FT by BATES,JACOB",91 (+6),,85,,CEN 91-85 (+6),,"GOOD FT by BATES,JACOB",2
00:24,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,,,,,"REBOUND DEF by MCMILLAN,ROY",,,"REBOUND DEF by MCMILLAN,ROY",2
00:21,,,,,"MISS 3PTR by MCMILLAN,ROY",,,"MISS 3PTR by MCMILLAN,ROY",2
--,,,,,"REBOUND OFF by KEARNS,DEVIN",,,"REBOUND OFF by KEARNS,DEVIN",2
00:14,,,,,"TURNOVER  by PANCHAL,TEVIN(in the paint)",,,"TURNOVER  by PANCHAL,TEVIN(in the paint)",2
00:14,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
00:10,,,,,"FOUL  by PANCHAL,TEVIN",,,"FOUL  by PANCHAL,TEVIN",2
00:10,"GOOD FT by CRUMP,DAWSON(fastbreak)",92 (+7),,85,,CEN 92-85 (+7),,"GOOD FT by CRUMP,DAWSON(fastbreak)",2
00:10,"GOOD FT by CRUMP,DAWSON(fastbreak)",93 (+8),,85,,CEN 93-85 (+8),,"GOOD FT by CRUMP,DAWSON(fastbreak)",2
00:10,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
00:10,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
00:06,,,,,"MISS 3PTR by KEARNS,DEVIN",,,"MISS 3PTR by KEARNS,DEVIN",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
