Time Remaining,OU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
14:58,,29,,46 (+17),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 29-46 (+17),,"GOOD 3PTR by CRUMP,DAWSON",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
14:36,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
14:36,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:36,"MISS FT by PERRY,WILL",,,,,,,"MISS FT by PERRY,WILL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:36,"GOOD FT by PERRY,WILL",30,,46 (+16),,OU-M 30-46 (+16),,"GOOD FT by PERRY,WILL",2
14:36,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",2
14:36,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",2
14:36,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",2
14:36,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
14:36,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
14:36,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
