Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
05:30,,,,,"SUB IN by WILLIAMS,ROMIN",,,"SUB IN by WILLIAMS,ROMIN",1
05:30,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
05:30,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
05:28,,22,,32 (+10),"GOOD 3PTR by SCHNER,MATTHEW",EU 22-32 (-10),,"GOOD 3PTR by SCHNER,MATTHEW",1
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",1
05:10,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",24,,32 (+8),,BSC 24-32 (-8),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
04:56,,24,,35 (+11),"GOOD 3PTR by FALLAS,ALBERT",EU 24-35 (-11),,"GOOD 3PTR by FALLAS,ALBERT",1
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",1
04:43,"TURNOVER  by TOULIATOS,LUKE",,,,,,,"TURNOVER  by TOULIATOS,LUKE",1
04:43,,,,,"STEAL  by SCHNER,MATTHEW",,,"STEAL  by SCHNER,MATTHEW",1
04:36,,24,,37 (+13),"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",EU 24-37 (-13),,"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,ROMIN",,,"ASSIST  by WILLIAMS,ROMIN",1
04:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:32,,,,,"SUB OUT by SCHNER,MATTHEW",,,"SUB OUT by SCHNER,MATTHEW",1
04:32,,,,,"SUB IN by FRIED,MAX",,,"SUB IN by FRIED,MAX",1
04:32,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
04:32,"SUB OUT by TOULIATOS,LUKE",,,,,,,"SUB OUT by TOULIATOS,LUKE",1
04:32,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
04:32,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
04:26,"TURNOVER  by GARRIDO,BRANDAN",,,,,,,"TURNOVER  by GARRIDO,BRANDAN",1
04:20,,,,,"MISS 3PTR by FALLAS,ALBERT",,,"MISS 3PTR by FALLAS,ALBERT",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
04:00,,,,,"FOUL  by FRIED,MAX",,,"FOUL  by FRIED,MAX",1
03:47,"MISS JUMPER by GLOVER,CAMERON(in the paint)",,,,,,,"MISS JUMPER by GLOVER,CAMERON(in the paint)",1
--,,,,,"REBOUND DEF by FRIED,MAX",,,"REBOUND DEF by FRIED,MAX",1
03:40,,,,,"MISS LAYUP by WILLIAMS,ROMIN(in the paint)",,,"MISS LAYUP by WILLIAMS,ROMIN(in the paint)",1
--,"REBOUND DEF by GARRIDO,BRANDAN",,,,,,,"REBOUND DEF by GARRIDO,BRANDAN",1
03:30,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by FALLAS,ALBERT",,,"REBOUND DEF by FALLAS,ALBERT",1
03:22,,,,,"MISS 3PTR by JOHNSON,MASON",,,"MISS 3PTR by JOHNSON,MASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:21,,,,,"SUB OUT by FALLAS,ALBERT",,,"SUB OUT by FALLAS,ALBERT",1
03:21,,,,,"SUB OUT by JOHNSON,MASON",,,"SUB OUT by JOHNSON,MASON",1
03:21,,,,,"SUB IN by SCHNER,MATTHEW",,,"SUB IN by SCHNER,MATTHEW",1
03:21,,,,,"SUB IN by MARTENS,CALE",,,"SUB IN by MARTENS,CALE",1
03:21,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
03:21,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
03:18,,,,,"FOUL  by STUCK,NICK",,,"FOUL  by STUCK,NICK",1
03:18,,,,,"TURNOVER  by STUCK,NICK",,,"TURNOVER  by STUCK,NICK",1
03:07,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",26,,37 (+11),,BSC 26-37 (-11),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
02:52,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
02:48,,26,,40 (+14),"GOOD 3PTR by MARTENS,CALE",EU 26-40 (-14),,"GOOD 3PTR by MARTENS,CALE",1
--,,,,,"ASSIST  by SCHNER,MATTHEW",,,"ASSIST  by SCHNER,MATTHEW",1
02:33,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",28,,40 (+12),,BSC 28-40 (-12),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
02:25,,28,,42 (+14),"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",EU 28-42 (-14),,"GOOD LAYUP by SCHNER,MATTHEW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STUCK,NICK",,,"ASSIST  by STUCK,NICK",1
02:09,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
02:09,,,,,"BLOCK  by FRIED,MAX",,,"BLOCK  by FRIED,MAX",1
