Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
05:14,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
05:10,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
05:06,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
05:06,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
05:06,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
05:06,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
05:06,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
05:06,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
05:06,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
05:06,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
05:06,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:06,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
05:06,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
05:06,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
05:06,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
05:06,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
04:44,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
04:40,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
04:39,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
04:31,,39 (+8),,31,"GOOD JUMPER by BAK,CALVIN",16BSC-M 39-31 (+8),,"GOOD JUMPER by BAK,CALVIN",1
04:14,"GOOD 3PTR by GRIFFIN,JAROD",42 (+11),,31,,CENTRE-M 42-31 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",1
03:53,,42 (+9),,33,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 42-33 (+9),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
03:29,"GOOD JUMPER by SCHMUCKER,ZACH(in the paint)",44 (+11),,33,,CENTRE-M 44-33 (+11),,"GOOD JUMPER by SCHMUCKER,ZACH(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
03:13,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
03:13,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:13,,44 (+10),,34,"GOOD FT by THOM,IAN",16BSC-M 44-34 (+10),,"GOOD FT by THOM,IAN",1
03:13,,44 (+9),,35,"GOOD FT by THOM,IAN",16BSC-M 44-35 (+9),,"GOOD FT by THOM,IAN",1
03:13,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
03:13,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
03:13,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
03:13,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:13,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
03:13,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
02:43,"GOOD 3PTR by SINE,TUCKER",47 (+12),,35,,CENTRE-M 47-35 (+12),,"GOOD 3PTR by SINE,TUCKER",1
02:15,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",1
02:14,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
02:14,,47 (+11),,36,"GOOD FT by RUDAK,MATTY",16BSC-M 47-36 (+11),,"GOOD FT by RUDAK,MATTY",1
02:14,,47 (+10),,37,"GOOD FT by RUDAK,MATTY",16BSC-M 47-37 (+10),,"GOOD FT by RUDAK,MATTY",1
02:14,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
02:14,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:14,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
02:14,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
01:53,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:53,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
01:53,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
01:22,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
