Time Remaining,WPU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
00:11,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
00:11,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",2
00:11,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
00:11,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",2
00:11,,,,,"TURNOVER  by RING,NOAH",,,"TURNOVER  by RING,NOAH",2
00:11,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
00:11,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
00:11,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",2
00:11,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",2
00:11,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
00:11,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",2
00:11,"TURNOVER  by BORDERS,MALACHI",,,,,,,"TURNOVER  by BORDERS,MALACHI",2
00:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
00:11,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
00:11,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
00:11,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",2
00:11,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
00:11,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",2
00:08,"FOUL  by JONES,SHAWN",,,,,,,"FOUL  by JONES,SHAWN",2
00:08,,64,,70 (+6),"GOOD FT by COLEMAN,HUNTER(fastbreak)",Centre 64-70 (+6),,"GOOD FT by COLEMAN,HUNTER(fastbreak)",2
00:08,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
00:08,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
00:08,"SUB OUT by TYRELL,DONOLIQUE",,,,,,,"SUB OUT by TYRELL,DONOLIQUE",2
00:08,"SUB OUT by DULIN,MICHAEL",,,,,,,"SUB OUT by DULIN,MICHAEL",2
00:08,"SUB IN by BORDERS,MALACHI",,,,,,,"SUB IN by BORDERS,MALACHI",2
00:08,"SUB IN by PETTIFORD,TIMOTHY",,,,,,,"SUB IN by PETTIFORD,TIMOTHY",2
00:08,,64,,71 (+7),"GOOD FT by COLEMAN,HUNTER(fastbreak)",Centre 64-71 (+7),,"GOOD FT by COLEMAN,HUNTER(fastbreak)",2
00:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:08,"SUB OUT by JONES,SHAWN",,,,,,,"SUB OUT by JONES,SHAWN",2
00:08,"SUB IN by DULIN,MICHAEL",,,,,,,"SUB IN by DULIN,MICHAEL",2
00:04,,,,,"FOUL  by STINNETT,CADE",,,"FOUL  by STINNETT,CADE",2
00:04,"GOOD FT by PARTON,TYLER(fastbreak)",65,,71 (+6),,WPU 65-71 (+6),,"GOOD FT by PARTON,TYLER(fastbreak)",2
00:04,"MISS FT by PARTON,TYLER(fastbreak)",,,,,,,"MISS FT by PARTON,TYLER(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:04,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
00:04,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
00:04,"SUB OUT by BORDERS,MALACHI",,,,,,,"SUB OUT by BORDERS,MALACHI",2
00:04,"SUB OUT by PETTIFORD,TIMOTHY",,,,,,,"SUB OUT by PETTIFORD,TIMOTHY",2
00:04,"SUB IN by TYRELL,DONOLIQUE",,,,,,,"SUB IN by TYRELL,DONOLIQUE",2
00:04,"SUB IN by JONES,SHAWN",,,,,,,"SUB IN by JONES,SHAWN",2
00:04,"MISS FT by PARTON,TYLER(fastbreak)",,,,,,,"MISS FT by PARTON,TYLER(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
