Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
00:25,,,,,"SUB IN by HOLT,JACKSON",,,"SUB IN by HOLT,JACKSON",2
00:25,"MISS FT by MARKHAM,DRU",,,,,,,"MISS FT by MARKHAM,DRU",2
--,"REBOUND OFF by STINNETT,CADE",,,,,,,"REBOUND OFF by STINNETT,CADE",2
00:23,"GOOD LAYUP by STINNETT,CADE(in the paint)",49,,54 (+5),,Centre 49-54 (-5),,"GOOD LAYUP by STINNETT,CADE(in the paint)",2
00:21,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
00:21,,49,,55 (+6),"GOOD FT by STORM,CHARLIE(fastbreak)",SU 49-55 (-6),,"GOOD FT by STORM,CHARLIE(fastbreak)",2
00:21,,,,,"SUB OUT by HOLT,JACKSON",,,"SUB OUT by HOLT,JACKSON",2
00:21,,,,,"SUB IN by BYRON,MARLIN",,,"SUB IN by BYRON,MARLIN",2
00:21,,,,,"MISS FT by STORM,CHARLIE(fastbreak)",,,"MISS FT by STORM,CHARLIE(fastbreak)",2
--,"REBOUND DEF by STINNETT,CADE",,,,,,,"REBOUND DEF by STINNETT,CADE",2
00:15,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",2
00:12,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",2
00:12,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",2
00:12,"SUB IN by JONES,KAM",,,,,,,"SUB IN by JONES,KAM",2
00:12,,49,,56 (+7),"GOOD FT by CAMPBELL,MAXTON(fastbreak)",SU 49-56 (-7),,"GOOD FT by CAMPBELL,MAXTON(fastbreak)",2
00:12,,49,,57 (+8),"GOOD FT by CAMPBELL,MAXTON(fastbreak)",SU 49-57 (-8),,"GOOD FT by CAMPBELL,MAXTON(fastbreak)",2
00:03,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",2
