Time Remaining,MIL-U,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
02:18,,,,,"SUB IN by GRUBBS,COBY",,,"SUB IN by GRUBBS,COBY",2
02:18,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",2
02:18,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",2
02:18,,,,,"SUB IN by COPELAND,GRAHAM",,,"SUB IN by COPELAND,GRAHAM",2
02:18,"SUB OUT by JONES,KELVIN",,,,,,,"SUB OUT by JONES,KELVIN",2
02:18,"SUB OUT by HAMPTON,JAKE",,,,,,,"SUB OUT by HAMPTON,JAKE",2
02:18,"SUB IN by RITTER,DREW",,,,,,,"SUB IN by RITTER,DREW",2
02:18,"SUB IN by MILLER,KEVIN",,,,,,,"SUB IN by MILLER,KEVIN",2
02:14,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",2
--,"REBOUND OFF by AKINWUMI,MICHAEL",,,,,,,"REBOUND OFF by AKINWUMI,MICHAEL",2
02:10,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by AKINWUMI,MICHAEL(in the paint)",2
--,"REBOUND OFF by AKINWUMI,MICHAEL",,,,,,,"REBOUND OFF by AKINWUMI,MICHAEL",2
02:05,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",65,,83 (+18),,MIL-U 65-83 (+18),,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",2
02:03,,,,,"FOUL  by GRUBBS,COBY",,,"FOUL  by GRUBBS,COBY",2
02:03,,,,,"SUB OUT by GALVIN,OWEN",,,"SUB OUT by GALVIN,OWEN",2
02:03,,,,,"SUB IN by TEAL,AARON",,,"SUB IN by TEAL,AARON",2
02:03,"GOOD FT by AKINWUMI,MICHAEL",66,,83 (+17),,MIL-U 66-83 (+17),,"GOOD FT by AKINWUMI,MICHAEL",2
01:56,,,,,"TURNOVER  by COPELAND,GRAHAM",,,"TURNOVER  by COPELAND,GRAHAM",2
01:39,"MISS JUMPER by MITCHELL,CEDRIC",,,,,,,"MISS JUMPER by MITCHELL,CEDRIC",2
--,,,,,"REBOUND DEF by TEAL,AARON",,,"REBOUND DEF by TEAL,AARON",2
01:33,,,,,"MISS LAYUP by TEAL,AARON(in the paint)",,,"MISS LAYUP by TEAL,AARON(in the paint)",2
--,"REBOUND DEF by MILLER,KEVIN",,,,,,,"REBOUND DEF by MILLER,KEVIN",2
01:21,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",68,,83 (+15),,MIL-U 68-83 (+15),,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",2
--,"ASSIST  by JOEST,TYLER",,,,,,,"ASSIST  by JOEST,TYLER",2
01:08,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",2
--,"REBOUND DEF by AKINWUMI,MICHAEL",,,,,,,"REBOUND DEF by AKINWUMI,MICHAEL",2
00:50,"TURNOVER  by JOEST,TYLER",,,,,,,"TURNOVER  by JOEST,TYLER",2
00:50,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
00:50,,,,,"SUB IN by WALKER,GRAYSON",,,"SUB IN by WALKER,GRAYSON",2
00:36,,68,,85 (+17),"GOOD JUMPER by WALKER,GRAYSON",Rhodes 68-85 (+17),,"GOOD JUMPER by WALKER,GRAYSON",2
00:22,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",70,,85 (+15),,MIL-U 70-85 (+15),,"GOOD LAYUP by AKINWUMI,MICHAEL(in the paint)",2
00:14,,,,,"MISS 3PTR by TEAL,AARON",,,"MISS 3PTR by TEAL,AARON",2
--,"REBOUND DEF by RITTER,DREW",,,,,,,"REBOUND DEF by RITTER,DREW",2
00:07,"MISS 3PTR by MILLER,KEVIN",,,,,,,"MISS 3PTR by MILLER,KEVIN",2
--,,,,,"REBOUND DEF by GRUBBS,COBY",,,"REBOUND DEF by GRUBBS,COBY",2
