Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,WASHUM,Game Score,Team Indicator,Play,Period
02:40,,,,,"FOUL  by DAVET,KEVIN",,,"FOUL  by DAVET,KEVIN",2
02:40,,,,,"TURNOVER  by DAVET,KEVIN",,,"TURNOVER  by DAVET,KEVIN",2
02:19,"MISS LAYUP by GRUBBS,COBY",,,,,,,"MISS LAYUP by GRUBBS,COBY",2
--,,,,,"REBOUND DEF by REINMILLER,LOUIS",,,"REBOUND DEF by REINMILLER,LOUIS",2
02:08,,,,,"MISS 3PTR by GONZALO,MATT",,,"MISS 3PTR by GONZALO,MATT",2
--,"REBOUND DEF by FERIA,NICK DE",,,,,,,"REBOUND DEF by FERIA,NICK DE",2
01:57,"SUB IN by WALKER,GRAYSON",,,,,,,"SUB IN by WALKER,GRAYSON",2
01:57,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",2
01:57,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
01:57,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",2
01:57,,,,,"SUB IN by BAIRD,TANNER",,,"SUB IN by BAIRD,TANNER",2
01:57,,,,,"SUB OUT by JACOB,CHARLIE",,,"SUB OUT by JACOB,CHARLIE",2
01:47,"MISS 3PTR by WALKER,GRAYSON",,,,,,,"MISS 3PTR by WALKER,GRAYSON",2
--,,,,,"REBOUND DEF by GONZALO,MATT",,,"REBOUND DEF by GONZALO,MATT",2
01:29,,,,,"MISS 3PTR by WINDLEY,DAVID",,,"MISS 3PTR by WINDLEY,DAVID",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:25,,,,,"SUB IN by REINMILLER,LOUIS",,,"SUB IN by REINMILLER,LOUIS",2
01:25,,,,,"SUB OUT by MACK,KAMERON",,,"SUB OUT by MACK,KAMERON",2
01:18,"GOOD JUMPER by JAMES,MAC(in the paint)",55,,78 (+23),,RHODES 55-78 (-23),,"GOOD JUMPER by JAMES,MAC(in the paint)",2
01:03,,,,,"TURNOVER  by DAVET,KEVIN",,,"TURNOVER  by DAVET,KEVIN",2
01:02,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",2
00:57,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",2
00:55,,,,,"STEAL  by WINDLEY,DAVID",,,"STEAL  by WINDLEY,DAVID",2
00:54,,,,,"TURNOVER  by REINMILLER,LOUIS",,,"TURNOVER  by REINMILLER,LOUIS",2
00:52,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",2
00:38,"MISS LAYUP by FERIA,NICK DE",,,,,,,"MISS LAYUP by FERIA,NICK DE",2
--,,,,,"REBOUND DEF by REINMILLER,LOUIS",,,"REBOUND DEF by REINMILLER,LOUIS",2
00:36,,,,,"SUB IN by DILLON,LIAM",,,"SUB IN by DILLON,LIAM",2
00:36,,,,,"SUB OUT by WINDLEY,DAVID",,,"SUB OUT by WINDLEY,DAVID",2
00:07,,,,,"MISS 3PTR by GONZALO,MATT",,,"MISS 3PTR by GONZALO,MATT",2
--,,,,,"REBOUND OFF by DAVET,KEVIN",,,"REBOUND OFF by DAVET,KEVIN",2
00:02,,55,,80 (+25),"GOOD LAYUP by DAVET,KEVIN(in the paint)",WASHUM 55-80 (-25),,"GOOD LAYUP by DAVET,KEVIN(in the paint)",2
