Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:56,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
04:56,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
04:45,,,,,"MISS JUMPER by BUSH,RODREEKAS",,,"MISS JUMPER by BUSH,RODREEKAS",1
--,"REBOUND DEF by LOPEZ,ADAM",,,,,,,"REBOUND DEF by LOPEZ,ADAM",1
04:33,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",1
04:15,,,,,"MISS 3PTR by HOGAN,TJ",,,"MISS 3PTR by HOGAN,TJ",1
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",1
04:00,"MISS LAYUP by LOPEZ,ADAM(in the paint)",,,,,,,"MISS LAYUP by LOPEZ,ADAM(in the paint)",1
04:00,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
--,"REBOUND OFF by LOPEZ,ADAM",,,,,,,"REBOUND OFF by LOPEZ,ADAM",1
03:47,"MISS LAYUP by LOPEZ,ADAM(in the paint)",,,,,,,"MISS LAYUP by LOPEZ,ADAM(in the paint)",1
03:47,,,,,"BLOCK  by URSIN,AARON",,,"BLOCK  by URSIN,AARON",1
03:47,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:47,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
03:47,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
03:47,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
03:47,"SUB IN by ELDRIDGE,TIM",,,,,,,"SUB IN by ELDRIDGE,TIM",1
03:47,,,,,"FOUL  by UGHOVWA,NICHOLAS",,,"FOUL  by UGHOVWA,NICHOLAS",1
03:47,"GOOD FT by ELDRIDGE,TIM",29 (+10),,19,,UO 29-19 (-10),,"GOOD FT by ELDRIDGE,TIM",1
03:47,"MISS FT by ELDRIDGE,TIM",,,,,,,"MISS FT by ELDRIDGE,TIM",1
--,,,,,"REBOUND DEF by HOGAN,TJ",,,"REBOUND DEF by HOGAN,TJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:37,,29 (+7),,22,"GOOD 3PTR by HOGAN,TJ",Mill 29-22 (-7),,"GOOD 3PTR by HOGAN,TJ",1
03:23,"MISS LAYUP by TABE,SEPHFAN(in the paint)",,,,,,,"MISS LAYUP by TABE,SEPHFAN(in the paint)",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
03:12,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
03:10,,,,,"SUB OUT by UGHOVWA,NICHOLAS",,,"SUB OUT by UGHOVWA,NICHOLAS",1
03:10,,,,,"SUB IN by PHILLIPS JR,RODNEY",,,"SUB IN by PHILLIPS JR,RODNEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:57,,,,,"MISS 3PTR by URSIN,AARON",,,"MISS 3PTR by URSIN,AARON",1
--,"REBOUND DEF by ELDRIDGE,TIM",,,,,,,"REBOUND DEF by ELDRIDGE,TIM",1
02:47,"MISS LAYUP by NIX,GRAYSON(in the paint)",,,,,,,"MISS LAYUP by NIX,GRAYSON(in the paint)",1
--,"REBOUND OFF by NIX,GRAYSON",,,,,,,"REBOUND OFF by NIX,GRAYSON",1
02:37,"TURNOVER  by NIX,GRAYSON",,,,,,,"TURNOVER  by NIX,GRAYSON",1
02:37,,,,,"STEAL  by BUSH,RODREEKAS",,,"STEAL  by BUSH,RODREEKAS",1
02:31,,,,,"MISS LAYUP by BUSH,RODREEKAS(in the paint)",,,"MISS LAYUP by BUSH,RODREEKAS(in the paint)",1
--,"REBOUND DEF by TABE,SEPHFAN",,,,,,,"REBOUND DEF by TABE,SEPHFAN",1
02:15,"GOOD 3PTR by UKPE,JOSH",32 (+10),,22,,UO 32-22 (-10),,"GOOD 3PTR by UKPE,JOSH",1
02:10,,,,,"MISS 3PTR by PHILLIPS JR,RODNEY",,,"MISS 3PTR by PHILLIPS JR,RODNEY",1
--,"REBOUND DEF by UKPE,JOSH",,,,,,,"REBOUND DEF by UKPE,JOSH",1
02:01,"GOOD JUMPER by ELDRIDGE,TIM(in the paint)",34 (+12),,22,,UO 34-22 (-12),,"GOOD JUMPER by ELDRIDGE,TIM(in the paint)",1
01:46,,34 (+10),,24,"GOOD JUMPER by WATSON,DOUG(in the paint)",Mill 34-24 (-10),,"GOOD JUMPER by WATSON,DOUG(in the paint)",1
01:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:46,,,,,"SUB OUT by HOGAN,TJ",,,"SUB OUT by HOGAN,TJ",1
01:46,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
01:46,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
01:46,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
01:46,,,,,"SUB IN by HAUPT,KYLE",,,"SUB IN by HAUPT,KYLE",1
01:46,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
01:46,"SUB OUT by LOPEZ,ADAM",,,,,,,"SUB OUT by LOPEZ,ADAM",1
01:46,"SUB OUT by TABE,SEPHFAN",,,,,,,"SUB OUT by TABE,SEPHFAN",1
01:46,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",1
01:46,"SUB IN by JACKSON,TYLAN",,,,,,,"SUB IN by JACKSON,TYLAN",1
01:35,,,,,"FOUL  by WATSON,DOUG",,,"FOUL  by WATSON,DOUG",1
01:35,"GOOD FT by ROELKE,KAMREN",35 (+11),,24,,UO 35-24 (-11),,"GOOD FT by ROELKE,KAMREN",1
