Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,OGL-M,Game Score,Team Indicator,Play,Period
02:37,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
02:37,"SUB IN by MCNEES,ANDREW",,,,,,,"SUB IN by MCNEES,ANDREW",2
02:37,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",2
02:37,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",2
02:19,,,,,"MISS 3PTR by HARRIS,TREY",,,"MISS 3PTR by HARRIS,TREY",2
--,,,,,"REBOUND OFF by O'DONOGHUE,TYLER",,,"REBOUND OFF by O'DONOGHUE,TYLER",2
02:08,"FOUL  by FORBES,TRACE",,,,,,,"FOUL  by FORBES,TRACE",2
02:08,,61,,86 (+25),"GOOD FT by KEMP,JACKSON",OGL-M 61-86 (-25),,"GOOD FT by KEMP,JACKSON",2
02:08,,,,,"MISS FT by KEMP,JACKSON",,,"MISS FT by KEMP,JACKSON",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
02:00,"MISS 3PTR by BUSH,RODREEKAS",,,,,,,"MISS 3PTR by BUSH,RODREEKAS",2
--,,,,,"REBOUND DEF by CHERRY,GRIFFIN",,,"REBOUND DEF by CHERRY,GRIFFIN",2
01:50,,,,,"MISS LAYUP by HARRIS,TREY",,,"MISS LAYUP by HARRIS,TREY",2
01:50,"BLOCK  by UGHOVWA,NICHOLAS",,,,,,,"BLOCK  by UGHOVWA,NICHOLAS",2
--,"REBOUND DEF by HAUPT,KYLE",,,,,,,"REBOUND DEF by HAUPT,KYLE",2
01:46,"TURNOVER  by HAUPT,KYLE",,,,,,,"TURNOVER  by HAUPT,KYLE",2
01:46,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
01:46,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",2
01:46,,,,,"SUB IN by FISCHER,DAVID",,,"SUB IN by FISCHER,DAVID",2
01:46,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
01:30,,,,,"MISS 3PTR by CHERRY,GRIFFIN",,,"MISS 3PTR by CHERRY,GRIFFIN",2
--,,,,,"REBOUND OFF by KEMP,JACKSON",,,"REBOUND OFF by KEMP,JACKSON",2
01:25,,,,,"MISS JUMPER by KEMP,JACKSON",,,"MISS JUMPER by KEMP,JACKSON",2
--,"REBOUND DEF by MCNEES,ANDREW",,,,,,,"REBOUND DEF by MCNEES,ANDREW",2
01:18,"MISS LAYUP by HAUPT,KYLE",,,,,,,"MISS LAYUP by HAUPT,KYLE",2
01:18,,,,,"BLOCK  by KEMP,JACKSON",,,"BLOCK  by KEMP,JACKSON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:14,,,,,"SUB IN by NORTHCUTT,TERRENCE",,,"SUB IN by NORTHCUTT,TERRENCE",2
01:14,,,,,"SUB IN by FEENY,CHRIS",,,"SUB IN by FEENY,CHRIS",2
01:14,,,,,"SUB IN by PEAKS,WARNER",,,"SUB IN by PEAKS,WARNER",2
01:14,,,,,"SUB OUT by O'DONOGHUE,TYLER",,,"SUB OUT by O'DONOGHUE,TYLER",2
01:14,,,,,"SUB OUT by KEMP,JACKSON",,,"SUB OUT by KEMP,JACKSON",2
01:14,,,,,"SUB OUT by HARRIS,TREY",,,"SUB OUT by HARRIS,TREY",2
01:08,"MISS 3PTR by FORBES,TRACE",,,,,,,"MISS 3PTR by FORBES,TRACE",2
--,"REBOUND OFF by MCNEES,ANDREW",,,,,,,"REBOUND OFF by MCNEES,ANDREW",2
01:04,"MISS LAYUP by UGHOVWA,NICHOLAS",,,,,,,"MISS LAYUP by UGHOVWA,NICHOLAS",2
--,"REBOUND OFF by UGHOVWA,NICHOLAS",,,,,,,"REBOUND OFF by UGHOVWA,NICHOLAS",2
01:01,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",2
01:00,,,,,"STEAL  by CHERRY,GRIFFIN",,,"STEAL  by CHERRY,GRIFFIN",2
00:53,,,,,"TURNOVER  by NORTHCUTT,TERRENCE",,,"TURNOVER  by NORTHCUTT,TERRENCE",2
00:52,"STEAL  by HAUPT,KYLE",,,,,,,"STEAL  by HAUPT,KYLE",2
00:51,"GOOD LAYUP by HAUPT,KYLE(fastbreak)(in the paint)",63,,86 (+23),,Mill 63-86 (-23),,"GOOD LAYUP by HAUPT,KYLE(fastbreak)(in the paint)",2
00:44,,,,,"MISS 3PTR by FISCHER,DAVID",,,"MISS 3PTR by FISCHER,DAVID",2
--,,,,,"REBOUND OFF by CHERRY,GRIFFIN",,,"REBOUND OFF by CHERRY,GRIFFIN",2
00:35,,,,,"MISS 3PTR by NORTHCUTT,TERRENCE",,,"MISS 3PTR by NORTHCUTT,TERRENCE",2
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",2
00:22,"GOOD LAYUP by MCNEES,ANDREW(in the paint)",65,,86 (+21),,Mill 65-86 (-21),,"GOOD LAYUP by MCNEES,ANDREW(in the paint)",2
--,"ASSIST  by UGHOVWA,NICHOLAS",,,,,,,"ASSIST  by UGHOVWA,NICHOLAS",2
