Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Whitm,Game Score,Team Indicator,Play,Period
01:40,"MISS JUMPER by MCNEES,ANDREW(in the paint)",,,,,,,"MISS JUMPER by MCNEES,ANDREW(in the paint)",2
--,,,,,"REBOUND DEF by EFE ISIK,ALI",,,"REBOUND DEF by EFE ISIK,ALI",2
01:40,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",2
01:40,,,,,"MISS FT by MIHAJLOVIC,MARKO",,,"MISS FT by MIHAJLOVIC,MARKO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:40,,49,,78 (+29),"GOOD FT by MIHAJLOVIC,MARKO",Whitm 49-78 (-29),,"GOOD FT by MIHAJLOVIC,MARKO",2
01:38,,,,,"MISS JUMPER by MIHAJLOVIC,MARKO",,,"MISS JUMPER by MIHAJLOVIC,MARKO",2
--,"REBOUND DEF by WATSON,EVAN",,,,,,,"REBOUND DEF by WATSON,EVAN",2
01:24,"GOOD LAYUP by MCNEES,ANDREW(in the paint)",51,,78 (+27),,Mill 51-78 (-27),,"GOOD LAYUP by MCNEES,ANDREW(in the paint)",2
01:16,,,,,"SUB IN by LATKOVICH,GABE",,,"SUB IN by LATKOVICH,GABE",2
01:16,,,,,"SUB IN by KLIAVKOFF,HENRY",,,"SUB IN by KLIAVKOFF,HENRY",2
01:16,,,,,"SUB OUT by PAPE,ALEX",,,"SUB OUT by PAPE,ALEX",2
01:16,,,,,"SUB OUT by JOHNSON,SEAN",,,"SUB OUT by JOHNSON,SEAN",2
01:16,,,,,"SUB OUT by EFE ISIK,ALI",,,"SUB OUT by EFE ISIK,ALI",2
01:16,,,,,"SUB IN by LINO,XZAVIER",,,"SUB IN by LINO,XZAVIER",2
01:16,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",2
01:16,"SUB OUT by WATSON,EVAN",,,,,,,"SUB OUT by WATSON,EVAN",2
01:16,"SUB OUT by HAUPT,KYLE",,,,,,,"SUB OUT by HAUPT,KYLE",2
01:16,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",2
01:16,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",2
01:16,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",2
00:59,,,,,"SUB OUT by LINO,XZAVIER",,,"SUB OUT by LINO,XZAVIER",2
00:59,,,,,"SUB IN by JOHNSON,SEAN",,,"SUB IN by JOHNSON,SEAN",2
00:54,,51,,80 (+29),"GOOD LAYUP by MIHAJLOVIC,MARKO(in the paint)",Whitm 51-80 (-29),,"GOOD LAYUP by MIHAJLOVIC,MARKO(in the paint)",2
--,,,,,"ASSIST  by KLIAVKOFF,HENRY",,,"ASSIST  by KLIAVKOFF,HENRY",2
00:54,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",2
00:54,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",2
00:54,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",2
00:54,"SUB IN by HAUPT,KYLE",,,,,,,"SUB IN by HAUPT,KYLE",2
00:54,"SUB IN by WATSON,EVAN",,,,,,,"SUB IN by WATSON,EVAN",2
00:54,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",2
00:31,,,,,"FOUL  by MIHAJLOVIC,MARKO",,,"FOUL  by MIHAJLOVIC,MARKO",2
00:25,"GOOD JUMPER by HAUPT,KYLE",53,,80 (+27),,Mill 53-80 (-27),,"GOOD JUMPER by HAUPT,KYLE",2
