Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
03:02,"MISS 3PTR by YOUNG,DILLON",,,,,,,"MISS 3PTR by YOUNG,DILLON",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
02:35,,38,,39 (+1),"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",SEWANEE 38-39 (+1),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",1
02:11,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",1
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",1
02:09,,,,,"FOUL  by GARWOOD,MACKIE",,,"FOUL  by GARWOOD,MACKIE",1
02:09,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:09,"GOOD FT by PELT,JUSTIN VAN",39,,39,,MIL 39-39 (0),,"GOOD FT by PELT,JUSTIN VAN",1
02:09,"GOOD FT by PELT,JUSTIN VAN",40 (+1),,39,,MIL 40-39 (-1),,"GOOD FT by PELT,JUSTIN VAN",1
02:09,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
02:09,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
02:09,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",1
02:09,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
02:09,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
02:09,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
02:09,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
02:09,"SUB OUT by YOUNG,DILLON",,,,,,,"SUB OUT by YOUNG,DILLON",1
02:09,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
02:09,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
02:09,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
02:09,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
01:59,,,,,"TURNOVER  by CRUMLY,JONNY",,,"TURNOVER  by CRUMLY,JONNY",1
01:58,"STEAL  by BURNETT,DREW",,,,,,,"STEAL  by BURNETT,DREW",1
01:52,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",42 (+3),,39,,MIL 42-39 (-3),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",1
--,"ASSIST  by GRANT,SHE'CHEM",,,,,,,"ASSIST  by GRANT,SHE'CHEM",1
01:33,,42 (+1),,41,"GOOD JUMPER by KNOX,JOEY(in the paint)",SEWANEE 42-41 (-1),,"GOOD JUMPER by KNOX,JOEY(in the paint)",1
01:27,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
