Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
04:54,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
04:54,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
04:54,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
04:54,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
04:54,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
04:53,"FOUL  by HOLLOWAY,JACK",,,,,,,"FOUL  by HOLLOWAY,JACK",1
04:53,,24,,24,"GOOD FT by BATES,JACOB",Centre 24-24 (0),,"GOOD FT by BATES,JACOB",1
04:53,,24,,25 (+1),"GOOD FT by BATES,JACOB",Centre 24-25 (-1),,"GOOD FT by BATES,JACOB",1
04:53,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
04:53,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
04:21,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
04:09,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
04:05,"GOOD 3PTR by MCDONOUGH,SEAN(fastbreak)",27 (+2),,25,,Sewan 27-25 (+2),,"GOOD 3PTR by MCDONOUGH,SEAN(fastbreak)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
03:47,,27,,27,"GOOD JUMPER by AYERS,PERRY(in the paint)",Centre 27-27 (0),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
03:23,"TURNOVER  by STARR,RYAN",,,,,,,"TURNOVER  by STARR,RYAN",1
03:23,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
03:15,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",1
03:02,"GOOD 3PTR by STARR,RYAN",30 (+3),,27,,Sewan 30-27 (+3),,"GOOD 3PTR by STARR,RYAN",1
02:36,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",1
