Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
10:09,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
10:09,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
09:51,,21 (+1),,20,"GOOD JUMPER by ZACHERY,CEAUNTE(in the paint)",Hunt 21-20 (+1),,"GOOD JUMPER by ZACHERY,CEAUNTE(in the paint)",1
09:30,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
09:07,,21,,22 (+1),"GOOD JUMPER by TONEY,CALEB(in the paint)",Hunt 21-22 (-1),,"GOOD JUMPER by TONEY,CALEB(in the paint)",1
08:36,"GOOD JUMPER by WARLICK,JORDAN(in the paint)",23 (+1),,22,,Sewan 23-22 (+1),,"GOOD JUMPER by WARLICK,JORDAN(in the paint)",1
08:18,,,,,"TURNOVER  by WASHINGTON,AARON",,,"TURNOVER  by WASHINGTON,AARON",1
08:18,"STEAL  by STARR,RYAN",,,,,,,"STEAL  by STARR,RYAN",1
08:05,"GOOD 3PTR by BARRY,MICHAEL",26 (+4),,22,,Sewan 26-22 (+4),,"GOOD 3PTR by BARRY,MICHAEL",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
07:52,,,,,"FOUL  by WOODS,MYKEL",,,"FOUL  by WOODS,MYKEL",1
07:52,,,,,"TURNOVER  by WOODS,MYKEL",,,"TURNOVER  by WOODS,MYKEL",1
07:52,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:51,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
07:51,,,,,"SUB OUT by WOODS,MYKEL",,,"SUB OUT by WOODS,MYKEL",1
07:44,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",28 (+6),,22,,Sewan 28-22 (+6),,"GOOD LAYUP by BARRY,MICHAEL(in the paint)",1
07:27,,,,,"TURNOVER  by WASHINGTON,AARON",,,"TURNOVER  by WASHINGTON,AARON",1
07:27,"STEAL  by STARR,RYAN",,,,,,,"STEAL  by STARR,RYAN",1
07:19,"GOOD LAYUP by STARR,RYAN(fastbreak)(in the paint)",30 (+8),,22,,Sewan 30-22 (+8),,"GOOD LAYUP by STARR,RYAN(fastbreak)(in the paint)",1
07:10,,,,,"TURNOVER  by ZACHERY,CEAUNTE",,,"TURNOVER  by ZACHERY,CEAUNTE",1
07:10,"STEAL  by STARR,RYAN",,,,,,,"STEAL  by STARR,RYAN",1
06:52,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",32 (+10),,22,,Sewan 32-22 (+10),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STARR,RYAN",,,,,,,"ASSIST  by STARR,RYAN",1
06:30,,32 (+8),,24,"GOOD JUMPER by ZACHERY,CEAUNTE(in the paint)",Hunt 32-24 (+8),,"GOOD JUMPER by ZACHERY,CEAUNTE(in the paint)",1
06:06,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
05:57,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
05:57,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
05:57,,,,,"SUB IN by CHAMPION,JACOB",,,"SUB IN by CHAMPION,JACOB",1
05:57,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
05:57,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
05:57,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
05:57,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
05:57,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
05:57,,,,,"SUB OUT by WASHINGTON,AARON",,,"SUB OUT by WASHINGTON,AARON",1
05:57,,,,,"SUB OUT by GREEN,THOMAS",,,"SUB OUT by GREEN,THOMAS",1
05:50,,32 (+6),,26,"GOOD JUMPER by MADISON,DAMIEN",Hunt 32-26 (+6),,"GOOD JUMPER by MADISON,DAMIEN",1
--,,,,,"ASSIST  by HOBSON,CHARVEZ'",,,"ASSIST  by HOBSON,CHARVEZ'",1
05:42,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
05:42,,,,,"STEAL  by ZACHERY,CEAUNTE",,,"STEAL  by ZACHERY,CEAUNTE",1
05:40,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
05:40,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
05:28,,32 (+4),,28,"GOOD JUMPER by MADISON,DAMIEN(in the paint)",Hunt 32-28 (+4),,"GOOD JUMPER by MADISON,DAMIEN(in the paint)",1
05:09,"MISS 3PTR by JENNINGS,SAM",,,,,,,"MISS 3PTR by JENNINGS,SAM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:09,,,,,"FOUL  by HOBSON,CHARVEZ'",,,"FOUL  by HOBSON,CHARVEZ'",1
04:57,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",34 (+6),,28,,Sewan 34-28 (+6),,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",1
04:50,,,,,"MISS 3PTR by CHAMPION,JACOB",,,"MISS 3PTR by CHAMPION,JACOB",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
04:27,,,,,"SUB IN by TONEY,CALEB",,,"SUB IN by TONEY,CALEB",1
04:27,,,,,"SUB IN by BOYD,CAM",,,"SUB IN by BOYD,CAM",1
04:27,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",1
04:27,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
04:24,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",36 (+8),,28,,Sewan 36-28 (+8),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1
04:10,,36 (+5),,31,"GOOD 3PTR by MADISON,DAMIEN",Hunt 36-31 (+5),,"GOOD 3PTR by MADISON,DAMIEN",1
--,,,,,"ASSIST  by BOYD,CAM",,,"ASSIST  by BOYD,CAM",1
03:44,"MISS JUMPER by STARR,RYAN",,,,,,,"MISS JUMPER by STARR,RYAN",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
03:36,,,,,"TURNOVER  by HARRIS,JAMES",,,"TURNOVER  by HARRIS,JAMES",1
03:36,"STEAL  by BARRY,MICHAEL",,,,,,,"STEAL  by BARRY,MICHAEL",1
03:29,"GOOD LAYUP by JENNINGS,SAM(fastbreak)(in the paint)",38 (+7),,31,,Sewan 38-31 (+7),,"GOOD LAYUP by JENNINGS,SAM(fastbreak)(in the paint)",1
03:15,,,,,"TURNOVER  by CHAMPION,JACOB",,,"TURNOVER  by CHAMPION,JACOB",1
03:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:15,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
03:15,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
03:15,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
03:15,"SUB OUT by JENNINGS,SAM",,,,,,,"SUB OUT by JENNINGS,SAM",1
03:02,"GOOD 3PTR by WARLICK,JORDAN",41 (+10),,31,,Sewan 41-31 (+10),,"GOOD 3PTR by WARLICK,JORDAN",1
02:41,,,,,"MISS 3PTR by CHAMPION,JACOB",,,"MISS 3PTR by CHAMPION,JACOB",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
02:28,,,,,"SUB IN by GREEN,THOMAS",,,"SUB IN by GREEN,THOMAS",1
02:28,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
02:22,"MISS 3PTR by BARRY,MICHAEL",,,,,,,"MISS 3PTR by BARRY,MICHAEL",1
--,"REBOUND OFF by WARLICK,JORDAN",,,,,,,"REBOUND OFF by WARLICK,JORDAN",1
02:17,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
02:17,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
02:17,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",1
02:17,,,,,"SUB IN by WASHINGTON,AARON",,,"SUB IN by WASHINGTON,AARON",1
02:17,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
02:17,,,,,"SUB OUT by CHAMPION,JACOB",,,"SUB OUT by CHAMPION,JACOB",1
02:17,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
01:56,,,,,"TURNOVER  by ZACHERY,CEAUNTE",,,"TURNOVER  by ZACHERY,CEAUNTE",1
01:51,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
