Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
16:44,"GOOD LAYUP by FOSTER,LANE(in the paint)",48 (+7),,41,,OUM 48-41 (-7),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
16:26,"FOUL  by CAMMON,JOSH",,,,,,,"FOUL  by CAMMON,JOSH",2
16:26,,48 (+6),,42,"GOOD FT by THOMAS,ADRIAN",SEWANEE 48-42 (-6),,"GOOD FT by THOMAS,ADRIAN",2
16:26,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",2
--,"REBOUND DEF by CAMMON,JOSH",,,,,,,"REBOUND DEF by CAMMON,JOSH",2
16:26,,,,,"FOUL  by BARRY,MICHAEL",,,"FOUL  by BARRY,MICHAEL",2
16:09,,,,,"FOUL  by STARR,RYAN",,,"FOUL  by STARR,RYAN",2
16:09,,,,,"SUB IN by GARWOOD,MACKIE",,,"SUB IN by GARWOOD,MACKIE",2
16:09,,,,,"SUB OUT by STARR,RYAN",,,"SUB OUT by STARR,RYAN",2
16:08,"GOOD 3PTR by CHAMBERS,DIMETRI",51 (+9),,42,,OUM 51-42 (-9),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
15:49,,,,,"MISS JUMPER by BARRY,MICHAEL",,,"MISS JUMPER by BARRY,MICHAEL",2
