Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
03:59,,22,,36 (+14),"GOOD FT by ANDERSON,KYRON",LC 22-36 (-14),,"GOOD FT by ANDERSON,KYRON",1
03:59,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
03:59,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
03:47,"GOOD LAYUP by THOMAS,LARRY(in the paint)",24,,36 (+12),,BSC 24-36 (-12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
03:33,,24,,38 (+14),"GOOD JUMPER by SMITH,IRA(in the paint)",LC 24-38 (-14),,"GOOD JUMPER by SMITH,IRA(in the paint)",1
03:26,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",26,,38 (+12),,BSC 26-38 (-12),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",1
03:26,,,,,"FOUL  by WHITE,MIKE",,,"FOUL  by WHITE,MIKE",1
03:26,"GOOD FT by RICHARDS,ZAC",27,,38 (+11),,BSC 27-38 (-11),,"GOOD FT by RICHARDS,ZAC",1
03:26,,,,,"SUB IN by BENNETT,LINCOLN",,,"SUB IN by BENNETT,LINCOLN",1
03:26,,,,,"SUB OUT by DUGGER,PATRICK",,,"SUB OUT by DUGGER,PATRICK",1
03:17,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
03:17,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",1
03:17,,,,,"SUB IN by MITCHELL,NICK",,,"SUB IN by MITCHELL,NICK",1
03:17,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
03:06,,,,,"FOUL  by SMITH,IRA",,,"FOUL  by SMITH,IRA",1
03:06,"GOOD FT by RICHARDS,ZAC",28,,38 (+10),,BSC 28-38 (-10),,"GOOD FT by RICHARDS,ZAC",1
03:06,"GOOD FT by RICHARDS,ZAC",29,,38 (+9),,BSC 29-38 (-9),,"GOOD FT by RICHARDS,ZAC",1
02:44,,29,,40 (+11),"GOOD JUMPER by ANDERSON,KYRON(in the paint)",LC 29-40 (-11),,"GOOD JUMPER by ANDERSON,KYRON(in the paint)",1
02:37,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",1
02:37,,,,,"BLOCK  by ANDERSON,KYRON",,,"BLOCK  by ANDERSON,KYRON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:33,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by ANDERSON,KYRON",,,"REBOUND DEF by ANDERSON,KYRON",1
