Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
01:20,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
01:20,,,,,"SUB IN by TEEMS,JORDAN",,,"SUB IN by TEEMS,JORDAN",1
01:20,,,,,"SUB OUT by ABRAMS,JONATHAN",,,"SUB OUT by ABRAMS,JONATHAN",1
01:06,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
01:04,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
00:59,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",20,,28 (+8),,BSCM 20-28 (-8),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
00:47,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
00:44,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
00:25,"GOOD LAYUP by THOMAS,LARRY(in the paint)",22,,28 (+6),,BSCM 22-28 (-6),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
00:25,,,,,"FOUL  by MARSH,CODY",,,"FOUL  by MARSH,CODY",1
00:25,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
00:25,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
00:25,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:25,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
00:25,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
00:25,"SUB OUT by ASSANESI,KELLY",,,,,,,"SUB OUT by ASSANESI,KELLY",1
00:12,"GOOD FT by THOMAS,LARRY",23,,28 (+5),,BSCM 23-28 (-5),,"GOOD FT by THOMAS,LARRY",1
00:01,,,,,"MISS 3PTR by MARSH,CODY",,,"MISS 3PTR by MARSH,CODY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:49,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",2
19:45,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
