Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
05:20,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
05:07,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",30,,40 (+10),,RUST 30-40 (+10),,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",1
04:45,,30,,43 (+13),"GOOD 3PTR by MARSCHNER,BRENDAN",BSC 30-43 (+13),,"GOOD 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
04:37,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",1
04:37,,,,,"STEAL  by WELCH,ROSS",,,"STEAL  by WELCH,ROSS",1
04:37,,30,,45 (+15),"GOOD LAYUP by WELCH,ROSS(fastbreak)(in the paint)",BSC 30-45 (+15),,"GOOD LAYUP by WELCH,ROSS(fastbreak)(in the paint)",1
04:26,"GOOD LAYUP by SEALS,JORDAN(in the paint)",32,,45 (+13),,RUST 32-45 (+13),,"GOOD LAYUP by SEALS,JORDAN(in the paint)",1
--,"ASSIST  by MCCOLLUM,RICKEY",,,,,,,"ASSIST  by MCCOLLUM,RICKEY",1
04:09,"SUB IN by GAMBLE,CHRIS",,,,,,,"SUB IN by GAMBLE,CHRIS",1
04:09,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
04:05,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
04:04,"STEAL  by MCCOLLUM,RICKEY",,,,,,,"STEAL  by MCCOLLUM,RICKEY",1
04:01,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",34,,45 (+11),,RUST 34-45 (+11),,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",1
03:41,,34,,47 (+13),"GOOD LAYUP by HOLLAND,JASON(in the paint)",BSC 34-47 (+13),,"GOOD LAYUP by HOLLAND,JASON(in the paint)",1
03:28,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",36,,47 (+11),,RUST 36-47 (+11),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
--,"ASSIST  by GAMBLE,CHRIS",,,,,,,"ASSIST  by GAMBLE,CHRIS",1
03:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:27,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",1
03:27,"SUB IN by BIRK,ANDREW",,,,,,,"SUB IN by BIRK,ANDREW",1
03:27,"SUB OUT by MCCOLLUM,RICKEY",,,,,,,"SUB OUT by MCCOLLUM,RICKEY",1
03:27,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",1
03:27,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
03:27,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
03:27,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
03:27,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
03:27,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
03:27,,,,,"SUB OUT by WARRICK,JOHN",,,"SUB OUT by WARRICK,JOHN",1
03:27,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
03:27,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
03:27,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:27,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
03:13,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:12,"SUB IN by BEASLEY,KARL",,,,,,,"SUB IN by BEASLEY,KARL",1
03:12,"SUB OUT by GREDIC,KWAHMERE",,,,,,,"SUB OUT by GREDIC,KWAHMERE",1
02:58,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
02:58,"MISS FT by VEASLEY,LARRY",,,,,,,"MISS FT by VEASLEY,LARRY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:58,"GOOD FT by VEASLEY,LARRY",37,,47 (+10),,RUST 37-47 (+10),,"GOOD FT by VEASLEY,LARRY",1
02:40,,37,,49 (+12),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 37-49 (+12),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
02:30,"TURNOVER  by BEASLEY,KARL",,,,,,,"TURNOVER  by BEASLEY,KARL",1
02:28,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
02:26,,37,,51 (+14),"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",BSC 37-51 (+14),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",1
02:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:22,"TURNOVER  by BIRK,ANDREW",,,,,,,"TURNOVER  by BIRK,ANDREW",1
02:22,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
02:15,,37,,53 (+16),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 37-53 (+16),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
02:06,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
02:06,"GOOD FT by VEASLEY,LARRY",38,,53 (+15),,RUST 38-53 (+15),,"GOOD FT by VEASLEY,LARRY",1
02:06,"GOOD FT by VEASLEY,LARRY",39,,53 (+14),,RUST 39-53 (+14),,"GOOD FT by VEASLEY,LARRY",1
01:55,,39,,55 (+16),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 39-55 (+16),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
01:43,"MISS 3PTR by BIRK,ANDREW",,,,,,,"MISS 3PTR by BIRK,ANDREW",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
01:38,"FOUL  by BEASLEY,KARL",,,,,,,"FOUL  by BEASLEY,KARL",1
01:38,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:38,,39,,56 (+17),"GOOD FT by RICHARDS,ZAC",BSC 39-56 (+17),,"GOOD FT by RICHARDS,ZAC",1
01:38,,,,,"TURNOVER  by KEGARISE,KEVIN",,,"TURNOVER  by KEGARISE,KEVIN",1
01:35,"STEAL  by BARNS,KELSEY",,,,,,,"STEAL  by BARNS,KELSEY",1
01:33,"TURNOVER  by BEASLEY,KARL",,,,,,,"TURNOVER  by BEASLEY,KARL",1
01:24,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
01:24,"SUB IN by LOWE,O'DARIUS",,,,,,,"SUB IN by LOWE,O'DARIUS",1
01:24,"SUB OUT by VEASLEY,LARRY",,,,,,,"SUB OUT by VEASLEY,LARRY",1
01:13,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
