Time Remaining,WITT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
04:01,"GOOD JUMPER by BERTEMES,JACOB(in the paint)",84 (+25),,59,,WITT 84-59 (-25),,"GOOD JUMPER by BERTEMES,JACOB(in the paint)",2
03:49,,,,,"MISS 3PTR by LOVING,TAU",,,"MISS 3PTR by LOVING,TAU",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
03:46,"FOUL  by SLONEKER,CHRIS",,,,,,,"FOUL  by SLONEKER,CHRIS",2
03:46,,,,,"MISS FT by MOORE,KADEN",,,"MISS FT by MOORE,KADEN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:46,,84 (+24),,60,"GOOD FT by MOORE,KADEN",BSC 84-60 (-24),,"GOOD FT by MOORE,KADEN",2
03:46,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",2
03:46,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",2
03:26,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",2
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",2
03:15,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",2
03:14,"STEAL  by BERTEMES,JACOB",,,,,,,"STEAL  by BERTEMES,JACOB",2
03:11,"TURNOVER  by BERTEMES,JACOB",,,,,,,"TURNOVER  by BERTEMES,JACOB",2
03:10,,,,,"STEAL  by LOVING,JIBRI",,,"STEAL  by LOVING,JIBRI",2
03:07,,,,,"MISS JUMPER by BUTLER,TERENCE",,,"MISS JUMPER by BUTLER,TERENCE",2
--,,,,,"REBOUND OFF by MOORE,KADEN",,,"REBOUND OFF by MOORE,KADEN",2
03:04,,,,,"MISS JUMPER by MOORE,KADEN",,,"MISS JUMPER by MOORE,KADEN",2
03:04,"BLOCK  by SEIPEL,CONNOR",,,,,,,"BLOCK  by SEIPEL,CONNOR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:04,,,,,"TURNOVER  by BUTLER,TERENCE",,,"TURNOVER  by BUTLER,TERENCE",2
03:04,"STEAL  by BERTEMES,JACOB",,,,,,,"STEAL  by BERTEMES,JACOB",2
03:04,,,,,"SUB IN by HARTER,J MORGAN",,,"SUB IN by HARTER,J MORGAN",2
03:04,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
02:49,"SUB IN by MORGAN,MICHAEL",,,,,,,"SUB IN by MORGAN,MICHAEL",2
02:49,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",2
02:47,"GOOD JUMPER by BERTEMES,JACOB",86 (+26),,60,,WITT 86-60 (-26),,"GOOD JUMPER by BERTEMES,JACOB",2
02:28,"FOUL  by MORGAN,MICHAEL",,,,,,,"FOUL  by MORGAN,MICHAEL",2
02:28,,,,,"MISS FT by BUTLER,TERENCE",,,"MISS FT by BUTLER,TERENCE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:28,,86 (+25),,61,"GOOD FT by BUTLER,TERENCE",BSC 86-61 (-25),,"GOOD FT by BUTLER,TERENCE",2
02:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:23,"SUB IN by BAUGHMAN,ALEX",,,,,,,"SUB IN by BAUGHMAN,ALEX",2
02:23,"SUB IN by BOYD,LOGAN",,,,,,,"SUB IN by BOYD,LOGAN",2
02:23,"SUB IN by BACHMAN,COLTON",,,,,,,"SUB IN by BACHMAN,COLTON",2
02:23,"SUB IN by FAIR,MARK",,,,,,,"SUB IN by FAIR,MARK",2
02:23,"SUB IN by PEAKS,RYAN",,,,,,,"SUB IN by PEAKS,RYAN",2
02:23,"SUB OUT by ALI-SHAKIR,RASHAAD",,,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",2
02:23,"SUB OUT by BALSER,MITCHELL",,,,,,,"SUB OUT by BALSER,MITCHELL",2
02:23,"SUB OUT by MORGAN,MICHAEL",,,,,,,"SUB OUT by MORGAN,MICHAEL",2
02:23,"SUB OUT by SEIPEL,CONNOR",,,,,,,"SUB OUT by SEIPEL,CONNOR",2
02:23,"SUB OUT by BERTEMES,JACOB",,,,,,,"SUB OUT by BERTEMES,JACOB",2
02:10,"MISS JUMPER by PEAKS,RYAN",,,,,,,"MISS JUMPER by PEAKS,RYAN",2
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",2
01:51,,,,,"MISS 3PTR by BUTLER,TERENCE",,,"MISS 3PTR by BUTLER,TERENCE",2
--,"REBOUND DEF by BOYD,LOGAN",,,,,,,"REBOUND DEF by BOYD,LOGAN",2
01:29,"MISS 3PTR by BACHMAN,COLTON",,,,,,,"MISS 3PTR by BACHMAN,COLTON",2
--,,,,,"REBOUND DEF by LOVING,TAU",,,"REBOUND DEF by LOVING,TAU",2
01:18,,,,,"MISS 3PTR by HARTER,J MORGAN",,,"MISS 3PTR by HARTER,J MORGAN",2
--,"REBOUND DEF by BACHMAN,COLTON",,,,,,,"REBOUND DEF by BACHMAN,COLTON",2
01:15,,,,,"SUB IN by PRAYTOR,ANDREW",,,"SUB IN by PRAYTOR,ANDREW",2
01:15,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",2
01:15,,,,,"SUB IN by MCCURRY,CONAL",,,"SUB IN by MCCURRY,CONAL",2
01:15,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",2
01:15,,,,,"SUB OUT by BUTLER,TERENCE",,,"SUB OUT by BUTLER,TERENCE",2
01:15,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",2
00:59,"MISS 3PTR by BACHMAN,COLTON",,,,,,,"MISS 3PTR by BACHMAN,COLTON",2
--,,,,,"REBOUND DEF by ZHOU,ANDY",,,"REBOUND DEF by ZHOU,ANDY",2
00:55,,,,,"TURNOVER  by ZHOU,ANDY",,,"TURNOVER  by ZHOU,ANDY",2
00:54,"STEAL  by PEAKS,RYAN",,,,,,,"STEAL  by PEAKS,RYAN",2
00:49,"MISS LAYUP by FAIR,MARK",,,,,,,"MISS LAYUP by FAIR,MARK",2
--,,,,,"REBOUND DEF by LOVING,TAU",,,"REBOUND DEF by LOVING,TAU",2
00:36,,86 (+23),,63,"GOOD LAYUP by LOVING,TAU(in the paint)",BSC 86-63 (-23),,"GOOD LAYUP by LOVING,TAU(in the paint)",2
00:17,"MISS JUMPER by PEAKS,RYAN",,,,,,,"MISS JUMPER by PEAKS,RYAN",2
--,,,,,"REBOUND DEF by MCCURRY,CONAL",,,"REBOUND DEF by MCCURRY,CONAL",2
00:12,,,,,"TURNOVER  by MCCURRY,CONAL",,,"TURNOVER  by MCCURRY,CONAL",2
00:11,"STEAL  by PEAKS,RYAN",,,,,,,"STEAL  by PEAKS,RYAN",2
