Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
09:05,"MISS 3PTR by LOVING,JIBRI",,,,,,,"MISS 3PTR by LOVING,JIBRI",1
--,,,,,"REBOUND DEF by JONES,RJ",,,"REBOUND DEF by JONES,RJ",1
08:55,,19,,27 (+8),"GOOD 3PTR by ELMORE,TC",HCM 19-27 (-8),,"GOOD 3PTR by ELMORE,TC",1
--,,,,,"ASSIST  by BEEMAN,JALEEL",,,"ASSIST  by BEEMAN,JALEEL",1
08:35,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:31,,,,,"SUB IN by CHADWICK,SCOTTY",,,"SUB IN by CHADWICK,SCOTTY",1
08:31,,,,,"SUB IN by BOYD,CAM",,,"SUB IN by BOYD,CAM",1
08:31,,,,,"SUB IN by KING,ISAIAH",,,"SUB IN by KING,ISAIAH",1
08:31,,,,,"SUB OUT by GRAVES,JOHN JAY",,,"SUB OUT by GRAVES,JOHN JAY",1
08:31,,,,,"SUB OUT by JONES,RJ",,,"SUB OUT by JONES,RJ",1
08:31,,,,,"SUB OUT by BEEMAN,JALEEL",,,"SUB OUT by BEEMAN,JALEEL",1
08:21,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
08:21,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
08:21,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
08:21,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
08:21,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
08:21,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
08:18,,19,,29 (+10),"GOOD JUMPER by ELMORE,TC(in the paint)",HCM 19-29 (-10),,"GOOD JUMPER by ELMORE,TC(in the paint)",1
08:14,"GOOD 3PTR by MOORE,KADEN",22,,29 (+7),,17BSC-M 22-29 (-7),,"GOOD 3PTR by MOORE,KADEN",1
07:59,,,,,"MISS JUMPER by ELMORE,TC",,,"MISS JUMPER by ELMORE,TC",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
07:39,,,,,"FOUL  by KING,ISAIAH",,,"FOUL  by KING,ISAIAH",1
07:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:39,"GOOD FT by ALLISON,ZACH",23,,29 (+6),,17BSC-M 23-29 (-6),,"GOOD FT by ALLISON,ZACH",1
07:39,"GOOD FT by ALLISON,ZACH",24,,29 (+5),,17BSC-M 24-29 (-5),,"GOOD FT by ALLISON,ZACH",1
07:31,,,,,"MISS LAYUP by CHADWICK,SCOTTY",,,"MISS LAYUP by CHADWICK,SCOTTY",1
--,"REBOUND DEF by MOORE,KADEN",,,,,,,"REBOUND DEF by MOORE,KADEN",1
07:07,,,,,"FOUL  by BOYD,CAM",,,"FOUL  by BOYD,CAM",1
07:07,"GOOD FT by RUDAK,MATEUSZ",25,,29 (+4),,17BSC-M 25-29 (-4),,"GOOD FT by RUDAK,MATEUSZ",1
07:07,"MISS FT by RUDAK,MATEUSZ",,,,,,,"MISS FT by RUDAK,MATEUSZ",1
--,,,,,"REBOUND DEF by BOYD,CAM",,,"REBOUND DEF by BOYD,CAM",1
06:57,,,,,"MISS 3PTR by KING,ISAIAH",,,"MISS 3PTR by KING,ISAIAH",1
--,"REBOUND DEF by BUTLER,TERENCE",,,,,,,"REBOUND DEF by BUTLER,TERENCE",1
06:46,"TURNOVER  by MOORE,KADEN",,,,,,,"TURNOVER  by MOORE,KADEN",1
06:45,,,,,"STEAL  by HOBSON,CHARVEZ'",,,"STEAL  by HOBSON,CHARVEZ'",1
06:41,,,,,"MISS LAYUP by HOBSON,CHARVEZ'",,,"MISS LAYUP by HOBSON,CHARVEZ'",1
--,,,,,"REBOUND OFF by MCLEAN,BRANDON",,,"REBOUND OFF by MCLEAN,BRANDON",1
06:38,,25,,31 (+6),"GOOD LAYUP by BOYD,CAM(in the paint)",HCM 25-31 (-6),,"GOOD LAYUP by BOYD,CAM(in the paint)",1
06:33,"MISS JUMPER by BUTLER,TERENCE",,,,,,,"MISS JUMPER by BUTLER,TERENCE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:29,,,,,"SUB IN by MCLEAN,BRANDON",,,"SUB IN by MCLEAN,BRANDON",1
