Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
08:29,,15,,30 (+15),"GOOD LAYUP by MOORE,KADEN(in the paint)",17BSC-M 15-30 (+15),,"GOOD LAYUP by MOORE,KADEN(in the paint)",1
08:06,"MISS LAYUP by PRICE,VICTOR",,,,,,,"MISS LAYUP by PRICE,VICTOR",1
08:06,,,,,"BLOCK  by RUDAK,MATEUSZ",,,"BLOCK  by RUDAK,MATEUSZ",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:04,"MISS 3PTR by PATTERSON,KYLE",,,,,,,"MISS 3PTR by PATTERSON,KYLE",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
07:51,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",1
07:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:31,"MISS 3PTR by JONES,JUSTIN",,,,,,,"MISS 3PTR by JONES,JUSTIN",1
--,,,,,"REBOUND DEF by HARTER,J MORGAN",,,"REBOUND DEF by HARTER,J MORGAN",1
07:04,"FOUL  by DURHAM,JONATHAN",,,,,,,"FOUL  by DURHAM,JONATHAN",1
07:04,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,"REBOUND DEF by PODUM,RICK",,,,,,,"REBOUND DEF by PODUM,RICK",1
07:04,"SUB IN by HEERINGEN,GIAN VAN",,,,,,,"SUB IN by HEERINGEN,GIAN VAN",1
07:04,"SUB IN by PODUM,RICK",,,,,,,"SUB IN by PODUM,RICK",1
07:04,"SUB IN by LEATHERWOOD,TREVEYON",,,,,,,"SUB IN by LEATHERWOOD,TREVEYON",1
07:04,"SUB IN by JONES,JUSTIN",,,,,,,"SUB IN by JONES,JUSTIN",1
07:04,"SUB IN by MCCOY,TOMMY",,,,,,,"SUB IN by MCCOY,TOMMY",1
07:04,"SUB OUT by BROWN,ISAIAH",,,,,,,"SUB OUT by BROWN,ISAIAH",1
07:04,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
07:04,"SUB OUT by WEBER,BRENT",,,,,,,"SUB OUT by WEBER,BRENT",1
07:04,"SUB OUT by RICHARDSON,TERIK",,,,,,,"SUB OUT by RICHARDSON,TERIK",1
07:04,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
07:04,,,,,"SUB IN by HARTER,J MORGAN",,,"SUB IN by HARTER,J MORGAN",1
07:04,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:04,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
07:04,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
06:45,"MISS 3PTR by MCCOY,TOMMY",,,,,,,"MISS 3PTR by MCCOY,TOMMY",1
