Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
05:28,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
05:28,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
05:28,,,,,"SUB IN by LEONE,JAMES",,,"SUB IN by LEONE,JAMES",1
05:28,,,,,"SUB OUT by HARRINGTON,DYLAN",,,"SUB OUT by HARRINGTON,DYLAN",1
05:09,,,,,"MISS JUMPER by HAIGHT,JAKE",,,"MISS JUMPER by HAIGHT,JAKE",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
04:50,"GOOD LAYUP by SPENCE,BEN(in the paint)",28 (+4),,24,,BSC 28-24 (+4),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
04:29,,28 (+2),,26,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",SJFC 28-26 (+2),,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",1
04:16,"GOOD 3PTR by SPENCE,BEN",31 (+5),,26,,BSC 31-26 (+5),,"GOOD 3PTR by SPENCE,BEN",1
--,"ASSIST  by YANCEY,RICH",,,,,,,"ASSIST  by YANCEY,RICH",1
04:00,,,,,"MISS 3PTR by ENGLISH,TYLER",,,"MISS 3PTR by ENGLISH,TYLER",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
03:49,"GOOD JUMPER by GONDA,MATT",33 (+7),,26,,BSC 33-26 (+7),,"GOOD JUMPER by GONDA,MATT",1
03:27,,,,,"MISS 3PTR by D'AMICO,MICHAEL",,,"MISS 3PTR by D'AMICO,MICHAEL",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:23,,,,,"FOUL  by LEONE,JAMES",,,"FOUL  by LEONE,JAMES",1
