Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
05:29,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
05:29,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
05:28,,17,,23 (+6),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 17-23 (+6),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
04:53,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
04:42,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
04:37,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",1
04:17,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
04:05,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
03:54,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",1
03:50,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",19,,23 (+4),,SEW 19-23 (+4),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
03:37,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
03:27,"GOOD 3PTR by BRYANT,VALENTINO",22,,23 (+1),,SEW 22-23 (+1),,"GOOD 3PTR by BRYANT,VALENTINO",1
03:20,,22,,25 (+3),"GOOD LAYUP by MELLOAN,JAMES(in the paint)",CENTRE_M 22-25 (+3),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",1
--,"ASSIST  by MARTIN,SAM",,,,,,,"ASSIST  by MARTIN,SAM",1
03:13,,,,,"MISS FT by MELLOAN,JAMES",,,"MISS FT by MELLOAN,JAMES",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
03:13,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
03:13,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
03:13,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
03:13,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
03:13,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
03:13,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
02:54,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:52,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",1
02:52,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
02:52,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",1
02:52,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
02:52,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
02:52,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
02:47,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
02:26,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:22,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
02:22,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",1
01:40,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",1
01:26,,22,,27 (+5),"GOOD LAYUP by MELLOAN,JAMES(in the paint)",CENTRE_M 22-27 (+5),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",1
01:06,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
01:06,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",1
01:06,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
01:06,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
01:06,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
01:06,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
00:50,,22,,29 (+7),"GOOD LAYUP by MELLOAN,JAMES(in the paint)",CENTRE_M 22-29 (+7),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",1
00:30,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",1
00:28,,,,,"STEAL  by ELLIS,BRYON",,,"STEAL  by ELLIS,BRYON",1
00:02,,22,,31 (+9),"GOOD LAYUP by MELLOAN,JAMES(in the paint)",CENTRE_M 22-31 (+9),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
19:49,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
19:26,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
19:26,"GOOD FT by WILLIAMS,TRENT",23,,31 (+8),,SEW 23-31 (+8),,"GOOD FT by WILLIAMS,TRENT",2
19:26,"GOOD FT by WILLIAMS,TRENT",24,,31 (+7),,SEW 24-31 (+7),,"GOOD FT by WILLIAMS,TRENT",2
19:05,,24,,34 (+10),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 24-34 (+10),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
18:46,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
18:28,,24,,36 (+12),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 24-36 (+12),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
18:04,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",2
18:04,"MISS FT by AFFRONTI,LEWIS",,,,,,,"MISS FT by AFFRONTI,LEWIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:04,"MISS FT by AFFRONTI,LEWIS",,,,,,,"MISS FT by AFFRONTI,LEWIS",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
18:00,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",2
17:58,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",2
17:56,,,,,"TURNOVER  by MULLANEY,JEFF",,,"TURNOVER  by MULLANEY,JEFF",2
17:55,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",2
17:37,"GOOD LAYUP by NELSON,ANVIL(in the paint)",26,,36 (+10),,SEW 26-36 (+10),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
17:21,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
17:00,"GOOD LAYUP by NELSON,ANVIL(in the paint)",28,,36 (+8),,SEW 28-36 (+8),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
16:31,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",2
16:29,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",2
16:19,"GOOD JUMPER by BRYANT,VALENTINO",30,,36 (+6),,SEW 30-36 (+6),,"GOOD JUMPER by BRYANT,VALENTINO",2
16:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:12,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
16:12,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
16:12,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
16:12,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
16:12,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
16:12,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
15:43,,,,,"MISS LAYUP by MELLOAN,JAMES",,,"MISS LAYUP by MELLOAN,JAMES",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
15:16,"GOOD 3PTR by BRYANT,VALENTINO",33,,36 (+3),,SEW 33-36 (+3),,"GOOD 3PTR by BRYANT,VALENTINO",2
15:13,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
15:13,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
14:57,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND OFF by MULLANEY,JEFF",,,"REBOUND OFF by MULLANEY,JEFF",2
14:51,,,,,"MISS LAYUP by MULLANEY,JEFF",,,"MISS LAYUP by MULLANEY,JEFF",2
