Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
07:46,"GOOD FT by HOPKINS,BRYE",31 (+11),,20,,MUW 31-20 (-11),,"GOOD FT by HOPKINS,BRYE",1
07:35,,31 (+9),,22,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 31-22 (-9),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
07:27,"TURNOVER  by WRIGHT,SHON",,,,,,,"TURNOVER  by WRIGHT,SHON",1
07:27,,,,,"STEAL  by PATRICK,DYLAN",,,"STEAL  by PATRICK,DYLAN",1
07:23,,31 (+7),,24,"GOOD LAYUP by PATRICK,DYLAN(fastbreak)(in the paint)",BSC 31-24 (-7),,"GOOD LAYUP by PATRICK,DYLAN(fastbreak)(in the paint)",1
07:12,,,,,"FOUL  by PATRICK,DYLAN",,,"FOUL  by PATRICK,DYLAN",1
07:12,"GOOD FT by HOPKINS,BRYE",32 (+8),,24,,MUW 32-24 (-8),,"GOOD FT by HOPKINS,BRYE",1
07:12,"MISS FT by HOPKINS,BRYE",,,,,,,"MISS FT by HOPKINS,BRYE",1
--,,,,,"REBOUND DEF by DAVIS,BRODY",,,"REBOUND DEF by DAVIS,BRODY",1
06:59,,,,,"MISS JUMPER by PATRICK,DYLAN(in the paint)",,,"MISS JUMPER by PATRICK,DYLAN(in the paint)",1
--,"REBOUND DEF by ZERADJANIN,MILOS",,,,,,,"REBOUND DEF by ZERADJANIN,MILOS",1
06:53,"MISS LAYUP by WRIGHT,SHON(in the paint)",,,,,,,"MISS LAYUP by WRIGHT,SHON(in the paint)",1
--,,,,,"REBOUND DEF by BARNETT,CHARLIE",,,"REBOUND DEF by BARNETT,CHARLIE",1
06:41,,32 (+5),,27,"GOOD 3PTR by BARNETT,CHARLIE",BSC 32-27 (-5),,"GOOD 3PTR by BARNETT,CHARLIE",1
06:29,"TURNOVER  by WRIGHT,SHON",,,,,,,"TURNOVER  by WRIGHT,SHON",1
06:29,,,,,"STEAL  by GREEN,KALEB",,,"STEAL  by GREEN,KALEB",1
06:26,,32 (+3),,29,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",BSC 32-29 (-3),,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",1
06:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
06:13,"MISS JUMPER by CAUSEY,QUINTIYUS(in the paint)",,,,,,,"MISS JUMPER by CAUSEY,QUINTIYUS(in the paint)",1
06:13,,,,,"BLOCK  by PATRICK,DYLAN",,,"BLOCK  by PATRICK,DYLAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:02,"MISS JUMPER by ZERADJANIN,MILOS",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
05:53,"FOUL  by WRIGHT,SHON",,,,,,,"FOUL  by WRIGHT,SHON",1
05:53,,32 (+2),,30,"GOOD FT by GILLISPIE,JAY",BSC 32-30 (-2),,"GOOD FT by GILLISPIE,JAY",1
05:53,"SUB OUT by HOPKINS,BRYE",,,,,,,"SUB OUT by HOPKINS,BRYE",1
05:53,"SUB OUT by WRIGHT,SHON",,,,,,,"SUB OUT by WRIGHT,SHON",1
