Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,BIRMINGH,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",2
18:27,"TURNOVER  by GOOLESBY,TATE",,,,,,,"TURNOVER  by GOOLESBY,TATE",2
18:24,,,,,"STEAL  by BISHOP,BRYSON",,,"STEAL  by BISHOP,BRYSON",2
18:21,,40,,54 (+14),"GOOD LAYUP by BISHOP,BRYSON(in the paint)",BIRMINGH 40-54 (+14),,"GOOD LAYUP by BISHOP,BRYSON(in the paint)",2
18:11,"GOOD 3PTR by JOHNS,NATE",43,,54 (+11),,HUNTINGD 43-54 (+11),,"GOOD 3PTR by JOHNS,NATE",2
17:59,,43,,56 (+13),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 43-56 (+13),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",2
--,"ASSIST  by PAGE,SAM",,,,,,,"ASSIST  by PAGE,SAM",2
17:43,"GOOD 3PTR by GOOLESBY,TATE",46,,56 (+10),,HUNTINGD 46-56 (+10),,"GOOD 3PTR by GOOLESBY,TATE",2
17:11,,46,,58 (+12),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 46-58 (+12),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
17:07,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",2
17:07,,46,,59 (+13),"GOOD FT by CHILDERS,JOSH",BIRMINGH 46-59 (+13),,"GOOD FT by CHILDERS,JOSH",2
17:07,"MISS 3PTR by GOOLESBY,TATE",,,,,,,"MISS 3PTR by GOOLESBY,TATE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:07,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
17:07,,46,,61 (+15),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 46-61 (+15),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
