Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
06:51,"MISS LAYUP by PATRICK,DYLAN(in the paint)",,,,,,,"MISS LAYUP by PATRICK,DYLAN(in the paint)",1
--,"REBOUND OFF by GILLISPIE,JAY",,,,,,,"REBOUND OFF by GILLISPIE,JAY",1
06:47,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
06:47,,,,,"BLOCK  by SEGALL,RYAN",,,"BLOCK  by SEGALL,RYAN",1
--,,,,,"REBOUND DEF by SEGALL,RYAN",,,"REBOUND DEF by SEGALL,RYAN",1
06:47,"FOUL  by PATRICK,DYLAN",,,,,,,"FOUL  by PATRICK,DYLAN",1
06:47,,24,,30 (+6),"GOOD FT by SEGALL,RYAN",Berry 24-30 (-6),,"GOOD FT by SEGALL,RYAN",1
06:47,,,,,"MISS FT by SEGALL,RYAN",,,"MISS FT by SEGALL,RYAN",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
06:27,"MISS LAYUP by DAVIS,BRODY(in the paint)",,,,,,,"MISS LAYUP by DAVIS,BRODY(in the paint)",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
06:15,,24,,33 (+9),"GOOD 3PTR by ELLIS,CHASE",Berry 24-33 (-9),,"GOOD 3PTR by ELLIS,CHASE",1
06:12,,,,,"SUB OUT by CAMPBELL,BLAKE",,,"SUB OUT by CAMPBELL,BLAKE",1
06:12,,,,,"SUB IN by KRUEGER,JORDAN",,,"SUB IN by KRUEGER,JORDAN",1
06:12,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
06:12,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
06:12,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
06:12,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
06:07,,,,,"FOUL  by ELLIS,CHASE",,,"FOUL  by ELLIS,CHASE",1
06:07,"MISS FT by DEAN,NOLAN",,,,,,,"MISS FT by DEAN,NOLAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:07,"GOOD FT by DEAN,NOLAN",25,,33 (+8),,BSC 25-33 (-8),,"GOOD FT by DEAN,NOLAN",1
05:58,,25,,36 (+11),"GOOD 3PTR by ELLIS,CHASE",Berry 25-36 (-11),,"GOOD 3PTR by ELLIS,CHASE",1
05:26,"MISS JUMPER by DEAN,NOLAN(in the paint)",,,,,,,"MISS JUMPER by DEAN,NOLAN(in the paint)",1
--,,,,,"REBOUND DEF by SEGALL,RYAN",,,"REBOUND DEF by SEGALL,RYAN",1
05:17,,,,,"MISS JUMPER by BENHAM,BRAXTON(in the paint)",,,"MISS JUMPER by BENHAM,BRAXTON(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
04:51,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
04:51,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
04:44,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",1
04:44,,,,,"STEAL  by BENHAM,BRAXTON",,,"STEAL  by BENHAM,BRAXTON",1
04:26,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
04:13,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",1
04:13,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
04:13,,,,,"SUB OUT by BENHAM,BRAXTON",,,"SUB OUT by BENHAM,BRAXTON",1
04:13,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",1
04:13,,,,,"SUB OUT by SEGALL,RYAN",,,"SUB OUT by SEGALL,RYAN",1
04:13,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",1
04:13,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
04:13,,,,,"SUB IN by CLARK,BRYCE",,,"SUB IN by CLARK,BRYCE",1
03:59,,25,,39 (+14),"GOOD 3PTR by ELLIS,CHASE",Berry 25-39 (-14),,"GOOD 3PTR by ELLIS,CHASE",1
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",1
03:31,,,,,"FOUL  by CLARK,BRYCE",,,"FOUL  by CLARK,BRYCE",1
03:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:31,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
03:31,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
03:31,"GOOD FT by CHILDERS,JOSH",26,,39 (+13),,BSC 26-39 (-13),,"GOOD FT by CHILDERS,JOSH",1
03:31,"GOOD FT by CHILDERS,JOSH",27,,39 (+12),,BSC 27-39 (-12),,"GOOD FT by CHILDERS,JOSH",1
03:04,,27,,42 (+15),"GOOD 3PTR by JOHNSON,MICHAEL",Berry 27-42 (-15),,"GOOD 3PTR by JOHNSON,MICHAEL",1
--,,,,,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",1
02:36,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",29,,42 (+13),,BSC 29-42 (-13),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
02:17,,,,,"MISS 3PTR by KRUEGER,JORDAN",,,"MISS 3PTR by KRUEGER,JORDAN",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
02:02,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",31,,42 (+11),,BSC 31-42 (-11),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
01:50,,,,,"MISS 3PTR by KRUEGER,JORDAN",,,"MISS 3PTR by KRUEGER,JORDAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
01:41,"MISS LAYUP by GILLISPIE,JAY(in the paint)",,,,,,,"MISS LAYUP by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND DEF by KRUEGER,JORDAN",,,"REBOUND DEF by KRUEGER,JORDAN",1
01:35,,31,,44 (+13),"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",Berry 31-44 (-13),,"GOOD DUNK by ELLIS,CHASE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",1
01:17,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
01:17,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
01:17,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
