Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
01:37,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",2
01:36,,,,,"STEAL  by DELANEY,JAKE",,,"STEAL  by DELANEY,JAKE",2
01:22,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",2
01:22,,65,,69 (+4),"GOOD FT by MCGRIFF,COLTON",CCM 65-69 (-4),,"GOOD FT by MCGRIFF,COLTON",2
01:22,,65,,70 (+5),"GOOD FT by MCGRIFF,COLTON",CCM 65-70 (-5),,"GOOD FT by MCGRIFF,COLTON",2
01:22,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
01:22,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
01:22,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
01:22,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",2
01:03,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",2
01:03,"GOOD FT by AUBERT,DUSTIN",66,,70 (+4),,MILLSAPS 66-70 (-4),,"GOOD FT by AUBERT,DUSTIN",2
01:03,"GOOD FT by AUBERT,DUSTIN",67,,70 (+3),,MILLSAPS 67-70 (-3),,"GOOD FT by AUBERT,DUSTIN",2
01:03,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",2
01:03,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",2
01:03,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",2
01:03,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",2
00:44,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:44,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
00:44,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",2
00:29,,,,,"MISS LAYUP by MCGRIFF,COLTON",,,"MISS LAYUP by MCGRIFF,COLTON",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
00:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:20,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
00:20,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
00:20,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
00:20,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
00:20,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",2
00:20,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
00:20,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
00:20,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
00:20,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
00:20,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",2
00:20,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",2
00:20,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",2
00:20,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",2
00:20,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",2
00:20,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",2
00:20,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",2
00:20,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",2
00:20,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",2
00:20,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",2
00:20,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",2
00:02,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",2
