Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
18:27,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",2
18:03,,27,,37 (+10),"GOOD JUMPER by FREBIS,RONNIE(in the paint)",MILLSAPS 27-37 (+10),,"GOOD JUMPER by FREBIS,RONNIE(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
17:48,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",2
17:47,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
17:38,,27,,39 (+12),"GOOD JUMPER by BERGER,RYAN",MILLSAPS 27-39 (+12),,"GOOD JUMPER by BERGER,RYAN",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
17:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:31,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
17:31,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
17:28,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
17:28,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",2
17:24,"GOOD 3PTR by TAULTON,JORDAN",30,,39 (+9),,HC 30-39 (+9),,"GOOD 3PTR by TAULTON,JORDAN",2
--,"ASSIST  by PRIMM,COLTON",,,,,,,"ASSIST  by PRIMM,COLTON",2
16:46,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
16:46,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",2
16:44,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",2
16:34,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",2
16:26,"GOOD LAYUP by VANCE,LUKE(in the paint)",32,,39 (+7),,HC 32-39 (+7),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
16:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:00,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
15:59,"STEAL  by TAULTON,JORDAN",,,,,,,"STEAL  by TAULTON,JORDAN",2
15:33,"GOOD 3PTR by NIKOLOVSKI,DREW",35,,39 (+4),,HC 35-39 (+4),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,"ASSIST  by PRIMM,COLTON",,,,,,,"ASSIST  by PRIMM,COLTON",2
15:10,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",2
15:06,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
15:05,"STEAL  by TAULTON,JORDAN",,,,,,,"STEAL  by TAULTON,JORDAN",2
14:47,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
14:46,,,,,"STEAL  by FREBIS,RONNIE",,,"STEAL  by FREBIS,RONNIE",2
14:27,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
14:25,"STEAL  by BARRETT,JORDAN",,,,,,,"STEAL  by BARRETT,JORDAN",2
14:15,"GOOD 3PTR by NIKOLOVSKI,DREW",38,,39 (+1),,HC 38-39 (+1),,"GOOD 3PTR by NIKOLOVSKI,DREW",2
--,"ASSIST  by BARRETT,JORDAN",,,,,,,"ASSIST  by BARRETT,JORDAN",2
13:53,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
13:52,"STEAL  by BARRETT,JORDAN",,,,,,,"STEAL  by BARRETT,JORDAN",2
