Time Remaining,RUSTMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HAWKINS,JOHN",,,,,,,"REBOUND DEF by HAWKINS,JOHN",2
04:19,"MISS LAYUP by MYERS,ETHAN",,,,,,,"MISS LAYUP by MYERS,ETHAN",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
04:09,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
04:03,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
03:54,,60,,69 (+9),"GOOD LAYUP by MCELVEEN,MAC(fastbreak)(in the paint)",MILLSAPS 60-69 (+9),,"GOOD LAYUP by MCELVEEN,MAC(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
03:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:51,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
03:51,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
03:47,"TURNOVER  by GREDIC,KWAMERE",,,,,,,"TURNOVER  by GREDIC,KWAMERE",2
03:46,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",2
03:43,"FOUL  by LOWE,O'DARIUS",,,,,,,"FOUL  by LOWE,O'DARIUS",2
03:43,,60,,70 (+10),"GOOD FT by ROBERTSON,MARC",MILLSAPS 60-70 (+10),,"GOOD FT by ROBERTSON,MARC",2
03:43,,60,,71 (+11),"GOOD FT by ROBERTSON,MARC",MILLSAPS 60-71 (+11),,"GOOD FT by ROBERTSON,MARC",2
03:43,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",2
03:43,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",2
03:43,"SUB OUT by HAWKINS,JOHN",,,,,,,"SUB OUT by HAWKINS,JOHN",2
03:43,"SUB OUT by LOWE,O'DARIUS",,,,,,,"SUB OUT by LOWE,O'DARIUS",2
03:35,,60,,74 (+14),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 60-74 (+14),,"GOOD 3PTR by MCELVEEN,MAC",2
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",2
03:19,"MISS JUMPER by THOMPSON,SHUN",,,,,,,"MISS JUMPER by THOMPSON,SHUN",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
03:13,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
03:13,"BLOCK  by BIRKS,ANDREW",,,,,,,"BLOCK  by BIRKS,ANDREW",2
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",2
03:09,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
03:03,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",62,,74 (+12),,RUSTMBB 62-74 (+12),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
--,"ASSIST  by GREDIC,KWAMERE",,,,,,,"ASSIST  by GREDIC,KWAMERE",2
03:03,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
03:03,"GOOD FT by STUCKEY,CURTIS",63,,74 (+11),,RUSTMBB 63-74 (+11),,"GOOD FT by STUCKEY,CURTIS",2
03:03,"SUB IN by CLARK,JUSTYCE",,,,,,,"SUB IN by CLARK,JUSTYCE",2
03:03,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",2
02:30,,63,,76 (+13),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 63-76 (+13),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
02:18,"MISS 3PTR by THOMPSON,SHUN",,,,,,,"MISS 3PTR by THOMPSON,SHUN",2
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",2
01:48,,63,,78 (+15),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 63-78 (+15),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",2
01:48,"FOUL  by THOMPSON,SHUN",,,,,,,"FOUL  by THOMPSON,SHUN",2
01:48,,63,,79 (+16),"GOOD FT by ROBERTSON,MARC",MILLSAPS 63-79 (+16),,"GOOD FT by ROBERTSON,MARC",2
01:48,,63,,80 (+17),"GOOD FT by ROBERTSON,MARC",MILLSAPS 63-80 (+17),,"GOOD FT by ROBERTSON,MARC",2
01:48,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",2
01:48,"SUB IN by ANDERSON,PAUL",,,,,,,"SUB IN by ANDERSON,PAUL",2
01:48,"SUB OUT by THOMPSON,SHUN",,,,,,,"SUB OUT by THOMPSON,SHUN",2
01:48,"SUB OUT by CLARK,JUSTYCE",,,,,,,"SUB OUT by CLARK,JUSTYCE",2
01:22,,63,,82 (+19),"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 63-82 (+19),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
01:09,"MISS LAYUP by BOWENS,JOHNATHAN",,,,,,,"MISS LAYUP by BOWENS,JOHNATHAN",2
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",2
00:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:56,,,,,"SUB IN by DOUGLASS,PARKS",,,"SUB IN by DOUGLASS,PARKS",2
00:56,,,,,"SUB IN by HARDING,WILLIAM",,,"SUB IN by HARDING,WILLIAM",2
00:56,,,,,"SUB IN by FILLINGIM,DANIEL",,,"SUB IN by FILLINGIM,DANIEL",2
00:56,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
00:56,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",2
00:56,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
00:56,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
00:56,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
00:56,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
00:56,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
00:38,,,,,"TURNOVER  by FILLINGIM,DANIEL",,,"TURNOVER  by FILLINGIM,DANIEL",2
00:36,"STEAL  by BIRKS,ANDREW",,,,,,,"STEAL  by BIRKS,ANDREW",2
00:34,,,,,"FOUL  by HARDING,WILLIAM",,,"FOUL  by HARDING,WILLIAM",2
00:34,"MISS FT by BIRKS,ANDREW",,,,,,,"MISS FT by BIRKS,ANDREW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:34,"GOOD FT by BIRKS,ANDREW",64,,82 (+18),,RUSTMBB 64-82 (+18),,"GOOD FT by BIRKS,ANDREW",2
00:34,"SUB IN by CLARK,JUSTYCE",,,,,,,"SUB IN by CLARK,JUSTYCE",2
00:34,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",2
00:34,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",2
00:34,"SUB OUT by BOWENS,JOHNATHAN",,,,,,,"SUB OUT by BOWENS,JOHNATHAN",2
00:28,"FOUL  by BIRKS,ANDREW",,,,,,,"FOUL  by BIRKS,ANDREW",2
00:28,,,,,"MISS FT by GAGEN,BRENNAN",,,"MISS FT by GAGEN,BRENNAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:28,,64,,83 (+19),"GOOD FT by GAGEN,BRENNAN",MILLSAPS 64-83 (+19),,"GOOD FT by GAGEN,BRENNAN",2
00:23,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",2
--,,,,,"REBOUND DEF by FILLINGIM,DANIEL",,,"REBOUND DEF by FILLINGIM,DANIEL",2
