Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
06:05,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",1
06:05,"GOOD FT by JONES,RON",15,,20 (+5),,BCM 15-20 (+5),,"GOOD FT by JONES,RON",1
06:05,"GOOD FT by JONES,RON",16,,20 (+4),,BCM 16-20 (+4),,"GOOD FT by JONES,RON",1
06:05,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
06:05,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
06:05,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
06:05,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
05:37,,16,,22 (+6),"GOOD LAYUP by ROBERTSON,MARC(in the paint)",MILLSAPS 16-22 (+6),,"GOOD LAYUP by ROBERTSON,MARC(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
05:30,"FOUL  by PARK,BRANDON",,,,,,,"FOUL  by PARK,BRANDON",1
05:10,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",1
04:55,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",18,,22 (+4),,BCM 18-22 (+4),,"GOOD LAYUP by WEBBER,CONNOR(in the paint)",1
04:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:28,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
04:23,,,,,"MISS 3PTR by GILLIGAN,TULLY",,,"MISS 3PTR by GILLIGAN,TULLY",1
--,"REBOUND DEF by GRAHAM,LAKE",,,,,,,"REBOUND DEF by GRAHAM,LAKE",1
04:15,"SUB IN by GRAHAM,LAKE",,,,,,,"SUB IN by GRAHAM,LAKE",1
04:15,"SUB OUT by COTTER,DOUGLAS",,,,,,,"SUB OUT by COTTER,DOUGLAS",1
04:12,"GOOD LAYUP by PARK,BRANDON(in the paint)",20,,22 (+2),,BCM 20-22 (+2),,"GOOD LAYUP by PARK,BRANDON(in the paint)",1
04:09,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
04:09,"GOOD FT by PARK,BRANDON",21,,22 (+1),,BCM 21-22 (+1),,"GOOD FT by PARK,BRANDON",1
03:43,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,"REBOUND DEF by PARK,BRANDON",,,,,,,"REBOUND DEF by PARK,BRANDON",1
03:39,"MISS LAYUP by PARK,BRANDON",,,,,,,"MISS LAYUP by PARK,BRANDON",1
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",1
03:36,"MISS LAYUP by GRAHAM,LAKE",,,,,,,"MISS LAYUP by GRAHAM,LAKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:36,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
03:36,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
