Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
06:16,"GOOD JUMPER by EDWARDS,KORRI",26,,28 (+2),,BU 26-28 (+2),,"GOOD JUMPER by EDWARDS,KORRI",1
05:50,,26,,31 (+5),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC 26-31 (+5),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"ASSIST  by FITZGERALD,PAUL",,,"ASSIST  by FITZGERALD,PAUL",1
05:40,"MISS 3PTR by MCMILLAN,MATTHEW",,,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
05:31,"FOUL  by CHAMP,RANCE",,,,,,,"FOUL  by CHAMP,RANCE",1
05:31,"SUB OUT by ANDERSON, JR.,TERRAN",,,,,,,"SUB OUT by ANDERSON, JR.,TERRAN",1
05:31,"SUB IN by REED,AUSTIN",,,,,,,"SUB IN by REED,AUSTIN",1
05:31,,26,,32 (+6),"GOOD FT by FITZGERALD,PAUL",BSC 26-32 (+6),,"GOOD FT by FITZGERALD,PAUL",1
05:31,"SUB OUT by MCMILLAN,MATTHEW",,,,,,,"SUB OUT by MCMILLAN,MATTHEW",1
05:31,"SUB IN by COUCH,LUKE",,,,,,,"SUB IN by COUCH,LUKE",1
05:31,,26,,33 (+7),"GOOD FT by FITZGERALD,PAUL",BSC 26-33 (+7),,"GOOD FT by FITZGERALD,PAUL",1
05:14,"MISS JUMPER by COUCH,LUKE(in the paint)",,,,,,,"MISS JUMPER by COUCH,LUKE(in the paint)",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
05:07,,26,,36 (+10),"GOOD 3PTR by GLOVER,CAMERON(fastbreak)",BSC 26-36 (+10),,"GOOD 3PTR by GLOVER,CAMERON(fastbreak)",1
04:47,"MISS 3PTR by COUCH,LUKE",,,,,,,"MISS 3PTR by COUCH,LUKE",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
04:41,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
04:41,"STEAL  by WOMACK,NEHEMIAH",,,,,,,"STEAL  by WOMACK,NEHEMIAH",1
04:34,"GOOD 3PTR by CHAMP,RANCE(fastbreak)",29,,36 (+7),,BU 29-36 (+7),,"GOOD 3PTR by CHAMP,RANCE(fastbreak)",1
04:12,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,"REBOUND DEF by WOMACK,NEHEMIAH",,,,,,,"REBOUND DEF by WOMACK,NEHEMIAH",1
04:11,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
