Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
04:33,"GOOD FT by GLOVER,CAMERON",30 (+4),,26,,BSC 30-26 (+4),,"GOOD FT by GLOVER,CAMERON",1
04:33,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",1
04:33,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
04:33,,,,,"SUB OUT by JOHNSON,JUSTIN",,,"SUB OUT by JOHNSON,JUSTIN",1
04:33,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
04:20,,30 (+2),,28,"GOOD LAYUP by MADISON,DAMIEN",Hunt 30-28 (+2),,"GOOD LAYUP by MADISON,DAMIEN",1
--,,,,,"ASSIST  by TONEY,CALEB",,,"ASSIST  by TONEY,CALEB",1
03:50,"GOOD 3PTR by SPENCE,BEN",33 (+5),,28,,BSC 33-28 (+5),,"GOOD 3PTR by SPENCE,BEN",1
03:32,,,,,"MISS JUMPER by MARTIN,GRAHAM",,,"MISS JUMPER by MARTIN,GRAHAM",1
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
03:20,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by PAGE,SAM",,,"REBOUND DEF by PAGE,SAM",1
03:07,,,,,"TURNOVER  by TONEY,CALEB",,,"TURNOVER  by TONEY,CALEB",1
03:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:07,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
03:07,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
03:07,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
03:07,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",1
03:07,,,,,"SUB IN by CLARK,TY",,,"SUB IN by CLARK,TY",1
03:07,,,,,"SUB OUT by MARTIN,GRAHAM",,,"SUB OUT by MARTIN,GRAHAM",1
03:02,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
02:57,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",1
02:55,,,,,"MISS JUMPER by TAYLOR,WILLIE",,,"MISS JUMPER by TAYLOR,WILLIE",1
--,,,,,"REBOUND OFF by CLARK,TY",,,"REBOUND OFF by CLARK,TY",1
02:52,,,,,"TURNOVER  by CLARK,TY",,,"TURNOVER  by CLARK,TY",1
02:47,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
02:44,"TURNOVER  by SIGLER,EVAN",,,,,,,"TURNOVER  by SIGLER,EVAN",1
02:43,,,,,"STEAL  by PAGE,SAM",,,"STEAL  by PAGE,SAM",1
