Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
01:20,,,,,"BLOCK  by RUDAK,MATTY",,,"BLOCK  by RUDAK,MATTY",2
--,,,,,"REBOUND DEF by RUDAK,MATTY",,,"REBOUND DEF by RUDAK,MATTY",2
01:14,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
01:14,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:14,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",2
--,"REBOUND DEF by BRADEN,WILL",,,,,,,"REBOUND DEF by BRADEN,WILL",2
01:14,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
01:14,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
01:14,"SUB IN by BRADEN,WILL",,,,,,,"SUB IN by BRADEN,WILL",2
01:14,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
01:14,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
01:14,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
01:14,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
01:14,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
00:59,"TURNOVER  by BRADEN,WILL",,,,,,,"TURNOVER  by BRADEN,WILL",2
00:55,,,,,"STEAL  by MCLEAN,JAMES",,,"STEAL  by MCLEAN,JAMES",2
00:52,,67,,78 (+11),"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",16BSC-M 67-78 (-11),,"GOOD LAYUP by MCLEAN,JAMES(fastbreak)(in the paint)",2
00:50,"SUB IN by BROWN,BANKS",,,,,,,"SUB IN by BROWN,BANKS",2
00:50,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
00:50,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
00:50,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
00:46,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",2
00:46,"MISS FT by BROWN,BANKS",,,,,,,"MISS FT by BROWN,BANKS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:46,"GOOD FT by BROWN,BANKS",68,,78 (+10),,SEWANEEM 68-78 (-10),,"GOOD FT by BROWN,BANKS",2
00:17,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",2
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",2
00:13,,68,,80 (+12),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 68-80 (-12),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",2
00:06,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",2
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",2
