Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
07:28,,20,,31 (+11),"GOOD FT by ALLISON,ZACHARY",BSC-M 20-31 (+11),,"GOOD FT by ALLISON,ZACHARY",1
07:28,"SUB IN by POWELL,LASHARD",,,,,,,"SUB IN by POWELL,LASHARD",1
07:28,"SUB OUT by RHONE,JAYLEN",,,,,,,"SUB OUT by RHONE,JAYLEN",1
07:28,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
07:28,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
07:10,"MISS 3PTR by COLEMAN,JACQUEZ",,,,,,,"MISS 3PTR by COLEMAN,JACQUEZ",1
--,"REBOUND OFF by HOLLIS,REX",,,,,,,"REBOUND OFF by HOLLIS,REX",1
07:03,"MISS LAYUP by POWELL,LASHARD",,,,,,,"MISS LAYUP by POWELL,LASHARD",1
--,"REBOUND OFF by WASHINGTON,DEVON",,,,,,,"REBOUND OFF by WASHINGTON,DEVON",1
07:00,"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",22,,31 (+9),,LCM 22-31 (+9),,"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",1
06:38,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
06:26,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
06:26,"MISS FT by AUSTIN,DENZEL",,,,,,,"MISS FT by AUSTIN,DENZEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:26,"GOOD FT by AUSTIN,DENZEL",23,,31 (+8),,LCM 23-31 (+8),,"GOOD FT by AUSTIN,DENZEL",1
06:08,,23,,33 (+10),"GOOD JUMPER by GONDA,MATT(in the paint)",BSC-M 23-33 (+10),,"GOOD JUMPER by GONDA,MATT(in the paint)",1
06:08,"FOUL  by WASHINGTON,DEVON",,,,,,,"FOUL  by WASHINGTON,DEVON",1
05:52,"MISS JUMPER by WASHINGTON,DEVON",,,,,,,"MISS JUMPER by WASHINGTON,DEVON",1
05:52,,,,,"BLOCK  by WALDRUM,AIDAN",,,"BLOCK  by WALDRUM,AIDAN",1
--,"REBOUND OFF by HOLLIS,REX",,,,,,,"REBOUND OFF by HOLLIS,REX",1
05:39,"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",25,,33 (+8),,LCM 25-33 (+8),,"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",1
--,"ASSIST  by AUSTIN,DENZEL",,,,,,,"ASSIST  by AUSTIN,DENZEL",1
05:21,,,,,"MISS JUMPER by WALDRUM,AIDAN",,,"MISS JUMPER by WALDRUM,AIDAN",1
--,"REBOUND DEF by POWELL,LASHARD",,,,,,,"REBOUND DEF by POWELL,LASHARD",1
05:11,"GOOD 3PTR by POWELL,LASHARD(fastbreak)",28,,33 (+5),,LCM 28-33 (+5),,"GOOD 3PTR by POWELL,LASHARD(fastbreak)",1
--,"ASSIST  by AUSTIN,DENZEL",,,,,,,"ASSIST  by AUSTIN,DENZEL",1
05:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:11,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",1
05:11,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
05:11,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
05:11,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
05:11,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
05:11,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
04:56,,28,,36 (+8),"GOOD 3PTR by DENBESTEN,COLE",BSC-M 28-36 (+8),,"GOOD 3PTR by DENBESTEN,COLE",1
--,,,,,"ASSIST  by YANCEY,RICH",,,"ASSIST  by YANCEY,RICH",1
04:40,"GOOD LAYUP by WASHINGTON,DEVON(fastbreak)(in the paint)",30,,36 (+6),,LCM 30-36 (+6),,"GOOD LAYUP by WASHINGTON,DEVON(fastbreak)(in the paint)",1
--,"ASSIST  by POWELL,LASHARD",,,,,,,"ASSIST  by POWELL,LASHARD",1
04:28,,,,,"TURNOVER  by ZHOU,ANDY",,,"TURNOVER  by ZHOU,ANDY",1
04:28,"STEAL  by HOLLIS,REX",,,,,,,"STEAL  by HOLLIS,REX",1
04:26,"SUB IN by HARDY,BAILEY",,,,,,,"SUB IN by HARDY,BAILEY",1
04:26,"SUB OUT by COLEMAN,JACQUEZ",,,,,,,"SUB OUT by COLEMAN,JACQUEZ",1
04:15,"MISS 3PTR by AUSTIN,DENZEL",,,,,,,"MISS 3PTR by AUSTIN,DENZEL",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
04:07,,,,,"MISS JUMPER by GONDA,MATT",,,"MISS JUMPER by GONDA,MATT",1
--,"REBOUND DEF by POWELL,LASHARD",,,,,,,"REBOUND DEF by POWELL,LASHARD",1
04:03,"MISS LAYUP by HARDY,BAILEY",,,,,,,"MISS LAYUP by HARDY,BAILEY",1
--,,,,,"REBOUND DEF by DENBESTEN,COLE",,,"REBOUND DEF by DENBESTEN,COLE",1
03:43,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
03:42,"STEAL  by POWELL,LASHARD",,,,,,,"STEAL  by POWELL,LASHARD",1
