Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
05:40,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
05:24,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
05:19,,,,,"MISS 3PTR by WHITE,ELIJAH",,,"MISS 3PTR by WHITE,ELIJAH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:17,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
05:17,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
05:17,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
05:16,"MISS 3PTR by WILLIAMS,CAMERON",,,,,,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",1
04:54,,,,,"MISS JUMPER by WHITE,ELIJAH",,,"MISS JUMPER by WHITE,ELIJAH",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
04:46,,16,,22 (+6),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 16-22 (-6),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
04:38,"GOOD 3PTR by BROWN,BROCK",19,,22 (+3),,Mill 19-22 (-3),,"GOOD 3PTR by BROWN,BROCK",1
04:22,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:03,,19,,24 (+5),"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 19-24 (-5),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
03:43,"GOOD JUMPER by URSIN,AARON(in the paint)",21,,24 (+3),,Mill 21-24 (-3),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
03:30,,,,,"MISS 3PTR by WHITE,ELIJAH",,,"MISS 3PTR by WHITE,ELIJAH",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
03:27,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
03:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:27,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",1
03:27,,,,,"SUB IN by O'BRIEN,KRIS",,,"SUB IN by O'BRIEN,KRIS",1
03:27,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
03:27,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
03:18,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
03:07,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
03:07,"STEAL  by BROWN,BROCK",,,,,,,"STEAL  by BROWN,BROCK",1
03:03,"GOOD LAYUP by HOGAN,TJ(fastbreak)(in the paint)",23,,24 (+1),,Mill 23-24 (-1),,"GOOD LAYUP by HOGAN,TJ(fastbreak)(in the paint)",1
--,"ASSIST  by BROWN,BROCK",,,,,,,"ASSIST  by BROWN,BROCK",1
02:47,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
02:47,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:29,,,,,"MISS JUMPER by O'BRIEN,KRIS",,,"MISS JUMPER by O'BRIEN,KRIS",1
02:29,"BLOCK  by URSIN,AARON",,,,,,,"BLOCK  by URSIN,AARON",1
--,"REBOUND DEF by HOGAN,TJ",,,,,,,"REBOUND DEF by HOGAN,TJ",1
02:18,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
01:56,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
01:30,,,,,"SUB OUT by O'BRIEN,KRIS",,,"SUB OUT by O'BRIEN,KRIS",1
01:30,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
01:30,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
01:30,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
01:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:25,"MISS JUMPER by HOGAN,TJ",,,,,,,"MISS JUMPER by HOGAN,TJ",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
01:17,"FOUL  by BROWN,BROCK",,,,,,,"FOUL  by BROWN,BROCK",1
01:17,"SUB OUT by BROWN,BROCK",,,,,,,"SUB OUT by BROWN,BROCK",1
01:17,"SUB IN by BROWN,BRYCE",,,,,,,"SUB IN by BROWN,BRYCE",1
01:14,,23,,26 (+3),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 23-26 (-3),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
01:03,"TURNOVER  by UGHOVWA,NICHOLAS",,,,,,,"TURNOVER  by UGHOVWA,NICHOLAS",1
01:03,,,,,"STEAL  by SHEN,KEVIN",,,"STEAL  by SHEN,KEVIN",1
00:54,,23,,29 (+6),"GOOD 3PTR by JAMES,MAC",Rhodes 23-29 (-6),,"GOOD 3PTR by JAMES,MAC",1
--,,,,,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1
00:40,"MISS LAYUP by WATSON,DOUG(in the paint)",,,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
00:40,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:40,"SUB OUT by UGHOVWA,NICHOLAS",,,,,,,"SUB OUT by UGHOVWA,NICHOLAS",1
