Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
07:08,"SUB IN by DAVIS,KEONDRE",,,,,,,"SUB IN by DAVIS,KEONDRE",1
07:05,"TURNOVER  by GOOLESBY,TATE",,,,,,,"TURNOVER  by GOOLESBY,TATE",1
07:05,,,,,"STEAL  by BROWN,BRYCE",,,"STEAL  by BROWN,BRYCE",1
07:00,,,,,"TURNOVER  by EVANS,CHRISTIAN",,,"TURNOVER  by EVANS,CHRISTIAN",1
07:00,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
07:00,,,,,"SUB IN by HOGAN,TJ",,,"SUB IN by HOGAN,TJ",1
07:00,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
07:00,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
07:00,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
07:00,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
06:47,"GOOD LAYUP by TONEY,CALEB(in the paint)",24 (+5),,19,,Hunt 24-19 (-5),,"GOOD LAYUP by TONEY,CALEB(in the paint)",1
06:31,"FOUL  by GARDNER,MAX",,,,,,,"FOUL  by GARDNER,MAX",1
06:31,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
06:31,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
06:29,,,,,"TURNOVER  by HOGAN,TJ",,,"TURNOVER  by HOGAN,TJ",1
06:29,"SUB OUT by PAGE,SAM",,,,,,,"SUB OUT by PAGE,SAM",1
06:29,"SUB OUT by GOOLESBY,TATE",,,,,,,"SUB OUT by GOOLESBY,TATE",1
06:29,"SUB IN by TAYLOR,WILLIE",,,,,,,"SUB IN by TAYLOR,WILLIE",1
06:29,"SUB IN by JOHNS,NATE",,,,,,,"SUB IN by JOHNS,NATE",1
06:13,"MISS 3PTR by DAVIS,KEONDRE",,,,,,,"MISS 3PTR by DAVIS,KEONDRE",1
--,"REBOUND OFF by TAYLOR,WILLIE",,,,,,,"REBOUND OFF by TAYLOR,WILLIE",1
06:10,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",1
06:10,"GOOD FT by TAYLOR,WILLIE",25 (+6),,19,,Hunt 25-19 (-6),,"GOOD FT by TAYLOR,WILLIE",1
06:10,"GOOD FT by TAYLOR,WILLIE",26 (+7),,19,,Hunt 26-19 (-7),,"GOOD FT by TAYLOR,WILLIE",1
06:04,,,,,"TURNOVER  by BROWN,BRYCE",,,"TURNOVER  by BROWN,BRYCE",1
05:50,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
05:50,"GOOD FT by JOHNS,NATE",27 (+8),,19,,Hunt 27-19 (-8),,"GOOD FT by JOHNS,NATE",1
05:50,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
05:50,,,,,"SUB IN by UGHOVWA,NICHOLAS",,,"SUB IN by UGHOVWA,NICHOLAS",1
