Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Miss,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by JORDAN,JUDAH",,,"ASSIST  by JORDAN,JUDAH",1
02:21,"MISS JUMPER by RUCKER,CAM",,,,,,,"MISS JUMPER by RUCKER,CAM",1
--,,,,,"REBOUND DEF by SMITH,GALEN",,,"REBOUND DEF by SMITH,GALEN",1
02:14,,,,,"TURNOVER  by THOMPSON,TRADAVIS",,,"TURNOVER  by THOMPSON,TRADAVIS",1
02:14,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
02:10,"MISS DUNK by EVANS,CHRISTIAN(in the paint)",,,,,,,"MISS DUNK by EVANS,CHRISTIAN(in the paint)",1
02:10,,,,,"BLOCK  by JOVANOVIC,MARKO",,,"BLOCK  by JOVANOVIC,MARKO",1
--,"REBOUND OFF by EVANS,CHRISTIAN",,,,,,,"REBOUND OFF by EVANS,CHRISTIAN",1
01:57,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by SMITH,GALEN",,,"REBOUND DEF by SMITH,GALEN",1
01:37,,,,,"MISS 3PTR by THOMPSON,TRADAVIS",,,"MISS 3PTR by THOMPSON,TRADAVIS",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
01:24,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",28,,33 (+5),,Mill 28-33 (-5),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",1
01:20,,,,,"TURNOVER  by THOMPSON,TRADAVIS",,,"TURNOVER  by THOMPSON,TRADAVIS",1
01:20,,,,,"SUB OUT by BERZAT,LAMONT",,,"SUB OUT by BERZAT,LAMONT",1
01:20,,,,,"SUB OUT by SMITH,GALEN",,,"SUB OUT by SMITH,GALEN",1
01:20,,,,,"SUB IN by MILLER,MILES",,,"SUB IN by MILLER,MILES",1
01:20,,,,,"SUB IN by JONES,ZACH",,,"SUB IN by JONES,ZACH",1
01:20,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
