Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
13:40,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
13:40,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
13:40,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
13:40,,,,,"SUB IN by BERRY,BRYCE",,,"SUB IN by BERRY,BRYCE",1
13:34,"MISS 3PTR by COLE,DAVID",,,,,,,"MISS 3PTR by COLE,DAVID",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
13:27,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by WEIR,JJ",,,"REBOUND OFF by WEIR,JJ",1
13:21,,15,,16 (+1),"GOOD TIPIN by WEIR,JJ(in the paint)",RHO 15-16 (+1),,"GOOD TIPIN by WEIR,JJ(in the paint)",1
13:13,"TURNOVER  by PATTERSON,KYLE",,,,,,,"TURNOVER  by PATTERSON,KYLE",1
13:00,,15,,19 (+4),"GOOD 3PTR by BERRY,BRYCE",RHO 15-19 (+4),,"GOOD 3PTR by BERRY,BRYCE",1
--,,,,,"ASSIST  by DE FERIA,NICK",,,"ASSIST  by DE FERIA,NICK",1
12:47,"TURNOVER  by COLE,DAVID",,,,,,,"TURNOVER  by COLE,DAVID",1
12:46,,,,,"STEAL  by BERRY,BRYCE",,,"STEAL  by BERRY,BRYCE",1
12:44,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by PATTERSON,KYLE",,,,,,,"REBOUND DEF by PATTERSON,KYLE",1
12:36,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
12:36,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
12:36,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
12:36,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
12:36,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
12:36,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
12:36,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
12:36,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:36,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
12:36,,,,,"SUB IN by NYAWATA,ANESU",,,"SUB IN by NYAWATA,ANESU",1
12:36,,,,,"SUB IN by ASHBY,KENDRICK",,,"SUB IN by ASHBY,KENDRICK",1
12:36,,,,,"FOUL  by NYAWATA,ANESU",,,"FOUL  by NYAWATA,ANESU",1
12:36,"SUB OUT by PATTERSON,KYLE",,,,,,,"SUB OUT by PATTERSON,KYLE",1
12:36,"SUB OUT by DAVIS,RON",,,,,,,"SUB OUT by DAVIS,RON",1
12:36,"SUB OUT by PRICE,VICTOR",,,,,,,"SUB OUT by PRICE,VICTOR",1
12:36,"SUB OUT by PRESSLEY,BRANDON",,,,,,,"SUB OUT by PRESSLEY,BRANDON",1
12:36,"SUB OUT by COMENGE,CHRISTIAN",,,,,,,"SUB OUT by COMENGE,CHRISTIAN",1
12:36,"SUB IN by DAVIS,RON",,,,,,,"SUB IN by DAVIS,RON",1
12:36,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",1
12:36,"SUB IN by ANDERSON,DYRON",,,,,,,"SUB IN by ANDERSON,DYRON",1
12:36,"SUB IN by YOUNG-BEASLEY,DJ",,,,,,,"SUB IN by YOUNG-BEASLEY,DJ",1
12:36,"SUB IN by PRESSLEY,BRANDON",,,,,,,"SUB IN by PRESSLEY,BRANDON",1
12:25,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",17,,19 (+2),,BU 17-19 (+2),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",1
--,"ASSIST  by DAVIS,RON",,,,,,,"ASSIST  by DAVIS,RON",1
12:05,,,,,"MISS 3PTR by ASHBY,KENDRICK",,,"MISS 3PTR by ASHBY,KENDRICK",1
--,"REBOUND DEF by RICHARDSON,TERIK",,,,,,,"REBOUND DEF by RICHARDSON,TERIK",1
11:49,"MISS LAYUP by ANDERSON,DYRON",,,,,,,"MISS LAYUP by ANDERSON,DYRON",1
--,"REBOUND OFF by PRESSLEY,BRANDON",,,,,,,"REBOUND OFF by PRESSLEY,BRANDON",1
11:47,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",19,,19,,BU 19-19 (0),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",1
11:39,,,,,"TURNOVER  by ASHBY,KENDRICK",,,"TURNOVER  by ASHBY,KENDRICK",1
11:39,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
11:39,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:39,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
11:39,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
11:39,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
11:39,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
11:39,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
11:39,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
11:39,,,,,"SUB IN by NESTLEHUTT,JAKE",,,"SUB IN by NESTLEHUTT,JAKE",1
11:39,,,,,"SUB IN by WEATHERFORD,MITCH",,,"SUB IN by WEATHERFORD,MITCH",1
11:39,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
11:30,"MISS 3PTR by DAVIS,RON",,,,,,,"MISS 3PTR by DAVIS,RON",1
--,"REBOUND OFF by PRESSLEY,BRANDON",,,,,,,"REBOUND OFF by PRESSLEY,BRANDON",1
11:25,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",21 (+2),,19,,BU 21-19 (-2),,"GOOD LAYUP by PRESSLEY,BRANDON(in the paint)",1
11:08,,21,,21,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",RHO 21-21 (0),,"GOOD LAYUP by WEATHERFORD,MITCH(in the paint)",1
--,,,,,"ASSIST  by NESTLEHUTT,JAKE",,,"ASSIST  by NESTLEHUTT,JAKE",1
10:55,"MISS 3PTR by RICHARDSON,TERIK",,,,,,,"MISS 3PTR by RICHARDSON,TERIK",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
10:42,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
10:42,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
10:42,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
10:42,,,,,"SUB OUT by NESTLEHUTT,JAKE",,,"SUB OUT by NESTLEHUTT,JAKE",1
10:42,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
10:42,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
10:42,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
10:42,,,,,"SUB IN by DE FERIA,NICK",,,"SUB IN by DE FERIA,NICK",1
