Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
10:31,,,,,"SUB OUT by BATCHELOR,BRYCE",,,"SUB OUT by BATCHELOR,BRYCE",1
10:23,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",29 (+7),,22,,RHO 29-22 (+7),,"GOOD JUMPER by WEATHERFORD,MITCH(in the paint)",1
10:10,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",1
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",1
10:06,,29 (+5),,24,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 29-24 (+5),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
09:47,"MISS LAYUP by WEATHERFORD,MITCH",,,,,,,"MISS LAYUP by WEATHERFORD,MITCH",1
09:47,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:45,"SUB IN by DE FERIA,NICK",,,,,,,"SUB IN by DE FERIA,NICK",1
09:45,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
09:45,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
09:45,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
09:45,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
09:45,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
09:45,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
09:45,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
09:45,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
09:45,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
09:30,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",31 (+7),,24,,RHO 31-24 (+7),,"GOOD LAYUP by NYAWATA,ANESU(in the paint)",1
09:12,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
09:12,,31 (+6),,25,"GOOD FT by PARKER,BRYCE",HC 31-25 (+6),,"GOOD FT by PARKER,BRYCE",1
09:12,,31 (+5),,26,"GOOD FT by PARKER,BRYCE",HC 31-26 (+5),,"GOOD FT by PARKER,BRYCE",1
09:12,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",1
09:12,,,,,"SUB IN by SMITH,PRESTON",,,"SUB IN by SMITH,PRESTON",1
09:12,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
