Time Remaining,UDMBB,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
00:27,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
00:21,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",2
00:21,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",2
00:21,"SUB IN by KAISER,TOM",,,,,,,"SUB IN by KAISER,TOM",2
00:21,"SUB OUT by GIADOLOR,PRINCE",,,,,,,"SUB OUT by GIADOLOR,PRINCE",2
00:19,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",2
00:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:19,,74,,76 (+2),"GOOD FT by PARKER,BRYCE",HENDRIX 74-76 (+2),,"GOOD FT by PARKER,BRYCE",2
00:19,,74,,77 (+3),"GOOD FT by PARKER,BRYCE",HENDRIX 74-77 (+3),,"GOOD FT by PARKER,BRYCE",2
00:19,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",2
00:19,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
00:08,"MISS 3PTR by SARRAT,MICHAEL",,,,,,,"MISS 3PTR by SARRAT,MICHAEL",2
00:08,,,,,"BLOCK  by PARKER,BRYCE",,,"BLOCK  by PARKER,BRYCE",2
--,"REBOUND OFF by KAISER,TOM",,,,,,,"REBOUND OFF by KAISER,TOM",2
00:03,"GOOD 3PTR by GONZALEZ,LORENZO",77,,77,,UDMBB 77-77 (0),,"GOOD 3PTR by GONZALEZ,LORENZO",2
--,"ASSIST  by KAISER,TOM",,,,,,,"ASSIST  by KAISER,TOM",2
00:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:01,"SUB IN by CANNON,XAVIER",,,,,,,"SUB IN by CANNON,XAVIER",2
00:01,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",2
00:00,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:00,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",3
05:00,"SUB OUT by COLVIN,DARRIUS",,,,,,,"SUB OUT by COLVIN,DARRIUS",3
05:00,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",3
05:00,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",3
05:00,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",3
05:00,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",3
04:27,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",3
--,,,,,"REBOUND OFF by BATCHELOR,BRYCE",,,"REBOUND OFF by BATCHELOR,BRYCE",3
04:26,"FOUL  by GONZALEZ,LORENZO",,,,,,,"FOUL  by GONZALEZ,LORENZO",3
04:26,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
04:26,,77,,78 (+1),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 77-78 (+1),,"GOOD FT by BATCHELOR,BRYCE",3
04:12,"TURNOVER  by GONZALEZ,LORENZO",,,,,,,"TURNOVER  by GONZALEZ,LORENZO",3
04:12,,,,,"STEAL  by LITTLEFIELD,GEAREN",,,"STEAL  by LITTLEFIELD,GEAREN",3
03:49,,,,,"MISS 3PTR by PARKER,BRYCE",,,"MISS 3PTR by PARKER,BRYCE",3
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",3
03:34,"GOOD JUMPER by SARRAT,MICHAEL",79 (+1),,78,,UDMBB 79-78 (-1),,"GOOD JUMPER by SARRAT,MICHAEL",3
03:18,"FOUL  by CALTON,EMMANUEL",,,,,,,"FOUL  by CALTON,EMMANUEL",3
03:18,,79,,79,"GOOD FT by LINK,JACOB",HENDRIX 79-79 (0),,"GOOD FT by LINK,JACOB",3
03:18,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",3
--,"REBOUND DEF by KAISER,TOM",,,,,,,"REBOUND DEF by KAISER,TOM",3
03:01,"TURNOVER  by SARRAT,MICHAEL",,,,,,,"TURNOVER  by SARRAT,MICHAEL",3
02:44,"FOUL  by CALTON,EMMANUEL",,,,,,,"FOUL  by CALTON,EMMANUEL",3
02:44,,79,,80 (+1),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 79-80 (+1),,"GOOD FT by BATCHELOR,BRYCE",3
02:44,,79,,81 (+2),"GOOD FT by BATCHELOR,BRYCE",HENDRIX 79-81 (+2),,"GOOD FT by BATCHELOR,BRYCE",3
02:44,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",3
02:44,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",3
02:31,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",3
02:31,"GOOD FT by BEREZIN,SOLOMON",80,,81 (+1),,UDMBB 80-81 (+1),,"GOOD FT by BEREZIN,SOLOMON",3
02:31,"GOOD FT by BEREZIN,SOLOMON",81,,81,,UDMBB 81-81 (0),,"GOOD FT by BEREZIN,SOLOMON",3
02:31,"GOOD FT by BEREZIN,SOLOMON",82 (+1),,81,,UDMBB 82-81 (-1),,"GOOD FT by BEREZIN,SOLOMON",3
02:31,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",3
02:31,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",3
02:01,"FOUL  by KAISER,TOM",,,,,,,"FOUL  by KAISER,TOM",3
02:01,,,,,"MISS FT by BATCHELOR,BRYCE",,,"MISS FT by BATCHELOR,BRYCE",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
02:01,,82,,82,"GOOD FT by BATCHELOR,BRYCE",HENDRIX 82-82 (0),,"GOOD FT by BATCHELOR,BRYCE",3
02:01,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",3
02:01,"SUB IN by CANNON,XAVIER",,,,,,,"SUB IN by CANNON,XAVIER",3
02:01,"SUB OUT by KAISER,TOM",,,,,,,"SUB OUT by KAISER,TOM",3
02:01,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",3
01:46,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",84 (+2),,82,,UDMBB 84-82 (-2),,"GOOD JUMPER by GIADOLOR,PRINCE(in the paint)",3
01:29,"FOUL  by BEREZIN,SOLOMON",,,,,,,"FOUL  by BEREZIN,SOLOMON",3
01:29,,84 (+1),,83,"GOOD FT by SMITH,PRESTON",HENDRIX 84-83 (-1),,"GOOD FT by SMITH,PRESTON",3
01:29,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",3
--,"REBOUND DEF by GIADOLOR,PRINCE",,,,,,,"REBOUND DEF by GIADOLOR,PRINCE",3
01:04,"GOOD LAYUP by CANNON,XAVIER(in the paint)",86 (+3),,83,,UDMBB 86-83 (-3),,"GOOD LAYUP by CANNON,XAVIER(in the paint)",3
--,"ASSIST  by GONZALEZ,LORENZO",,,,,,,"ASSIST  by GONZALEZ,LORENZO",3
00:48,"FOUL  by CANNON,XAVIER",,,,,,,"FOUL  by CANNON,XAVIER",3
00:48,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
00:48,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",3
--,"REBOUND DEF by CANNON,XAVIER",,,,,,,"REBOUND DEF by CANNON,XAVIER",3
00:34,"GOOD LAYUP by CANNON,XAVIER(in the paint)",88 (+5),,83,,UDMBB 88-83 (-5),,"GOOD LAYUP by CANNON,XAVIER(in the paint)",3
--,"ASSIST  by GIADOLOR,PRINCE",,,,,,,"ASSIST  by GIADOLOR,PRINCE",3
00:30,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:30,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",3
00:30,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",3
00:22,,88 (+4),,84,"GOOD FT by SMITH,PRESTON",HENDRIX 88-84 (-4),,"GOOD FT by SMITH,PRESTON",3
00:22,,88 (+3),,85,"GOOD FT by SMITH,PRESTON",HENDRIX 88-85 (-3),,"GOOD FT by SMITH,PRESTON",3
00:22,"SUB IN by BEREZIN,SOLOMON",,,,,,,"SUB IN by BEREZIN,SOLOMON",3
00:22,"SUB OUT by CALTON,EMMANUEL",,,,,,,"SUB OUT by CALTON,EMMANUEL",3
00:12,,,,,"FOUL  by LINK,JACOB",,,"FOUL  by LINK,JACOB",3
00:12,"GOOD FT by SARRAT,MICHAEL",89 (+4),,85,,UDMBB 89-85 (-4),,"GOOD FT by SARRAT,MICHAEL",3
00:12,"MISS FT by SARRAT,MICHAEL",,,,,,,"MISS FT by SARRAT,MICHAEL",3
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",3
00:12,"SUB IN by CALTON,EMMANUEL",,,,,,,"SUB IN by CALTON,EMMANUEL",3
00:12,"SUB OUT by BEREZIN,SOLOMON",,,,,,,"SUB OUT by BEREZIN,SOLOMON",3
00:07,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",3
--,,,,,"REBOUND OFF by PARKER,BRYCE",,,"REBOUND OFF by PARKER,BRYCE",3
00:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,3
00:00,,89 (+1),,88,"GOOD 3PTR by BATCHELOR,BRYCE",HENDRIX 89-88 (-1),,"GOOD 3PTR by BATCHELOR,BRYCE",3
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",3
