Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
01:58,"MISS JUMPER by MINTER,TREY(in the paint)",,,,,,,"MISS JUMPER by MINTER,TREY(in the paint)",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
01:50,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
01:50,"STEAL  by JONES,ANDREW",,,,,,,"STEAL  by JONES,ANDREW",1
01:48,"TURNOVER  by JONES,ANDREW",,,,,,,"TURNOVER  by JONES,ANDREW",1
01:40,"FOUL  by MINTER,TREY",,,,,,,"FOUL  by MINTER,TREY",1
01:40,,,,,"MISS FT by SMITH,GRAHAM(fastbreak)",,,"MISS FT by SMITH,GRAHAM(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:40,,,,,"MISS FT by SMITH,GRAHAM(fastbreak)",,,"MISS FT by SMITH,GRAHAM(fastbreak)",1
--,"REBOUND DEF by JONES,ANDREW",,,,,,,"REBOUND DEF by JONES,ANDREW",1
01:17,"GOOD JUMPER by MINTER,TREY",34,,41 (+7),,BEREA 34-41 (+7),,"GOOD JUMPER by MINTER,TREY",1
01:03,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
01:03,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
01:03,,,,,"SUB OUT by CRUMP,JOHN",,,"SUB OUT by CRUMP,JOHN",1
01:03,,,,,"SUB IN by WILLIAMS,RASHAWN",,,"SUB IN by WILLIAMS,RASHAWN",1
01:03,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
01:03,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
01:03,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
01:03,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
01:01,"SUB OUT by MINTER,TREY",,,,,,,"SUB OUT by MINTER,TREY",1
01:01,"SUB IN by BLACK,JAYLEN",,,,,,,"SUB IN by BLACK,JAYLEN",1
00:49,"MISS 3PTR by CAUDILL,ISAAC",,,,,,,"MISS 3PTR by CAUDILL,ISAAC",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
