Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,BREV,Game Score,Team Indicator,Play,Period
04:54,"MISS 3PTR by SMITH,GRAHAM",,,,,,,"MISS 3PTR by SMITH,GRAHAM",1
--,"REBOUND OFF by HOLLAND,ELI",,,,,,,"REBOUND OFF by HOLLAND,ELI",1
04:47,"GOOD 3PTR by MARR,RUSS",32 (+8),,24,,SEW 32-24 (+8),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
04:24,,32 (+6),,26,"GOOD LAYUP by REED,CHARLES(in the paint)",BREV 32-26 (+6),,"GOOD LAYUP by REED,CHARLES(in the paint)",1
04:11,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
04:10,,,,,"STEAL  by CRAWFORD,PARIS",,,"STEAL  by CRAWFORD,PARIS",1
04:04,,,,,"TURNOVER  by CARNES,JADON",,,"TURNOVER  by CARNES,JADON",1
04:04,"SUB IN by WILLIAMS,RASHAUN",,,,,,,"SUB IN by WILLIAMS,RASHAUN",1
04:04,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
04:04,,,,,"SUB IN by BOYETTE,LB",,,"SUB IN by BOYETTE,LB",1
04:04,,,,,"SUB IN by CARTER,QUINCY",,,"SUB IN by CARTER,QUINCY",1
04:04,,,,,"SUB OUT by SUTHERLAND,GARRETT",,,"SUB OUT by SUTHERLAND,GARRETT",1
04:04,,,,,"SUB OUT by CRAWFORD,PARIS",,,"SUB OUT by CRAWFORD,PARIS",1
03:49,"GOOD 3PTR by WILLIAMS,RASHAUN",35 (+9),,26,,SEW 35-26 (+9),,"GOOD 3PTR by WILLIAMS,RASHAUN",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
03:22,,,,,"MISS 3PTR by BOYETTE,LB",,,"MISS 3PTR by BOYETTE,LB",1
--,"REBOUND DEF by SMITH,GRAHAM",,,,,,,"REBOUND DEF by SMITH,GRAHAM",1
03:06,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",37 (+11),,26,,SEW 37-26 (+11),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
02:52,,,,,"MISS 3PTR by CARTER,QUINCY",,,"MISS 3PTR by CARTER,QUINCY",1
