Time Remaining,CC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
06:43,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",2
06:43,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",2
06:43,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",2
06:43,"GOOD FT by BOYKIN,DINARI",53,,72 (+19),,CC 53-72 (+19),,"GOOD FT by BOYKIN,DINARI",2
06:43,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",2
06:43,"SUB IN by SHIVELY,COREY",,,,,,,"SUB IN by SHIVELY,COREY",2
06:43,"MISS FT by BOYKIN,DINARI",,,,,,,"MISS FT by BOYKIN,DINARI",2
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",2
06:20,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",2
--,,,,,"REBOUND OFF by DOTSON,PHIL",,,"REBOUND OFF by DOTSON,PHIL",2
06:08,,53,,74 (+21),"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",Rhodes 53-74 (+21),,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
06:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:51,"MISS 3PTR by ROMERO,EDGAR",,,,,,,"MISS 3PTR by ROMERO,EDGAR",2
--,,,,,"REBOUND DEF by DOTSON,PHIL",,,"REBOUND DEF by DOTSON,PHIL",2
05:33,,,,,"FOUL  by RAMBERG,CASS",,,"FOUL  by RAMBERG,CASS",2
05:33,,,,,"TURNOVER  by RAMBERG,CASS",,,"TURNOVER  by RAMBERG,CASS",2
05:21,"MISS JUMPER by RUEGG,SCOTT",,,,,,,"MISS JUMPER by RUEGG,SCOTT",2
--,,,,,"REBOUND DEF by DOTSON,PHIL",,,"REBOUND DEF by DOTSON,PHIL",2
05:14,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",2
05:14,"BLOCK  by ROMERO,EDGAR",,,,,,,"BLOCK  by ROMERO,EDGAR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:01,"FOUL  by ROMERO,EDGAR",,,,,,,"FOUL  by ROMERO,EDGAR",2
05:01,,53,,75 (+22),"GOOD FT by WALKER,JEFFERSON",Rhodes 53-75 (+22),,"GOOD FT by WALKER,JEFFERSON",2
05:01,,53,,76 (+23),"GOOD FT by WALKER,JEFFERSON",Rhodes 53-76 (+23),,"GOOD FT by WALKER,JEFFERSON",2
05:01,,,,,"MISS FT by WALKER,JEFFERSON",,,"MISS FT by WALKER,JEFFERSON",2
--,"REBOUND DEF by SHIVELY,COREY",,,,,,,"REBOUND DEF by SHIVELY,COREY",2
04:55,"MISS JUMPER by BOYKIN,DINARI(in the paint)",,,,,,,"MISS JUMPER by BOYKIN,DINARI(in the paint)",2
--,"REBOUND OFF by PRICE,ADRIAN",,,,,,,"REBOUND OFF by PRICE,ADRIAN",2
04:50,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",55,,76 (+21),,CC 55-76 (+21),,"GOOD LAYUP by PRICE,ADRIAN(in the paint)",2
04:34,,,,,"MISS 3PTR by DOTSON,PHIL",,,"MISS 3PTR by DOTSON,PHIL",2
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",2
04:26,,55,,78 (+23),"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",Rhodes 55-78 (+23),,"GOOD LAYUP by LAMEY,HAYDEN(in the paint)",2
04:12,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",57,,78 (+21),,CC 57-78 (+21),,"GOOD JUMPER by BOYKIN,DINARI(in the paint)",2
04:10,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",2
04:10,,,,,"SUB IN by PRANGE,JONATHAN",,,"SUB IN by PRANGE,JONATHAN",2
04:10,"SUB OUT by BOYKIN,DINARI",,,,,,,"SUB OUT by BOYKIN,DINARI",2
04:10,"SUB IN by DITTMAN,KEVIN",,,,,,,"SUB IN by DITTMAN,KEVIN",2
03:42,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",2
03:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:42,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
03:42,,,,,"SUB IN by WAGNER,MIKE",,,"SUB IN by WAGNER,MIKE",2
03:42,"SUB OUT by ROMERO,EDGAR",,,,,,,"SUB OUT by ROMERO,EDGAR",2
03:42,"SUB IN by RUSSO,ALEX",,,,,,,"SUB IN by RUSSO,ALEX",2
03:37,"TURNOVER  by RUSSO,ALEX",,,,,,,"TURNOVER  by RUSSO,ALEX",2
03:37,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",2
03:33,,57,,81 (+24),"GOOD 3PTR by PRANGE,JONATHAN(fastbreak)",Rhodes 57-81 (+24),,"GOOD 3PTR by PRANGE,JONATHAN(fastbreak)",2
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",2
03:09,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",59,,81 (+22),,CC 59-81 (+22),,"GOOD JUMPER by PRICE,ADRIAN(in the paint)",2
--,"ASSIST  by DITTMAN,KEVIN",,,,,,,"ASSIST  by DITTMAN,KEVIN",2
02:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:52,,,,,"SUB OUT by DOTSON,PHIL",,,"SUB OUT by DOTSON,PHIL",2
02:52,,,,,"SUB OUT by RAMBERG,CASS",,,"SUB OUT by RAMBERG,CASS",2
02:52,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",2
02:52,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",2
02:52,,,,,"SUB IN by DEMPSEY,JACK",,,"SUB IN by DEMPSEY,JACK",2
02:52,,,,,"SUB IN by COOPER,LUKE",,,"SUB IN by COOPER,LUKE",2
02:52,"SUB OUT by SHIVELY,COREY",,,,,,,"SUB OUT by SHIVELY,COREY",2
02:52,"SUB IN by BOYKIN,DINARI",,,,,,,"SUB IN by BOYKIN,DINARI",2
02:41,,59,,84 (+25),"GOOD 3PTR by PRANGE,JONATHAN",Rhodes 59-84 (+25),,"GOOD 3PTR by PRANGE,JONATHAN",2
--,,,,,"ASSIST  by DEMPSEY,JACK",,,"ASSIST  by DEMPSEY,JACK",2
02:20,"MISS JUMPER by RUSSO,ALEX(in the paint)",,,,,,,"MISS JUMPER by RUSSO,ALEX(in the paint)",2
--,,,,,"REBOUND DEF by PRANGE,JONATHAN",,,"REBOUND DEF by PRANGE,JONATHAN",2
02:09,,,,,"MISS JUMPER by COOPER,LUKE",,,"MISS JUMPER by COOPER,LUKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:06,"SUB OUT by RUSSO,ALEX",,,,,,,"SUB OUT by RUSSO,ALEX",2
02:06,"SUB IN by DENNIS,DEANTE'",,,,,,,"SUB IN by DENNIS,DEANTE'",2
02:03,,59,,86 (+27),"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",Rhodes 59-86 (+27),,"GOOD JUMPER by PRANGE,JONATHAN(in the paint)",2
01:45,"MISS 3PTR by RUEGG,SCOTT",,,,,,,"MISS 3PTR by RUEGG,SCOTT",2
--,,,,,"REBOUND DEF by COOPER,LUKE",,,"REBOUND DEF by COOPER,LUKE",2
01:20,,,,,"TURNOVER  by PRANGE,JONATHAN",,,"TURNOVER  by PRANGE,JONATHAN",2
01:20,"STEAL  by BOYKIN,DINARI",,,,,,,"STEAL  by BOYKIN,DINARI",2
01:16,"GOOD DUNK by BOYKIN,DINARI(fastbreak)(in the paint)",61,,86 (+25),,CC 61-86 (+25),,"GOOD DUNK by BOYKIN,DINARI(fastbreak)(in the paint)",2
--,"ASSIST  by DITTMAN,KEVIN",,,,,,,"ASSIST  by DITTMAN,KEVIN",2
01:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:16,"SUB OUT by PRICE,ADRIAN",,,,,,,"SUB OUT by PRICE,ADRIAN",2
01:16,"SUB IN by PFEIFFENBERGER,MAX",,,,,,,"SUB IN by PFEIFFENBERGER,MAX",2
01:06,"FOUL  by DITTMAN,KEVIN",,,,,,,"FOUL  by DITTMAN,KEVIN",2
01:06,,61,,87 (+26),"GOOD FT by PRANGE,JONATHAN",Rhodes 61-87 (+26),,"GOOD FT by PRANGE,JONATHAN",2
01:06,,,,,"MISS FT by PRANGE,JONATHAN",,,"MISS FT by PRANGE,JONATHAN",2
--,"REBOUND DEF by PFEIFFENBERGER,MAX",,,,,,,"REBOUND DEF by PFEIFFENBERGER,MAX",2
00:58,"GOOD JUMPER by BOYKIN,DINARI(fastbreak)(in the paint)",63,,87 (+24),,CC 63-87 (+24),,"GOOD JUMPER by BOYKIN,DINARI(fastbreak)(in the paint)",2
00:41,,,,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",,,"MISS JUMPER by PRANGE,JONATHAN(in the paint)",2
00:41,"BLOCK  by DITTMAN,KEVIN",,,,,,,"BLOCK  by DITTMAN,KEVIN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:41,,,,,"SUB OUT by PRANGE,JONATHAN",,,"SUB OUT by PRANGE,JONATHAN",2
00:41,,,,,"SUB IN by O'BRIEN,KRIS",,,"SUB IN by O'BRIEN,KRIS",2
00:35,,,,,"MISS JUMPER by WAGNER,MIKE(in the paint)",,,"MISS JUMPER by WAGNER,MIKE(in the paint)",2
--,,,,,"REBOUND OFF by COOPER,LUKE",,,"REBOUND OFF by COOPER,LUKE",2
00:30,,,,,"MISS LAYUP by COOPER,LUKE(in the paint)",,,"MISS LAYUP by COOPER,LUKE(in the paint)",2
--,"REBOUND DEF by PFEIFFENBERGER,MAX",,,,,,,"REBOUND DEF by PFEIFFENBERGER,MAX",2
00:18,"MISS LAYUP by BOYKIN,DINARI(in the paint)",,,,,,,"MISS LAYUP by BOYKIN,DINARI(in the paint)",2
--,"REBOUND OFF by DENNIS,DEANTE'",,,,,,,"REBOUND OFF by DENNIS,DEANTE'",2
00:14,,,,,"FOUL  by COOPER,LUKE",,,"FOUL  by COOPER,LUKE",2
00:14,"GOOD FT by DENNIS,DEANTE'",64,,87 (+23),,CC 64-87 (+23),,"GOOD FT by DENNIS,DEANTE'",2
00:14,"GOOD FT by DENNIS,DEANTE'",65,,87 (+22),,CC 65-87 (+22),,"GOOD FT by DENNIS,DEANTE'",2
00:10,"FOUL  by BOYKIN,DINARI",,,,,,,"FOUL  by BOYKIN,DINARI",2
00:10,,65,,88 (+23),"GOOD FT by O'BRIEN,KRIS",Rhodes 65-88 (+23),,"GOOD FT by O'BRIEN,KRIS",2
00:10,,65,,89 (+24),"GOOD FT by O'BRIEN,KRIS",Rhodes 65-89 (+24),,"GOOD FT by O'BRIEN,KRIS",2
00:03,"GOOD 3PTR by DITTMAN,KEVIN",68,,89 (+21),,CC 68-89 (+21),,"GOOD 3PTR by DITTMAN,KEVIN",2
--,"ASSIST  by PFEIFFENBERGER,MAX",,,,,,,"ASSIST  by PFEIFFENBERGER,MAX",2
