Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,UD,Game Score,Team Indicator,Play,Period
01:20,,62,,64 (+2),"GOOD JUMPER by OLMSTED,ZAC",UD 62-64 (-2),,"GOOD JUMPER by OLMSTED,ZAC",2
--,,,,,"ASSIST  by CHRISTIFANO JR.,LOUI",,,"ASSIST  by CHRISTIFANO JR.,LOUI",2
01:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:10,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",2
01:10,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",2
01:02,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",2
01:02,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",2
01:02,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
01:02,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",2
01:02,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",2
01:02,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",2
00:42,,,,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",,,"MISS LAYUP by CHRISTIFANO JR.,LOUI(in the paint)",2
--,"REBOUND DEF by WALKER,JEFFERSON",,,,,,,"REBOUND DEF by WALKER,JEFFERSON",2
00:30,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",64,,64,,Rhodes 64-64 (0),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",2
00:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:22,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",2
00:22,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",2
00:00,,,,,"MISS JUMPER by BOYLE,JACK",,,"MISS JUMPER by BOYLE,JACK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:00,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",3
05:00,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",3
04:39,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",3
04:39,,,,,"TURNOVER  by BOYLE,JACK",,,"TURNOVER  by BOYLE,JACK",3
04:23,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",3
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",3
04:18,"GOOD 3PTR by DOTSON,PHIL",67 (+3),,64,,Rhodes 67-64 (+3),,"GOOD 3PTR by DOTSON,PHIL",3
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",3
03:55,,,,,"TURNOVER  by CHRISTIFANO JR.,LOUI",,,"TURNOVER  by CHRISTIFANO JR.,LOUI",3
03:55,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",3
03:34,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",69 (+5),,64,,Rhodes 69-64 (+5),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",3
03:17,,69 (+2),,67,"GOOD 3PTR by OLMSTED,ZAC",UD 69-67 (+2),,"GOOD 3PTR by OLMSTED,ZAC",3
--,,,,,"ASSIST  by OLMSTED,JOHNNY",,,"ASSIST  by OLMSTED,JOHNNY",3
02:51,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",3
02:51,,,,,"STEAL  by OLMSTED,ZAC",,,"STEAL  by OLMSTED,ZAC",3
02:36,,,,,"FOUL  by TOUSSAINT,LETRELL",,,"FOUL  by TOUSSAINT,LETRELL",3
02:36,,,,,"TURNOVER  by TOUSSAINT,LETRELL",,,"TURNOVER  by TOUSSAINT,LETRELL",3
02:36,,,,,"SUB OUT by TOUSSAINT,LETRELL",,,"SUB OUT by TOUSSAINT,LETRELL",3
02:36,,,,,"SUB IN by GIUNTA,JACOB",,,"SUB IN by GIUNTA,JACOB",3
02:11,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",3
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",3
01:55,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",3
01:55,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",3
01:55,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",3
01:55,,69 (+1),,68,"GOOD FT by OLMSTED,ZAC",UD 69-68 (+1),,"GOOD FT by OLMSTED,ZAC",3
01:55,,69,,69,"GOOD FT by OLMSTED,ZAC",UD 69-69 (0),,"GOOD FT by OLMSTED,ZAC",3
01:29,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",3
01:29,"TURNOVER  by LAMEY,HAYDEN",,,,,,,"TURNOVER  by LAMEY,HAYDEN",3
01:29,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",3
01:29,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",3
01:29,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",3
01:29,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",3
01:09,,,,,"MISS JUMPER by OLMSTED,JOHNNY(in the paint)",,,"MISS JUMPER by OLMSTED,JOHNNY(in the paint)",3
--,"REBOUND DEF by WHITE,ELIJAH",,,,,,,"REBOUND DEF by WHITE,ELIJAH",3
00:49,"GOOD JUMPER by WILEY,KOKI(in the paint)",71 (+2),,69,,Rhodes 71-69 (+2),,"GOOD JUMPER by WILEY,KOKI(in the paint)",3
00:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
00:39,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",3
00:39,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",3
00:23,,71,,71,"GOOD LAYUP by BOYLE,JACK(in the paint)",UD 71-71 (0),,"GOOD LAYUP by BOYLE,JACK(in the paint)",3
--,,,,,"ASSIST  by CHRISTIFANO JR.,LOUI",,,"ASSIST  by CHRISTIFANO JR.,LOUI",3
00:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:16,"SUB OUT by DOTSON,PHIL",,,,,,,"SUB OUT by DOTSON,PHIL",3
00:16,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",3
00:16,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",3
00:16,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",3
00:00,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS LAYUP by WALKER,JEFFERSON(in the paint)",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
05:00,"SUB OUT by WHITE,ELIJAH",,,,,,,"SUB OUT by WHITE,ELIJAH",4
05:00,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",4
05:00,"SUB IN by DOTSON,PHIL",,,,,,,"SUB IN by DOTSON,PHIL",4
05:00,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",4
04:33,"MISS JUMPER by DOTSON,PHIL",,,,,,,"MISS JUMPER by DOTSON,PHIL",4
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",4
04:22,,,,,"MISS 3PTR by GIUNTA,JACOB",,,"MISS 3PTR by GIUNTA,JACOB",4
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",4
03:58,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",73 (+2),,71,,Rhodes 73-71 (+2),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",4
03:40,,73,,73,"GOOD JUMPER by BOYLE,JACK(in the paint)",UD 73-73 (0),,"GOOD JUMPER by BOYLE,JACK(in the paint)",4
03:40,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",4
03:38,,73,,74 (+1),"GOOD FT by GIUNTA,JACOB(fastbreak)",UD 73-74 (-1),,"GOOD FT by GIUNTA,JACOB(fastbreak)",4
03:33,,,,,"MISS FT by BOYLE,JACK",,,"MISS FT by BOYLE,JACK",4
--,,,,,"REBOUND OFF by GIUNTA,JACOB",,,"REBOUND OFF by GIUNTA,JACOB",4
03:27,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",4
03:25,,,,,"FOUL  by GIUNTA,JACOB",,,"FOUL  by GIUNTA,JACOB",4
03:25,"MISS FT by WALKER,JEFFERSON(fastbreak)",,,,,,,"MISS FT by WALKER,JEFFERSON(fastbreak)",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
03:25,"SUB OUT by DEMPSEY,JACK",,,,,,,"SUB OUT by DEMPSEY,JACK",4
03:25,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",4
03:25,"GOOD FT by WALKER,JEFFERSON(fastbreak)",74,,74,,Rhodes 74-74 (0),,"GOOD FT by WALKER,JEFFERSON(fastbreak)",4
03:18,,74,,75 (+1),"GOOD FT by GIUNTA,JACOB(fastbreak)",UD 74-75 (-1),,"GOOD FT by GIUNTA,JACOB(fastbreak)",4
03:10,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",4
03:10,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",4
03:10,"SUB IN by DEMPSEY,JACK",,,,,,,"SUB IN by DEMPSEY,JACK",4
03:10,,74,,76 (+2),"GOOD FT by BOYLE,JACK",UD 74-76 (-2),,"GOOD FT by BOYLE,JACK",4
03:10,,74,,77 (+3),"GOOD FT by BOYLE,JACK",UD 74-77 (-3),,"GOOD FT by BOYLE,JACK",4
02:56,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",4
02:56,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",4
02:40,,,,,"MISS LAYUP by BOYLE,JACK(in the paint)",,,"MISS LAYUP by BOYLE,JACK(in the paint)",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
02:23,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",4
--,,,,,"REBOUND DEF by BOYLE,JACK",,,"REBOUND DEF by BOYLE,JACK",4
02:05,,,,,"MISS JUMPER by GIUNTA,JACOB",,,"MISS JUMPER by GIUNTA,JACOB",4
--,"REBOUND DEF by DEMPSEY,JACK",,,,,,,"REBOUND DEF by DEMPSEY,JACK",4
01:50,"GOOD JUMPER by WILEY,KOKI(in the paint)",76,,77 (+1),,Rhodes 76-77 (-1),,"GOOD JUMPER by WILEY,KOKI(in the paint)",4
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",4
01:30,,76,,79 (+3),"GOOD JUMPER by CHRISTIFANO JR.,LOUI",UD 76-79 (-3),,"GOOD JUMPER by CHRISTIFANO JR.,LOUI",4
01:19,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",78,,79 (+1),,Rhodes 78-79 (-1),,"GOOD LAYUP by WALKER,JEFFERSON(in the paint)",4
00:56,,,,,"MISS JUMPER by BOYLE,JACK",,,"MISS JUMPER by BOYLE,JACK",4
--,"REBOUND DEF by LAMEY,HAYDEN",,,,,,,"REBOUND DEF by LAMEY,HAYDEN",4
00:33,"GOOD JUMPER by DOTSON,PHIL(in the paint)",80 (+1),,79,,Rhodes 80-79 (+1),,"GOOD JUMPER by DOTSON,PHIL(in the paint)",4
00:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,4
00:19,,80,,81 (+1),"GOOD LAYUP by BOYLE,JACK(in the paint)",UD 80-81 (-1),,"GOOD LAYUP by BOYLE,JACK(in the paint)",4
--,,,,,"ASSIST  by OLMSTED,ZAC",,,"ASSIST  by OLMSTED,ZAC",4
00:19,"FOUL  by DEMPSEY,JACK",,,,,,,"FOUL  by DEMPSEY,JACK",4
00:19,,,,,"SUB OUT by GIUNTA,JACOB",,,"SUB OUT by GIUNTA,JACOB",4
00:19,,,,,"SUB IN by MILES,JAXON",,,"SUB IN by MILES,JAXON",4
00:19,,80,,82 (+2),"GOOD FT by BOYLE,JACK",UD 80-82 (-2),,"GOOD FT by BOYLE,JACK",4
00:10,,,,,"FOUL  by BOYLE,JACK",,,"FOUL  by BOYLE,JACK",4
00:10,,,,,"SUB OUT by BOYLE,JACK",,,"SUB OUT by BOYLE,JACK",4
00:10,,,,,"SUB IN by GIUNTA,JACOB",,,"SUB IN by GIUNTA,JACOB",4
00:10,"MISS FT by WALKER,JEFFERSON",,,,,,,"MISS FT by WALKER,JEFFERSON",4
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,4
00:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,4
00:10,"GOOD FT by WALKER,JEFFERSON",81,,82 (+1),,Rhodes 81-82 (-1),,"GOOD FT by WALKER,JEFFERSON",4
00:09,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",4
00:09,,,,,"MISS FT by OLMSTED,ZAC(fastbreak)",,,"MISS FT by OLMSTED,ZAC(fastbreak)",4
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,4
00:09,,81,,83 (+2),"GOOD FT by OLMSTED,ZAC(fastbreak)",UD 81-83 (-2),,"GOOD FT by OLMSTED,ZAC(fastbreak)",4
00:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,4
00:00,"GOOD 3PTR by DEMPSEY,JACK",84 (+1),,83,,Rhodes 84-83 (+1),,"GOOD 3PTR by DEMPSEY,JACK",4
--,"ASSIST  by WALKER,JEFFERSON",,,,,,,"ASSIST  by WALKER,JEFFERSON",4
