Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
02:58,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
02:57,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",1
02:52,"GOOD 3PTR by DENBESTEN,COLE",19,,33 (+14),,17BSC-M 19-33 (+14),,"GOOD 3PTR by DENBESTEN,COLE",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
02:41,,19,,35 (+16),"GOOD LAYUP by HOLLOWAY,JACK(fastbreak)(in the paint)",SEWANEE 19-35 (+16),,"GOOD LAYUP by HOLLOWAY,JACK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
02:35,"MISS 3PTR by DENBESTEN,COLE",,,,,,,"MISS 3PTR by DENBESTEN,COLE",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
02:27,,19,,37 (+18),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 19-37 (+18),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
02:18,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",21,,37 (+16),,17BSC-M 21-37 (+16),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by DENBESTEN,COLE",,,,,,,"ASSIST  by DENBESTEN,COLE",1
02:18,,,,,"FOUL  by BARRY,MICHAEL",,,"FOUL  by BARRY,MICHAEL",1
02:18,"GOOD FT by DENEKA,HARRISON",22,,37 (+15),,17BSC-M 22-37 (+15),,"GOOD FT by DENEKA,HARRISON",1
02:04,,22,,40 (+18),"GOOD 3PTR by SMITH,LUKE",SEWANEE 22-40 (+18),,"GOOD 3PTR by SMITH,LUKE",1
01:35,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",24,,40 (+16),,17BSC-M 24-40 (+16),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
01:23,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
01:23,,,,,"MISS FT by CALDWELL,CAM",,,"MISS FT by CALDWELL,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
