Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
08:19,,20,,29 (+9),"GOOD FT by GLOTTA,ZACH",APSU 20-29 (-9),,"GOOD FT by GLOTTA,ZACH",1
08:19,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
08:19,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
08:02,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
08:00,,,,,"STEAL  by GLOTTA,ZACH",,,"STEAL  by GLOTTA,ZACH",1
07:57,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
07:57,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:57,,,,,"MISS FT by TAYLOR,TERRY",,,"MISS FT by TAYLOR,TERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:56,,20,,30 (+10),"GOOD FT by TAYLOR,TERRY",APSU 20-30 (-10),,"GOOD FT by TAYLOR,TERRY",1
07:47,,,,,"FOUL  by GUMM,DAYTON",,,"FOUL  by GUMM,DAYTON",1
07:41,"TURNOVER  by MCDONOUGH,SEAN",,,,,,,"TURNOVER  by MCDONOUGH,SEAN",1
07:36,,20,,33 (+13),"GOOD 3PTR by MARTIN,DEYSHAWN",APSU 20-33 (-13),,"GOOD 3PTR by MARTIN,DEYSHAWN",1
--,,,,,"ASSIST  by GLOTTA,ZACH",,,"ASSIST  by GLOTTA,ZACH",1
07:19,"GOOD 3PTR by LEE,MATT",23,,33 (+10),,SEWANEE 23-33 (-10),,"GOOD 3PTR by LEE,MATT",1
--,"ASSIST  by BARRY,MICHAEL",,,,,,,"ASSIST  by BARRY,MICHAEL",1
06:53,,,,,"MISS 3PTR by GLOTTA,ZACH",,,"MISS 3PTR by GLOTTA,ZACH",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
06:39,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by UGBA,AVERYL",,,"REBOUND DEF by UGBA,AVERYL",1
06:14,,23,,35 (+12),"GOOD JUMPER by UGBA,AVERYL(in the paint)",APSU 23-35 (-12),,"GOOD JUMPER by UGBA,AVERYL(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,TERRY",,,"ASSIST  by TAYLOR,TERRY",1
05:55,,,,,"FOUL  by GUMM,DAYTON",,,"FOUL  by GUMM,DAYTON",1
05:55,"GOOD FT by BUESCHER,HUNTER",24,,35 (+11),,SEWANEE 24-35 (-11),,"GOOD FT by BUESCHER,HUNTER",1
05:55,"GOOD FT by BUESCHER,HUNTER",25,,35 (+10),,SEWANEE 25-35 (-10),,"GOOD FT by BUESCHER,HUNTER",1
