Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,ACM,Game Score,Team Indicator,Play,Period
03:38,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",1
03:38,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
03:29,,,,,"MISS 3PTR by HOGAN,KAM",,,"MISS 3PTR by HOGAN,KAM",1
--,,,,,"REBOUND OFF by MERCADEL,JUSTICE",,,"REBOUND OFF by MERCADEL,JUSTICE",1
03:25,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
03:14,"TURNOVER  by MOORE,AUSTIN",,,,,,,"TURNOVER  by MOORE,AUSTIN",1
03:14,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
03:14,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
03:14,,,,,"SUB IN by QUINN,JOSH",,,"SUB IN by QUINN,JOSH",1
03:14,,,,,"SUB IN by HARDWICK,JOSH",,,"SUB IN by HARDWICK,JOSH",1
03:14,,,,,"SUB OUT by HILL,KAMERON",,,"SUB OUT by HILL,KAMERON",1
03:14,,,,,"SUB OUT by HOGAN,KAM",,,"SUB OUT by HOGAN,KAM",1
03:09,,,,,"MISS 3PTR by WELLS,AUSTIN",,,"MISS 3PTR by WELLS,AUSTIN",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
02:56,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
02:56,,,,,"STEAL  by MERCADEL,JUSTICE",,,"STEAL  by MERCADEL,JUSTICE",1
02:53,,27,,41 (+14),"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",ACM 27-41 (-14),,"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",1
02:53,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
02:53,,,,,"MISS FT by MERCADEL,JUSTICE",,,"MISS FT by MERCADEL,JUSTICE",1
--,"REBOUND DEF by ROUSE,TREY",,,,,,,"REBOUND DEF by ROUSE,TREY",1
02:47,,,,,"FOUL  by QUINN,JOSH",,,"FOUL  by QUINN,JOSH",1
02:47,"GOOD FT by ROUSE,TREY",28,,41 (+13),,HXM 28-41 (-13),,"GOOD FT by ROUSE,TREY",1
02:47,"GOOD FT by ROUSE,TREY",29,,41 (+12),,HXM 29-41 (-12),,"GOOD FT by ROUSE,TREY",1
02:37,,,,,"MISS JUMPER by MERCADEL,JUSTICE",,,"MISS JUMPER by MERCADEL,JUSTICE",1
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",1
02:29,"GOOD LAYUP by ROUSE,TREY(in the paint)",31,,41 (+10),,HXM 31-41 (-10),,"GOOD LAYUP by ROUSE,TREY(in the paint)",1
02:15,"FOUL  by CALAMESE,MICHAEL",,,,,,,"FOUL  by CALAMESE,MICHAEL",1
02:15,,,,,"MISS FT by WELLS,AUSTIN",,,"MISS FT by WELLS,AUSTIN",1
--,,,,,"REBOUND OFF by WELLS,AUSTIN",,,"REBOUND OFF by WELLS,AUSTIN",1
02:15,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
02:15,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
02:15,,,,,"SUB IN by GARRETT,JOSH",,,"SUB IN by GARRETT,JOSH",1
02:15,,,,,"SUB OUT by NICKENS,ZACHARY",,,"SUB OUT by NICKENS,ZACHARY",1
02:12,,,,,"MISS LAYUP by WELLS,AUSTIN",,,"MISS LAYUP by WELLS,AUSTIN",1
02:12,"BLOCK  by HALL,MARCIS",,,,,,,"BLOCK  by HALL,MARCIS",1
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",1
02:04,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
02:04,"SUB OUT by MOORE,AUSTIN",,,,,,,"SUB OUT by MOORE,AUSTIN",1
01:54,"GOOD LAYUP by HALL,MARCIS(in the paint)",33,,41 (+8),,HXM 33-41 (-8),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,"ASSIST ASSIST by ROUSE,TREY",,,,,,,"ASSIST ASSIST by ROUSE,TREY",1
01:43,,33,,44 (+11),"GOOD 3PTR by QUINN,JOSH",ACM 33-44 (-11),,"GOOD 3PTR by QUINN,JOSH",1
--,,,,,"ASSIST ASSIST by HARDWICK,JOSH",,,"ASSIST ASSIST by HARDWICK,JOSH",1
