Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
00:23,"GOOD FT by SMITH,PRESTON",80 (+6),,74,,HXM 80-74 (+6),,"GOOD FT by SMITH,PRESTON",2
00:16,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
00:16,,80 (+5),,75,"GOOD FT by HIRSH,ELIJAH",BCM 80-75 (+5),,"GOOD FT by HIRSH,ELIJAH",2
00:16,,80 (+4),,76,"GOOD FT by HIRSH,ELIJAH",BCM 80-76 (+4),,"GOOD FT by HIRSH,ELIJAH",2
00:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:16,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
00:16,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
00:16,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
00:16,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
00:16,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",2
00:16,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",2
00:13,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",2
00:13,"GOOD FT by FISHER,ELI",81 (+5),,76,,HXM 81-76 (+5),,"GOOD FT by FISHER,ELI",2
00:13,"GOOD FT by FISHER,ELI",82 (+6),,76,,HXM 82-76 (+6),,"GOOD FT by FISHER,ELI",2
00:13,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
00:13,"SUB IN by CRISWELL,SEAN",,,,,,,"SUB IN by CRISWELL,SEAN",2
00:13,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
00:13,"SUB OUT by FISHER,ELI",,,,,,,"SUB OUT by FISHER,ELI",2
00:13,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",2
00:13,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",2
00:07,,82 (+3),,79,"GOOD 3PTR by JOHNSON,CORY",BCM 82-79 (+3),,"GOOD 3PTR by JOHNSON,CORY",2
00:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:07,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",2
00:07,"MISS FT by EATON,JACK",,,,,,,"MISS FT by EATON,JACK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:07,"GOOD FT by EATON,JACK",83 (+4),,79,,HXM 83-79 (+4),,"GOOD FT by EATON,JACK",2
00:07,"FOUL  by SMITH,PRESTON",,,,,,,"FOUL  by SMITH,PRESTON",2
00:07,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",2
00:07,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",2
00:07,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",2
00:07,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",2
00:06,"FOUL  by ROBERTS,ERIC",,,,,,,"FOUL  by ROBERTS,ERIC",2
00:06,,83 (+3),,80,"GOOD FT by JOHNSON,CORY",BCM 83-80 (+3),,"GOOD FT by JOHNSON,CORY",2
00:06,,83 (+2),,81,"GOOD FT by JOHNSON,CORY",BCM 83-81 (+2),,"GOOD FT by JOHNSON,CORY",2
00:06,,83 (+1),,82,"GOOD FT by JOHNSON,CORY",BCM 83-82 (+1),,"GOOD FT by JOHNSON,CORY",2
00:06,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
00:06,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
00:00,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",2
00:00,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",2
00:00,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
