Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,ETBU,Game Score,Team Indicator,Play,Period
02:01,"GOOD FT by LINK,JACOB",47 (+8),,39,,HC 47-39 (+8),,"GOOD FT by LINK,JACOB",1
02:01,"MISS FT by LINK,JACOB",,,,,,,"MISS FT by LINK,JACOB",1
--,,,,,"REBOUND DEF by SABO,GAVIN",,,"REBOUND DEF by SABO,GAVIN",1
02:01,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",1
02:01,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
01:50,,,,,"MISS LAYUP by BROWN,LANDIN",,,"MISS LAYUP by BROWN,LANDIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:38,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",1
01:21,,47 (+5),,42,"GOOD 3PTR by BROWN,LANDIN",ETBU 47-42 (+5),,"GOOD 3PTR by BROWN,LANDIN",1
--,,,,,"ASSIST  by DOOLEY,ROBBY",,,"ASSIST  by DOOLEY,ROBBY",1
00:57,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
--,,,,,"REBOUND DEF by FONTENOT,NATHAN",,,"REBOUND DEF by FONTENOT,NATHAN",1
00:50,,47 (+3),,44,"GOOD LAYUP by BROWN,LANDIN(fastbreak)(in the paint)",ETBU 47-44 (+3),,"GOOD LAYUP by BROWN,LANDIN(fastbreak)(in the paint)",1
00:43,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by FONTENOT,NATHAN",,,"REBOUND DEF by FONTENOT,NATHAN",1
00:33,,47,,47,"GOOD 3PTR by SABO,GAVIN(fastbreak)",ETBU 47-47 (0),,"GOOD 3PTR by SABO,GAVIN(fastbreak)",1
--,,,,,"ASSIST  by BROWN,LANDIN",,,"ASSIST  by BROWN,LANDIN",1
00:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:30,,,,,"SUB IN by ROBINSON,DAVIS",,,"SUB IN by ROBINSON,DAVIS",1
00:30,,,,,"SUB IN by MACK,DION",,,"SUB IN by MACK,DION",1
00:30,,,,,"SUB OUT by FONTENOT,NATHAN",,,"SUB OUT by FONTENOT,NATHAN",1
00:30,,,,,"SUB OUT by SABO,GAVIN",,,"SUB OUT by SABO,GAVIN",1
