Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
09:46,"TURNOVER  by DENBESTEN,COLE",,,,,,,"TURNOVER  by DENBESTEN,COLE",1
09:43,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
09:40,,15,,16 (+1),"GOOD LAYUP by LEWIS,EVAN(in the paint)",16BSC-M 15-16 (+1),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
09:20,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
09:20,"MISS FT by DENBESTEN,COLE",,,,,,,"MISS FT by DENBESTEN,COLE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:20,"MISS FT by DENBESTEN,COLE",,,,,,,"MISS FT by DENBESTEN,COLE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:18,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
09:18,"SUB IN by JONES,BLAKE",,,,,,,"SUB IN by JONES,BLAKE",1
09:18,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
09:18,"SUB OUT by DENBESTEN,COLE",,,,,,,"SUB OUT by DENBESTEN,COLE",1
09:15,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
09:15,"SUB OUT by JOHNSON,CORY",,,,,,,"SUB OUT by JOHNSON,CORY",1
09:06,"FOUL  by SPALDING,TANNER",,,,,,,"FOUL  by SPALDING,TANNER",1
09:06,"TURNOVER  by SPALDING,TANNER",,,,,,,"TURNOVER  by SPALDING,TANNER",1
08:48,,15,,18 (+3),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 15-18 (+3),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
08:27,"GOOD JUMPER by MCCLOUD,ALTON(in the paint)",17,,18 (+1),,BCM 17-18 (+1),,"GOOD JUMPER by MCCLOUD,ALTON(in the paint)",1
08:19,,17,,20 (+3),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 17-20 (+3),,"GOOD LAYUP by THOM,IAN(in the paint)",1
08:05,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",1
08:05,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",1
08:05,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:05,"SUB IN by JOHNSON,CALEB",,,,,,,"SUB IN by JOHNSON,CALEB",1
08:05,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
08:05,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
08:05,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
08:05,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
08:05,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
08:05,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
08:05,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
07:49,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by JONES,BLAKE",,,,,,,"REBOUND DEF by JONES,BLAKE",1
