Time Remaining,HUNTINGM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
09:30,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",1
--,"REBOUND DEF by PETTY,RYAN",,,,,,,"REBOUND DEF by PETTY,RYAN",1
09:27,"GOOD JUMPER by THOMAS,JEREMIAH",24 (+7),,17,,HUNTINGM 24-17 (-7),,"GOOD JUMPER by THOMAS,JEREMIAH",1
09:20,,,,,"TURNOVER  by KASTNER,MURRAY",,,"TURNOVER  by KASTNER,MURRAY",1
09:18,"STEAL  by VARNEY,JASON",,,,,,,"STEAL  by VARNEY,JASON",1
09:12,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",26 (+9),,17,,HUNTINGM 26-17 (-9),,"GOOD LAYUP by THOMAS,JEREMIAH(in the paint)",1
--,"ASSIST  by VARNEY,JASON",,,,,,,"ASSIST  by VARNEY,JASON",1
09:09,"SUB OUT by HILL,AUSTIN",,,,,,,"SUB OUT by HILL,AUSTIN",1
09:09,"SUB OUT by EDGAR,COURTNEE",,,,,,,"SUB OUT by EDGAR,COURTNEE",1
08:58,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",1
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",1
08:52,"SUB IN by BIAS,JAMAL",,,,,,,"SUB IN by BIAS,JAMAL",1
08:52,"SUB OUT by VARNEY,JASON",,,,,,,"SUB OUT by VARNEY,JASON",1
08:52,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
08:52,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:52,,,,,"SUB OUT by WILSON,KEVIN",,,"SUB OUT by WILSON,KEVIN",1
08:52,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",1
08:44,,26 (+6),,20,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 26-20 (-6),,"GOOD 3PTR by KASTNER,MURRAY",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
08:14,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
08:09,"TURNOVER  by PETTY,RYAN",,,,,,,"TURNOVER  by PETTY,RYAN",1
08:09,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
08:09,,,,,"SUB OUT by MOGGED,JEREMY",,,"SUB OUT by MOGGED,JEREMY",1
07:58,"FOUL  by HUGHES,TAYLOR",,,,,,,"FOUL  by HUGHES,TAYLOR",1
07:20,"FOUL  by THOMAS,JEREMIAH",,,,,,,"FOUL  by THOMAS,JEREMIAH",1
07:20,,26 (+5),,21,"GOOD FT by BERGER,RYAN",MILLSAPS 26-21 (-5),,"GOOD FT by BERGER,RYAN",1
07:20,,26 (+4),,22,"GOOD FT by BERGER,RYAN",MILLSAPS 26-22 (-4),,"GOOD FT by BERGER,RYAN",1
07:05,"GOOD 3PTR by PETTY,RYAN",29 (+7),,22,,HUNTINGM 29-22 (-7),,"GOOD 3PTR by PETTY,RYAN",1
06:46,,29 (+5),,24,"GOOD JUMPER by ALLISON,BRANDON",MILLSAPS 29-24 (-5),,"GOOD JUMPER by ALLISON,BRANDON",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
06:31,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
06:31,"GOOD FT by THOMAS,JEREMIAH",30 (+6),,24,,HUNTINGM 30-24 (-6),,"GOOD FT by THOMAS,JEREMIAH",1
06:31,"MISS FT by THOMAS,JEREMIAH",,,,,,,"MISS FT by THOMAS,JEREMIAH",1
--,,,,,"REBOUND DEF by ALLISON,BRANDON",,,"REBOUND DEF by ALLISON,BRANDON",1
06:31,"SUB IN by DUDLEY,BYRON",,,,,,,"SUB IN by DUDLEY,BYRON",1
06:31,"SUB IN by HILL,AUSTIN",,,,,,,"SUB IN by HILL,AUSTIN",1
06:31,"SUB OUT by BLACKMON,KANDEN",,,,,,,"SUB OUT by BLACKMON,KANDEN",1
