Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
10:07,,,,,"FOUL  by THOMAS,STERLING",,,"FOUL  by THOMAS,STERLING",2
10:02,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,"REBOUND OFF by CARTER,KESHONN",,,,,,,"REBOUND OFF by CARTER,KESHONN",2
09:51,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",35,,39 (+4),,SEWANEE 35-39 (+4),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",2
09:36,,,,,"MISS LAYUP by KASTNER,MURRAY",,,"MISS LAYUP by KASTNER,MURRAY",2
09:36,"BLOCK  by CARTER,KESHONN",,,,,,,"BLOCK  by CARTER,KESHONN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:27,,,,,"MISS LAYUP by KASTNER,MURRAY",,,"MISS LAYUP by KASTNER,MURRAY",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
09:06,"MISS LAYUP by HODGE,NILAN",,,,,,,"MISS LAYUP by HODGE,NILAN",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
08:50,,35,,41 (+6),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 35-41 (+6),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,,,,,"ASSIST ASSIST by GILLIGAN,TULLY",,,"ASSIST ASSIST by GILLIGAN,TULLY",2
08:21,"GOOD LAYUP by BROWN,TYLER(in the paint)",37,,41 (+4),,SEWANEE 37-41 (+4),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
07:48,,37,,43 (+6),"GOOD LAYUP by KASTNER,MURRAY(in the paint)",MILLSAPS 37-43 (+6),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
--,,,,,"ASSIST ASSIST by THOMAS,STERLING",,,"ASSIST ASSIST by THOMAS,STERLING",2
07:48,"FOUL  by CALDWELL,MARCELLUS",,,,,,,"FOUL  by CALDWELL,MARCELLUS",2
07:48,,37,,44 (+7),"GOOD FT by KASTNER,MURRAY",MILLSAPS 37-44 (+7),,"GOOD FT by KASTNER,MURRAY",2
07:32,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
07:32,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:32,"GOOD FT by CARTER,KESHONN",38,,44 (+6),,SEWANEE 38-44 (+6),,"GOOD FT by CARTER,KESHONN",2
07:05,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",2
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",2
