Time Remaining,COVMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
01:09,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
01:09,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
01:07,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",2
01:07,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
01:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:57,,44,,56 (+12),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 44-56 (+12),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",2
00:57,"FOUL  by MUTCHERSON,ROSBIE",,,,,,,"FOUL  by MUTCHERSON,ROSBIE",2
00:57,,44,,57 (+13),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 44-57 (+13),,"GOOD FT by GILLIGAN,TULLY",2
00:50,"GOOD 3PTR by COX,TJ",47,,57 (+10),,COVMBB 47-57 (+10),,"GOOD 3PTR by COX,TJ",2
00:44,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
00:44,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
00:44,"SUB OUT by DELANEY,JAKE",,,,,,,"SUB OUT by DELANEY,JAKE",2
00:42,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
00:42,"GOOD FT by MUTCHERSON,ROSBIE",48,,57 (+9),,COVMBB 48-57 (+9),,"GOOD FT by MUTCHERSON,ROSBIE",2
00:42,"GOOD FT by MUTCHERSON,ROSBIE",49,,57 (+8),,COVMBB 49-57 (+8),,"GOOD FT by MUTCHERSON,ROSBIE",2
00:42,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:42,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",2
00:42,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",2
00:42,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",2
00:42,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",2
00:42,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",2
00:42,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",2
00:42,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
00:42,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
00:38,"FOUL  by DELANEY,JAKE",,,,,,,"FOUL  by DELANEY,JAKE",2
00:38,,49,,58 (+9),"GOOD FT by CORTESE,NICK",MILLSAPS 49-58 (+9),,"GOOD FT by CORTESE,NICK",2
00:38,,49,,59 (+10),"GOOD FT by CORTESE,NICK",MILLSAPS 49-59 (+10),,"GOOD FT by CORTESE,NICK",2
00:38,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",2
00:38,"SUB OUT by DELANEY,JAKE",,,,,,,"SUB OUT by DELANEY,JAKE",2
00:38,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
00:38,,,,,"SUB OUT by THOMAS,STERLING",,,"SUB OUT by THOMAS,STERLING",2
00:29,"GOOD JUMPER by MUTCHERSON,ROSBIE",51,,59 (+8),,COVMBB 51-59 (+8),,"GOOD JUMPER by MUTCHERSON,ROSBIE",2
--,"ASSIST  by BOYD,CHRIS",,,,,,,"ASSIST  by BOYD,CHRIS",2
00:18,,,,,"TURNOVER  by ALLISON,BRANDON",,,"TURNOVER  by ALLISON,BRANDON",2
00:16,"STEAL  by SEARS,CALLUM",,,,,,,"STEAL  by SEARS,CALLUM",2
00:12,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",2
--,"REBOUND OFF by COX,TJ",,,,,,,"REBOUND OFF by COX,TJ",2
00:07,"MISS LAYUP by COX,TJ",,,,,,,"MISS LAYUP by COX,TJ",2
--,"REBOUND OFF by MCGRIFF,COLTON",,,,,,,"REBOUND OFF by MCGRIFF,COLTON",2
00:03,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",2
00:03,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",2
00:03,,,,,"SUB IN by THOMAS,STERLING",,,"SUB IN by THOMAS,STERLING",2
00:03,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
00:01,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",2
00:00,,,,,"STEAL  by THOMAS,STERLING",,,"STEAL  by THOMAS,STERLING",2
00:03,"FOUL  by MUTCHERSON,ROSBIE",,,,,,,"FOUL  by MUTCHERSON,ROSBIE",2
00:03,,51,,60 (+9),"GOOD FT by CORTESE,NICK",MILLSAPS 51-60 (+9),,"GOOD FT by CORTESE,NICK",2
00:03,,,,,"MISS FT by CORTESE,NICK",,,"MISS FT by CORTESE,NICK",2
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",2
00:03,"GOOD 3PTR by COX,TJ",54,,60 (+6),,COVMBB 54-60 (+6),,"GOOD 3PTR by COX,TJ",2
