Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
09:51,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
09:51,"SUB OUT by DUNN,MATT",,,,,,,"SUB OUT by DUNN,MATT",1
09:51,"SUB OUT by KLADIS,NICK",,,,,,,"SUB OUT by KLADIS,NICK",1
09:51,"SUB OUT by LAGRONE,JORDAN",,,,,,,"SUB OUT by LAGRONE,JORDAN",1
09:51,"SUB OUT by LAGRONE,JEREMY",,,,,,,"SUB OUT by LAGRONE,JEREMY",1
09:51,"SUB OUT by FRITSCH,CHRIS",,,,,,,"SUB OUT by FRITSCH,CHRIS",1
09:51,"SUB IN by KLADIS,NICK",,,,,,,"SUB IN by KLADIS,NICK",1
09:51,"SUB IN by LAGRONE,JORDAN",,,,,,,"SUB IN by LAGRONE,JORDAN",1
09:51,"SUB IN by GRIFFIN,JOVON",,,,,,,"SUB IN by GRIFFIN,JOVON",1
09:51,"SUB IN by LYNN,JOSH",,,,,,,"SUB IN by LYNN,JOSH",1
09:51,"SUB IN by KRAMP,PAT",,,,,,,"SUB IN by KRAMP,PAT",1
09:51,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
09:51,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
09:51,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,"REBOUND DEF by LYNN,JOSH",,,,,,,"REBOUND DEF by LYNN,JOSH",1
09:47,"MISS 3PTR by LAGRONE,JORDAN",,,,,,,"MISS 3PTR by LAGRONE,JORDAN",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
09:29,"FOUL  by GRIFFIN,JOVON",,,,,,,"FOUL  by GRIFFIN,JOVON",1
09:29,,22 (+2),,20,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 22-20 (-2),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
09:25,"FOUL  by LAGRONE,JORDAN",,,,,,,"FOUL  by LAGRONE,JORDAN",1
09:25,"SUB OUT by DUNN,MATT",,,,,,,"SUB OUT by DUNN,MATT",1
09:25,"SUB OUT by KLADIS,NICK",,,,,,,"SUB OUT by KLADIS,NICK",1
09:25,"SUB OUT by LAGRONE,JORDAN",,,,,,,"SUB OUT by LAGRONE,JORDAN",1
09:25,"SUB OUT by LAGRONE,JEREMY",,,,,,,"SUB OUT by LAGRONE,JEREMY",1
09:25,"SUB OUT by FRITSCH,CHRIS",,,,,,,"SUB OUT by FRITSCH,CHRIS",1
09:25,"SUB IN by DUNN,MATT",,,,,,,"SUB IN by DUNN,MATT",1
09:25,"SUB IN by KLADIS,NICK",,,,,,,"SUB IN by KLADIS,NICK",1
09:25,"SUB IN by LAGRONE,JORDAN",,,,,,,"SUB IN by LAGRONE,JORDAN",1
09:25,"SUB IN by LYNN,JOSH",,,,,,,"SUB IN by LYNN,JOSH",1
09:25,"SUB IN by STOKES,KALMON",,,,,,,"SUB IN by STOKES,KALMON",1
09:25,,22 (+1),,21,"GOOD FT by GALVIN,DANIEL",RHO 22-21 (-1),,"GOOD FT by GALVIN,DANIEL",1
09:10,"TURNOVER  by STOKES,KALMON",,,,,,,"TURNOVER  by STOKES,KALMON",1
08:56,,22,,23 (+1),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 22-23 (+1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
08:46,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
08:25,"TURNOVER  by LAGRONE,JORDAN",,,,,,,"TURNOVER  by LAGRONE,JORDAN",1
08:24,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
08:07,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
08:04,"STEAL  by DUNN,MATT",,,,,,,"STEAL  by DUNN,MATT",1
08:03,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
08:03,"GOOD FT by DUNN,MATT",23,,23,,AUR 23-23 (0),,"GOOD FT by DUNN,MATT",1
08:03,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:03,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
08:03,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
08:03,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
08:03,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
08:03,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
08:03,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
08:03,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
08:03,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
08:03,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
08:03,"SUB IN by HALL,TYLER",,,,,,,"SUB IN by HALL,TYLER",1
08:03,"SUB OUT by LAGRONE,JORDAN",,,,,,,"SUB OUT by LAGRONE,JORDAN",1
08:03,"GOOD FT by DUNN,MATT",24 (+1),,23,,AUR 24-23 (-1),,"GOOD FT by DUNN,MATT",1
08:03,"SUB IN by LAGRONE,JEREMY",,,,,,,"SUB IN by LAGRONE,JEREMY",1
08:03,"SUB OUT by DUNN,MATT",,,,,,,"SUB OUT by DUNN,MATT",1
