Time Remaining,E&H,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
03:40,"MISS LAYUP by TURNER,MYLES",,,,,,,"MISS LAYUP by TURNER,MYLES",2
--,"REBOUND OFF by SELF,BRANDON",,,,,,,"REBOUND OFF by SELF,BRANDON",2
03:37,"MISS LAYUP by SELF,BRANDON",,,,,,,"MISS LAYUP by SELF,BRANDON",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
03:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:07,,,,,"MISS JUMPER by GEE,TYLER",,,"MISS JUMPER by GEE,TYLER",2
03:07,"BLOCK  by SELF,BRANDON",,,,,,,"BLOCK  by SELF,BRANDON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:07,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
03:07,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
03:07,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
02:55,"GOOD 3PTR by ANZENBERGER,KEVIN",69 (+10),,59,,E&H 69-59 (-10),,"GOOD 3PTR by ANZENBERGER,KEVIN",2
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",2
02:32,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",2
02:18,"MISS LAYUP by FERGUSON,AARON",,,,,,,"MISS LAYUP by FERGUSON,AARON",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
02:18,"FOUL  by SELF,BRANDON",,,,,,,"FOUL  by SELF,BRANDON",2
02:18,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
02:18,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
02:18,,,,,"MISS FT by GEE,TYLER",,,"MISS FT by GEE,TYLER",2
--,"REBOUND DEF by BRANSCOMB,CHASE",,,,,,,"REBOUND DEF by BRANSCOMB,CHASE",2
02:06,"TURNOVER  by BRANSCOMB,CHASE",,,,,,,"TURNOVER  by BRANSCOMB,CHASE",2
02:06,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
02:06,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",2
02:06,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
02:06,"GOOD FT by BRANSCOMB,CHASE",70 (+11),,59,,E&H 70-59 (-11),,"GOOD FT by BRANSCOMB,CHASE",2
02:06,"GOOD FT by BRANSCOMB,CHASE",71 (+12),,59,,E&H 71-59 (-12),,"GOOD FT by BRANSCOMB,CHASE",2
02:06,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
02:06,"SUB OUT by BRANSCOMB,CHASE",,,,,,,"SUB OUT by BRANSCOMB,CHASE",2
01:54,,71 (+10),,61,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 71-61 (-10),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",2
01:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:53,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
01:53,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",2
01:53,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
01:53,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
01:52,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",2
01:52,"GOOD FT by GRAVLEY,RYAN",72 (+11),,61,,E&H 72-61 (-11),,"GOOD FT by GRAVLEY,RYAN",2
01:52,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",2
01:52,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",2
01:52,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
01:52,"SUB OUT by SHELOR,JOHN",,,,,,,"SUB OUT by SHELOR,JOHN",2
01:52,"SUB OUT by ANZENBERGER,KEVIN",,,,,,,"SUB OUT by ANZENBERGER,KEVIN",2
01:52,"SUB IN by GRAVLEY,RYAN",,,,,,,"SUB IN by GRAVLEY,RYAN",2
01:52,"SUB IN by TURNER,MYLES",,,,,,,"SUB IN by TURNER,MYLES",2
01:52,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
01:52,"SUB IN by SHELOR,JOHN",,,,,,,"SUB IN by SHELOR,JOHN",2
01:52,"SUB IN by ANZENBERGER,KEVIN",,,,,,,"SUB IN by ANZENBERGER,KEVIN",2
01:52,"GOOD FT by GRAVLEY,RYAN",73 (+12),,61,,E&H 73-61 (-12),,"GOOD FT by GRAVLEY,RYAN",2
01:34,,73 (+9),,64,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 73-64 (-9),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",2
01:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:33,"SUB IN by BRANSCOMB,CHASE",,,,,,,"SUB IN by BRANSCOMB,CHASE",2
01:33,"SUB OUT by SELF,BRANDON",,,,,,,"SUB OUT by SELF,BRANDON",2
01:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:27,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
01:27,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",2
01:09,"GOOD LAYUP by ANZENBERGER,KEVIN(in the paint)",75 (+11),,64,,E&H 75-64 (-11),,"GOOD LAYUP by ANZENBERGER,KEVIN(in the paint)",2
00:56,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",2
--,"REBOUND DEF by ANZENBERGER,KEVIN",,,,,,,"REBOUND DEF by ANZENBERGER,KEVIN",2
00:35,,,,,"FOUL  by DALTON,PRICE",,,"FOUL  by DALTON,PRICE",2
00:35,"GOOD FT by BRANSCOMB,CHASE",76 (+12),,64,,E&H 76-64 (-12),,"GOOD FT by BRANSCOMB,CHASE",2
00:35,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",2
00:35,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",2
00:35,"MISS FT by BRANSCOMB,CHASE",,,,,,,"MISS FT by BRANSCOMB,CHASE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:32,"SUB IN by SELF,BRANDON",,,,,,,"SUB IN by SELF,BRANDON",2
00:32,"SUB OUT by BRANSCOMB,CHASE",,,,,,,"SUB OUT by BRANSCOMB,CHASE",2
00:22,,,,,"MISS 3PTR by GALVIN,DANIEL",,,"MISS 3PTR by GALVIN,DANIEL",2
--,,,,,"REBOUND OFF by GEE,TYLER",,,"REBOUND OFF by GEE,TYLER",2
00:18,,76 (+10),,66,"GOOD LAYUP by DALTON,PRICE(in the paint)",RHO 76-66 (-10),,"GOOD LAYUP by DALTON,PRICE(in the paint)",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
00:11,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
00:11,"GOOD FT by SHELOR,JOHN",77 (+11),,66,,E&H 77-66 (-11),,"GOOD FT by SHELOR,JOHN",2
00:11,"GOOD FT by SHELOR,JOHN",78 (+12),,66,,E&H 78-66 (-12),,"GOOD FT by SHELOR,JOHN",2
00:06,,78 (+10),,68,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 78-68 (-10),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",2
