Time Remaining,MAC,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
00:41,,75 (+9),,66,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 75-66 (-9),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
00:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:39,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",2
00:39,"MISS FT by CAMERON,MIKE",,,,,,,"MISS FT by CAMERON,MIKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:39,"MISS FT by CAMERON,MIKE",,,,,,,"MISS FT by CAMERON,MIKE",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
00:29,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",2
00:28,"STEAL  by KELTNER,KOLLIN",,,,,,,"STEAL  by KELTNER,KOLLIN",2
00:28,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",2
00:28,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",2
00:28,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",2
00:28,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",2
00:28,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",2
00:28,,,,,"SUB OUT by HAYES,JAMES",,,"SUB OUT by HAYES,JAMES",2
00:28,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",2
00:28,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
00:28,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",2
00:28,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",2
00:28,,,,,"SUB IN by HAYES,JAMES",,,"SUB IN by HAYES,JAMES",2
00:28,"GOOD FT by KELTNER,KOLLIN",76 (+10),,66,,MAC 76-66 (-10),,"GOOD FT by KELTNER,KOLLIN",2
00:28,"GOOD FT by KELTNER,KOLLIN",77 (+11),,66,,MAC 77-66 (-11),,"GOOD FT by KELTNER,KOLLIN",2
00:22,,77 (+8),,69,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 77-69 (-8),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
00:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:08,,,,,"FOUL  by HAYES,JAMES",,,"FOUL  by HAYES,JAMES",2
00:08,"GOOD FT by LONG,BRENT",78 (+9),,69,,MAC 78-69 (-9),,"GOOD FT by LONG,BRENT",2
00:08,"GOOD FT by LONG,BRENT",79 (+10),,69,,MAC 79-69 (-10),,"GOOD FT by LONG,BRENT",2
00:03,,79 (+8),,71,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 79-71 (-8),,"GOOD LAYUP by HARRISON,IAN(in the paint)",2
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",2
