Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
01:44,"MISS FT by JACKSON,BRAYDEN",,,,,,,"MISS FT by JACKSON,BRAYDEN",2
--,,,,,"REBOUND DEF by PRINS,ZACHARY",,,"REBOUND DEF by PRINS,ZACHARY",2
01:35,,,,,"TURNOVER  by PRINS,ZACHARY",,,"TURNOVER  by PRINS,ZACHARY",2
01:34,"STEAL  by BROWNLEY,HOGAN",,,,,,,"STEAL  by BROWNLEY,HOGAN",2
01:30,"GOOD LAYUP by MORETTE,MATT(in the paint)",96 (+26),,70,,CENTRE-M 96-70 (+26),,"GOOD LAYUP by MORETTE,MATT(in the paint)",2
--,"ASSIST  by WEST,CHRIS",,,,,,,"ASSIST  by WEST,CHRIS",2
01:19,,,,,"MISS 3PTR by PRINS,ZACHARY",,,"MISS 3PTR by PRINS,ZACHARY",2
--,"REBOUND DEF by MORETTE,MATT",,,,,,,"REBOUND DEF by MORETTE,MATT",2
00:58,"MISS 3PTR by BROWNLEY,HOGAN",,,,,,,"MISS 3PTR by BROWNLEY,HOGAN",2
--,"REBOUND OFF by TERRY,CHRISTIAN",,,,,,,"REBOUND OFF by TERRY,CHRISTIAN",2
00:54,,,,,"FOUL  by PRINS,ZACHARY",,,"FOUL  by PRINS,ZACHARY",2
00:54,"GOOD FT by TERRY,CHRISTIAN",97 (+27),,70,,CENTRE-M 97-70 (+27),,"GOOD FT by TERRY,CHRISTIAN",2
00:54,"GOOD FT by TERRY,CHRISTIAN",98 (+28),,70,,CENTRE-M 98-70 (+28),,"GOOD FT by TERRY,CHRISTIAN",2
00:47,,98 (+25),,73,"GOOD 3PTR by ABELL,STEPHEN",HXM 98-73 (+25),,"GOOD 3PTR by ABELL,STEPHEN",2
--,,,,,"ASSIST  by CRISWELL,SEAN",,,"ASSIST  by CRISWELL,SEAN",2
00:32,"MISS 3PTR by JACKSON,BRAYDEN",,,,,,,"MISS 3PTR by JACKSON,BRAYDEN",2
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",2
00:19,,,,,"MISS 3PTR by PRINS,ZACHARY",,,"MISS 3PTR by PRINS,ZACHARY",2
--,"REBOUND DEF by JACKSON,BRAYDEN",,,,,,,"REBOUND DEF by JACKSON,BRAYDEN",2
