Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
04:05,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
04:03,"STEAL  by FISHER,ELI",,,,,,,"STEAL  by FISHER,ELI",1
04:02,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
03:44,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
03:38,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
03:19,,18,,51 (+33),"GOOD 3PTR by WALKER,ART",CENTRE-M 18-51 (+33),,"GOOD 3PTR by WALKER,ART",1
02:53,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
02:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:53,"GOOD FT by FISHER,ELI",19,,51 (+32),,HXM 19-51 (+32),,"GOOD FT by FISHER,ELI",1
02:53,"GOOD FT by FISHER,ELI",20,,51 (+31),,HXM 20-51 (+31),,"GOOD FT by FISHER,ELI",1
02:53,"SUB IN by BRASFIELD,KAM",,,,,,,"SUB IN by BRASFIELD,KAM",1
02:53,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",1
02:53,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
02:53,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",1
02:53,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
02:53,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
02:53,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
02:53,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
02:37,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:29,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
02:20,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
02:07,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",1
02:07,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
01:49,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",1
01:49,,20,,52 (+32),"GOOD FT by WALKER,ART",CENTRE-M 20-52 (+32),,"GOOD FT by WALKER,ART",1
01:49,,20,,53 (+33),"GOOD FT by WALKER,ART",CENTRE-M 20-53 (+33),,"GOOD FT by WALKER,ART",1
01:49,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
01:49,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",1
01:42,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",22,,53 (+31),,HXM 22-53 (+31),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
01:42,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
01:42,"MISS FT by BRASFIELD,KAM",,,,,,,"MISS FT by BRASFIELD,KAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:27,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
01:27,,,,,"TURNOVER  by SPITZER,JAKOB",,,"TURNOVER  by SPITZER,JAKOB",1
01:27,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
01:27,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
01:13,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
