Time Remaining,CC-M,Away Team Score,Play Team Indicator,Home Team Score,EC-M,Game Score,Team Indicator,Play,Period
01:40,,89 (+11),,78,"GOOD JUMPER by ZOLMAN,CHAINEY(in the paint)",EC-M 89-78 (+11),,"GOOD JUMPER by ZOLMAN,CHAINEY(in the paint)",2
--,,,,,"ASSIST  by DOLIBOA,AUSTIN",,,"ASSIST  by DOLIBOA,AUSTIN",2
01:18,"GOOD LAYUP by AYERS,PERRY(in the paint)",91 (+13),,78,,CC-M 91-78 (+13),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
01:15,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:15,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",,,"SUB IN by WILSON-THOMAS,ELIJAH",2
01:15,,,,,"SUB IN by JR,DARRELL HUTCHISON",,,"SUB IN by JR,DARRELL HUTCHISON",2
01:15,,,,,"SUB OUT by ELDOSOUGI,TARIG",,,"SUB OUT by ELDOSOUGI,TARIG",2
01:15,,,,,"SUB OUT by JR,KENNETH STALLING",,,"SUB OUT by JR,KENNETH STALLING",2
01:04,,,,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
00:54,"GOOD LAYUP by SINE,TUCKER(in the paint)",93 (+15),,78,,CC-M 93-78 (+15),,"GOOD LAYUP by SINE,TUCKER(in the paint)",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
00:46,,,,,"TURNOVER  by BARNES,JAMEL",,,"TURNOVER  by BARNES,JAMEL",2
00:45,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
00:24,,,,,"FOUL  by DOLIBOA,AUSTIN",,,"FOUL  by DOLIBOA,AUSTIN",2
00:22,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:22,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by JR,DARRELL HUTCHISON",,,"REBOUND DEF by JR,DARRELL HUTCHISON",2
00:22,"SUB IN by WEST,CHRIS",,,,,,,"SUB IN by WEST,CHRIS",2
00:22,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
00:16,,93 (+13),,80,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",EC-M 93-80 (+13),,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",2
00:02,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
00:02,,,,,"STEAL  by DOLIBOA,AUSTIN",,,"STEAL  by DOLIBOA,AUSTIN",2
