Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
03:23,"TURNOVER  by HOWELL,TAYLOR",,,,,,,"TURNOVER  by HOWELL,TAYLOR",1
03:18,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
03:18,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
03:05,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
03:01,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
02:40,"GOOD 3PTR by CALDWELL,CAM",34 (+9),,25,,SEWANEE 34-25 (-9),,"GOOD 3PTR by CALDWELL,CAM",1
--,"ASSIST  by HOWELL,TAYLOR",,,,,,,"ASSIST  by HOWELL,TAYLOR",1
02:14,,34 (+7),,27,"GOOD JUMPER by BATES,JACOB(in the paint)",CENTRE-M 34-27 (-7),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
01:48,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
01:28,,34 (+4),,30,"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 34-30 (-4),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
01:01,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
01:01,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
01:01,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
00:49,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
00:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:38,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
00:38,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
00:28,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",36 (+6),,30,,SEWANEE 36-30 (-6),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
00:04,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
00:02,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
00:02,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
00:02,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
20:00,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
20:00,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
19:41,,36 (+4),,32,"GOOD JUMPER by AYERS,PERRY(in the paint)",CENTRE-M 36-32 (-4),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
19:23,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
19:11,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
18:50,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
18:46,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
18:46,"BLOCK  by SMITH,LUKE",,,,,,,"BLOCK  by SMITH,LUKE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:32,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",2
18:32,,36 (+2),,34,"GOOD TIPIN by AYERS,PERRY(in the paint)",CENTRE-M 36-34 (-2),,"GOOD TIPIN by AYERS,PERRY(in the paint)",2
18:03,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
17:52,,36,,36,"GOOD JUMPER by AYERS,PERRY(in the paint)",CENTRE-M 36-36 (0),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
17:34,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
17:33,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",2
17:31,,36,,38 (+2),"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",CENTRE-M 36-38 (+2),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",2
17:16,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",38,,38,,SEWANEE 38-38 (0),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",2
17:02,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
16:39,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",40 (+2),,38,,SEWANEE 40-38 (-2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
16:37,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
16:37,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
16:37,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
16:37,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
16:37,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
16:37,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
16:25,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
16:03,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",2
15:48,,40,,40,"GOOD JUMPER by BATES,JACOB(in the paint)",CENTRE-M 40-40 (0),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
15:33,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:17,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",42 (+2),,40,,SEWANEE 42-40 (-2),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",2
14:51,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:43,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
14:16,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
14:03,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",2
