Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
09:39,,18 (+4),,14,"GOOD JUMPER by SPENCE,BEN(in the paint)",BSC-M 18-14 (-4),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
09:28,"MISS LAYUP by HOLLIS,MITCHELL",,,,,,,"MISS LAYUP by HOLLIS,MITCHELL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:14,,18 (+1),,17,"GOOD 3PTR by BAK,CALVIN",BSC-M 18-17 (-1),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
08:58,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
08:51,,18,,19 (+1),"GOOD LAYUP by O'SULLIVAN,CONOR(fastbreak)(in the paint)",BSC-M 18-19 (+1),,"GOOD LAYUP by O'SULLIVAN,CONOR(fastbreak)(in the paint)",1
08:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:48,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
08:48,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
08:33,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
08:33,"SUB IN by OETJEN,NOAH",,,,,,,"SUB IN by OETJEN,NOAH",1
08:33,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
08:31,"TURNOVER  by IGBANU,PROMISE",,,,,,,"TURNOVER  by IGBANU,PROMISE",1
08:10,,18,,21 (+3),"GOOD LAYUP by MORRISON,JASON(in the paint)",BSC-M 18-21 (+3),,"GOOD LAYUP by MORRISON,JASON(in the paint)",1
07:46,"MISS LAYUP by ALLEN,ZACK",,,,,,,"MISS LAYUP by ALLEN,ZACK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:46,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
07:46,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
07:46,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
07:46,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
07:46,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
07:46,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:40,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
07:39,,,,,"STEAL  by SIGLER,EVAN",,,"STEAL  by SIGLER,EVAN",1
07:32,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",1
07:32,"STEAL  by BARNETTE,CHRIS",,,,,,,"STEAL  by BARNETTE,CHRIS",1
07:32,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
07:32,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
07:32,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
07:32,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
