Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
05:57,"GOOD 3PTR by FOSNIGHT,BRICK",37 (+6),,31,,LETU 37-31 (-6),,"GOOD 3PTR by FOSNIGHT,BRICK",1
--,"ASSIST  by BEENE,GARRETT",,,,,,,"ASSIST  by BEENE,GARRETT",1
05:31,,37 (+4),,33,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 37-33 (-4),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
05:22,"MISS LAYUP by RICHARDSON,WARREN(in the paint)",,,,,,,"MISS LAYUP by RICHARDSON,WARREN(in the paint)",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
05:20,"FOUL  by RICHARDSON,WARREN",,,,,,,"FOUL  by RICHARDSON,WARREN",1
05:20,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
05:20,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
05:20,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
05:20,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
05:20,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
05:20,"SUB OUT by MOORE,JUSTIN",,,,,,,"SUB OUT by MOORE,JUSTIN",1
05:20,"SUB OUT by RICHARDSON,WARREN",,,,,,,"SUB OUT by RICHARDSON,WARREN",1
05:20,"SUB OUT by BEENE,GARRETT",,,,,,,"SUB OUT by BEENE,GARRETT",1
05:20,"SUB IN by EBERHARDT,ANDREW",,,,,,,"SUB IN by EBERHARDT,ANDREW",1
05:20,"SUB IN by ARGUE,JOHN",,,,,,,"SUB IN by ARGUE,JOHN",1
05:20,"SUB IN by JOHNSON,RASHARD",,,,,,,"SUB IN by JOHNSON,RASHARD",1
05:20,,,,,"MISS FT by CHILDERS,JOSH(fastbreak)",,,"MISS FT by CHILDERS,JOSH(fastbreak)",1
--,"REBOUND DEF by ARGUE,JOHN",,,,,,,"REBOUND DEF by ARGUE,JOHN",1
04:57,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
04:57,"GOOD FT by ARGUE,JOHN",38 (+5),,33,,LETU 38-33 (-5),,"GOOD FT by ARGUE,JOHN",1
04:57,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
04:57,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
04:57,"MISS FT by ARGUE,JOHN",,,,,,,"MISS FT by ARGUE,JOHN",1
--,"REBOUND OFF by FOSNIGHT,BRICK",,,,,,,"REBOUND OFF by FOSNIGHT,BRICK",1
04:55,,,,,"FOUL  by SIGLER,EVAN",,,"FOUL  by SIGLER,EVAN",1
04:55,"GOOD FT by FOSNIGHT,BRICK",39 (+6),,33,,LETU 39-33 (-6),,"GOOD FT by FOSNIGHT,BRICK",1
04:55,"GOOD FT by FOSNIGHT,BRICK",40 (+7),,33,,LETU 40-33 (-7),,"GOOD FT by FOSNIGHT,BRICK",1
04:40,,40 (+5),,35,"GOOD JUMPER by GONDA,MATT(in the paint)",BSC 40-35 (-5),,"GOOD JUMPER by GONDA,MATT(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
04:23,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",,,,,,,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
04:13,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",1
--,"REBOUND DEF by EBERHARDT,ANDREW",,,,,,,"REBOUND DEF by EBERHARDT,ANDREW",1
04:01,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
03:55,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
03:55,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
03:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:55,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
03:55,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
03:55,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
03:55,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
03:55,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
03:55,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:55,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
03:55,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
03:43,"GOOD 3PTR by JOHNSON,RASHARD",43 (+8),,35,,LETU 43-35 (-8),,"GOOD 3PTR by JOHNSON,RASHARD",1
--,"ASSIST  by EBERHARDT,ANDREW",,,,,,,"ASSIST  by EBERHARDT,ANDREW",1
03:25,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
03:25,,,,,FOUL TECH by TEAM,,,FOUL TECH by TEAM,1
03:25,"GOOD FT by WEST,NATE(fastbreak)",44 (+9),,35,,LETU 44-35 (-9),,"GOOD FT by WEST,NATE(fastbreak)",1
03:25,"GOOD FT by WEST,NATE(fastbreak)",45 (+10),,35,,LETU 45-35 (-10),,"GOOD FT by WEST,NATE(fastbreak)",1
03:25,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
03:25,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
03:11,"TURNOVER  by FOSNIGHT,BRICK",,,,,,,"TURNOVER  by FOSNIGHT,BRICK",1
02:57,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by EBERHARDT,ANDREW",,,,,,,"REBOUND DEF by EBERHARDT,ANDREW",1
02:46,"MISS LAYUP by ARGUE,JOHN(in the paint)",,,,,,,"MISS LAYUP by ARGUE,JOHN(in the paint)",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:44,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
