Time Remaining,PCC,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
03:21,,,,,"TURNOVER  by LARSON,CLARK",,,"TURNOVER  by LARSON,CLARK",2
03:21,"STEAL  by LOCKETT,ELLIOTT",,,,,,,"STEAL  by LOCKETT,ELLIOTT",2
03:13,"TURNOVER  by PORTER,CHRISTIAN",,,,,,,"TURNOVER  by PORTER,CHRISTIAN",2
03:13,,,,,"STEAL  by JR,BRUCE BRIGHT",,,"STEAL  by JR,BRUCE BRIGHT",2
03:06,,88,,125 (+37),"GOOD LAYUP by JR,BRUCE BRIGHT(fastbreak)(in the paint)",BSC-M 88-125 (+37),,"GOOD LAYUP by JR,BRUCE BRIGHT(fastbreak)(in the paint)",2
02:59,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",2
02:59,"GOOD FT by CLAY,JOHN",89,,125 (+36),,PCC 89-125 (+36),,"GOOD FT by CLAY,JOHN",2
02:59,"GOOD FT by CLAY,JOHN",90,,125 (+35),,PCC 90-125 (+35),,"GOOD FT by CLAY,JOHN",2
02:59,"SUB IN by HORTON,ANTHONY",,,,,,,"SUB IN by HORTON,ANTHONY",2
02:59,"SUB IN by LEWIS,AUSTIN",,,,,,,"SUB IN by LEWIS,AUSTIN",2
02:59,"SUB OUT by WOODS,DERIC",,,,,,,"SUB OUT by WOODS,DERIC",2
02:59,"SUB OUT by LOCKETT,ELLIOTT",,,,,,,"SUB OUT by LOCKETT,ELLIOTT",2
02:49,"FOUL  by CLAY,JOHN",,,,,,,"FOUL  by CLAY,JOHN",2
02:49,,90,,126 (+36),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 90-126 (+36),,"GOOD FT by JR,BRUCE BRIGHT",2
02:49,,90,,127 (+37),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 90-127 (+37),,"GOOD FT by JR,BRUCE BRIGHT",2
02:49,,90,,128 (+38),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 90-128 (+38),,"GOOD FT by JR,BRUCE BRIGHT",2
02:49,"SUB IN by SMITH,GRANT",,,,,,,"SUB IN by SMITH,GRANT",2
02:49,"SUB OUT by CLAY,JOHN",,,,,,,"SUB OUT by CLAY,JOHN",2
02:41,,,,,"FOUL  by BYRON,TREVOR",,,"FOUL  by BYRON,TREVOR",2
02:41,"MISS FT by PORTER,CHRISTIAN",,,,,,,"MISS FT by PORTER,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:41,"GOOD FT by PORTER,CHRISTIAN",91,,128 (+37),,PCC 91-128 (+37),,"GOOD FT by PORTER,CHRISTIAN",2
02:34,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",,,"REBOUND OFF by JR,BRUCE BRIGHT",2
02:28,,91,,130 (+39),"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",BSC-M 91-130 (+39),,"GOOD LAYUP by JR,BRUCE BRIGHT(in the paint)",2
02:23,"MISS 3PTR by SMITH,GRANT",,,,,,,"MISS 3PTR by SMITH,GRANT",2
--,"REBOUND OFF by PORTER,CHRISTIAN",,,,,,,"REBOUND OFF by PORTER,CHRISTIAN",2
02:14,"MISS JUMPER by ALEXANDER,JOSHUA",,,,,,,"MISS JUMPER by ALEXANDER,JOSHUA",2
--,,,,,"REBOUND DEF by BYRON,TREVOR",,,"REBOUND DEF by BYRON,TREVOR",2
02:03,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",2
--,,,,,"REBOUND OFF by LARSON,CLARK",,,"REBOUND OFF by LARSON,CLARK",2
01:58,,,,,"MISS JUMPER by LARSON,CLARK",,,"MISS JUMPER by LARSON,CLARK",2
--,,,,,"REBOUND OFF by LARSON,CLARK",,,"REBOUND OFF by LARSON,CLARK",2
01:53,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",2
--,"REBOUND DEF by LEWIS,AUSTIN",,,,,,,"REBOUND DEF by LEWIS,AUSTIN",2
01:39,"MISS 3PTR by LEWIS,AUSTIN",,,,,,,"MISS 3PTR by LEWIS,AUSTIN",2
--,,,,,"REBOUND DEF by KANE,DENMAN",,,"REBOUND DEF by KANE,DENMAN",2
01:24,,,,,"MISS 3PTR by BYRON,TREVOR",,,"MISS 3PTR by BYRON,TREVOR",2
--,"REBOUND DEF by LEWIS,AUSTIN",,,,,,,"REBOUND DEF by LEWIS,AUSTIN",2
01:09,"MISS JUMPER by ALEXANDER,JOSHUA",,,,,,,"MISS JUMPER by ALEXANDER,JOSHUA",2
--,"REBOUND OFF by ALEXANDER,JOSHUA",,,,,,,"REBOUND OFF by ALEXANDER,JOSHUA",2
01:04,"GOOD 3PTR by PORTER,CHRISTIAN",94,,130 (+36),,PCC 94-130 (+36),,"GOOD 3PTR by PORTER,CHRISTIAN",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
01:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:04,"SUB IN by UGALDE,BRIAN",,,,,,,"SUB IN by UGALDE,BRIAN",2
01:04,"SUB IN by RAWLINGS,NOAH",,,,,,,"SUB IN by RAWLINGS,NOAH",2
01:04,"SUB OUT by ALEXANDER,JOSHUA",,,,,,,"SUB OUT by ALEXANDER,JOSHUA",2
01:04,"SUB OUT by PORTER,CHRISTIAN",,,,,,,"SUB OUT by PORTER,CHRISTIAN",2
00:44,"FOUL  by RAWLINGS,NOAH",,,,,,,"FOUL  by RAWLINGS,NOAH",2
00:44,,,,,"MISS FT by LARSON,CLARK",,,"MISS FT by LARSON,CLARK",2
--,"REBOUND DEF by RAWLINGS,NOAH",,,,,,,"REBOUND DEF by RAWLINGS,NOAH",2
00:38,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",2
00:38,"MISS FT by UGALDE,BRIAN",,,,,,,"MISS FT by UGALDE,BRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:38,"GOOD FT by UGALDE,BRIAN",95,,130 (+35),,PCC 95-130 (+35),,"GOOD FT by UGALDE,BRIAN",2
00:24,,,,,"TURNOVER  by BARNETT,CHARLIE",,,"TURNOVER  by BARNETT,CHARLIE",2
00:16,"GOOD 3PTR by LEWIS,AUSTIN",98,,130 (+32),,PCC 98-130 (+32),,"GOOD 3PTR by LEWIS,AUSTIN",2
